rank,cyclic,linear,nearest_zero,sign,q,t,p,Z,selected
1,280,280,581892,+,13280921,581612,11824487,2,0
2,7556,7556,1584791,+,10383343,1592347,9561551,6,0
3,8540,8540,4799452,+,12201491,4790912,11397931,4,0
4,15623,15623,1580541,+,10426093,1564918,9528613,2,0
5,16905,16905,686675,-,14200997,703580,12881987,2,0
6,18005,18005,2251058,+,13394467,2269063,12424231,2,0
7,19172,19172,9723861,+,13131959,9743033,12816017,2,0
8,22678,22678,445708,-,10972561,468386,9661571,4,0
9,27742,27742,9902330,+,12349697,9930072,12121469,2,0
10,29874,29874,1835614,+,14649637,1805740,12930739,2,0
11,30816,30816,2229156,+,12161711,2259972,11232409,4,0
12,31545,31545,893476,+,10124287,925021,9144313,6,0
13,35070,35070,876993,-,13169249,841923,12148511,2,0
14,40540,40540,5118101,+,12823703,5158641,12116081,2,0
15,43355,43355,653603,-,11577103,696958,10220107,2,0
16,48188,48188,3146869,+,11631449,3098681,10722619,2,0
17,50598,50598,5694495,+,13687343,5745093,12731413,6,0
18,57155,57155,7087770,+,12458969,7030615,11746283,4,0
19,59728,59728,2451264,+,13687343,2510992,12731413,6,0
20,70701,70701,411334,-,12774491,340633,11874977,2,0
21,88493,88493,2904825,+,13010923,2816332,11703947,2,0
22,93117,93117,3692523,+,10445471,3785640,9766637,2,0
23,93678,93678,156106,+,14632819,62428,12551911,4,0
24,97196,97196,5882977,+,11208091,5785781,10471093,4,0
25,111004,111004,2189719,+,12074431,2078715,10826243,2,0
26,112907,112907,2356712,+,11230673,2469619,10513141,2,0
27,113627,113627,2743890,+,13937041,2857517,12625111,4,0
28,117134,117134,6198421,+,10211909,6315555,9791423,2,0
29,123275,123275,4428866,+,11600159,4552141,10846141,2,0
30,138487,138487,578706,-,11817521,440219,10580729,2,0
31,148708,148708,481112,+,12929087,629820,11396699,10,0
32,153225,153225,730574,-,11170681,883799,9887323,2,0
33,157846,157846,3545966,+,11439413,3388120,10793621,2,0
34,163902,163902,3692523,+,10445471,3528621,9766637,2,0
35,166072,166072,1200770,-,12771511,1034698,11301707,2,0
36,175827,175827,3419672,+,11875879,3243845,10917037,4,0
37,179973,179973,2887081,+,13166719,2707108,12232169,2,0
38,193985,193985,2544513,+,10383343,2738498,9561551,6,0
39,194491,194491,634279,-,14836673,439788,14141741,2,0
40,196189,196189,1673186,+,12901787,1476997,11856239,2,0
41,196745,196745,4871746,+,10922383,4675001,10236319,4,0
42,199850,199850,495889,-,12547417,695739,11685899,2,0
43,204910,204910,2994961,+,12773011,3199871,11632121,4,0
44,210485,210485,6732199,+,10777309,6942684,10268789,2,0
45,219173,219173,1985079,+,13780831,1765906,12345169,4,0
46,223854,223854,1360995,+,11273027,1137141,10340923,4,0
47,242874,242874,1580541,+,10426093,1337667,9528613,2,0
48,247593,247593,3188794,+,10183219,2941201,9591949,2,0
49,249145,249145,671113,-,10274057,421968,9781697,4,0
50,255808,255808,497798,-,10944469,753606,9530377,4,0
51,256632,256632,2682882,+,12575317,2426250,11359753,4,0
52,263101,263101,490691,-,11503757,227590,10161337,2,0
53,274065,274065,496649,-,11130167,222584,10844413,2,0
54,275221,275221,6943784,+,13743823,7219005,13183129,2,0
55,299464,299464,9644219,+,12985747,9344755,12698383,6,0
56,302431,302431,9902330,+,12349697,10204761,12121469,2,0
57,308676,308676,2847470,+,10502897,3156146,9828773,4,0
58,315968,315968,6681725,+,10756951,6997693,10295981,6,0
59,316303,316303,1967507,-,13683179,1651204,12031703,4,0
60,334993,334993,10091497,+,10680221,9756504,10567009,4,0
61,342756,342756,6683296,+,10961129,6340540,10441259,4,0
62,349032,349032,892139,+,10155151,543107,9121627,4,0
63,359533,359533,3487158,+,11951591,3846691,11084089,4,0
64,361995,361995,917005,-,10433279,555010,9782783,2,0
65,364193,364193,7541735,+,10598617,7177542,10124039,2,0
66,367477,367477,5331790,+,10646969,5699267,10194707,4,0
67,387253,387253,695934,-,12006893,308681,10352413,2,0
68,396424,396424,4045109,+,10777309,4441533,10268789,2,0
69,401891,401891,311282,-,12050777,713173,10692397,4,0
70,405493,405493,206750,-,13879717,612243,12721529,4,0
71,406459,406459,1174932,-,11943917,768473,10795529,6,0
72,407503,407503,2715020,+,11653529,2307517,10884187,4,0
73,411541,411541,346752,-,10038139,758293,9026581,6,0
74,418532,418532,3345646,+,12149383,2927114,10896307,2,0
75,419268,419268,3069207,+,14043103,3488475,13029241,2,0
76,419362,419362,1316582,+,11251787,897220,9943693,2,0
77,419415,419415,96205,-,11478673,515620,10763453,2,0
78,440644,440644,3091155,+,14788919,3531799,13348457,4,0
79,449948,449948,972279,+,14511467,522331,12927703,4,0
80,451696,451696,1573472,+,10532351,1121776,9504571,2,0
81,456881,456881,1538673,+,14882333,1081792,12979159,2,0
82,460073,460073,12743337,+,14909383,12283264,14569199,2,0
83,463878,463878,982182,-,13795601,518304,11952179,2,0
84,476991,476991,1006902,-,13737593,529911,12458239,2,0
85,478183,478183,9723861,+,13131959,10202044,12816017,2,0
86,499350,499350,731239,+,11954851,1230589,10724591,2,0
87,499879,499879,6198421,+,10211909,5698542,9791423,2,0
88,513705,513705,999697,-,11712859,485992,11114693,2,0
89,524713,524713,4096886,+,14666749,3572173,13545127,2,0
90,524780,524780,621159,+,11992139,96379,10366199,4,0
91,533022,533022,3771407,+,14010823,4304429,13129517,4,0
92,537008,537008,5916294,+,14487119,5379286,13265159,2,0
93,538795,538795,705439,-,11754593,166644,10235567,4,0
94,539020,539020,3199631,+,11693483,2660611,10774223,2,0
95,543336,543336,630228,-,11694931,86892,11017327,2,0
96,547215,547215,8051895,+,14774183,8599110,14265553,2,0
97,554829,554829,2508640,+,11629997,1953811,10251677,2,0
98,557609,557609,697658,-,14597027,1255267,13057249,4,0
99,570325,570325,3276775,+,11951591,2706450,11084089,4,0
100,578116,578116,515762,-,13259737,1093878,11871689,2,0
101,584027,584027,2588155,+,10716973,2004128,9835601,2,0
102,602492,602492,9418126,+,13021909,8815634,12476447,2,0
103,619889,619889,4174946,+,13874219,3555057,12831653,2,0
104,622249,622249,1211923,-,13896877,589674,13048213,2,0
105,629260,629260,5785,+,14309593,635045,12732101,2,0
106,631983,631983,4332044,+,10139291,4964027,9514151,4,0
107,645625,645625,3672022,+,12285503,4317647,11575507,2,0
108,659385,659385,2291270,+,13479779,2950655,12501043,4,0
109,682608,682608,2250080,+,12736369,2932688,11560441,4,0
110,687221,687221,719191,+,10288379,1406412,9165883,2,0
111,687541,687541,2901983,+,14607037,3589524,13630769,2,0
112,698520,698520,19393,+,10881419,717913,9621709,2,0
113,703876,703876,9702492,+,13009561,8998616,12471289,4,0
114,705836,705836,4839975,+,14961337,4134139,13809209,2,0
115,715109,715109,5540655,+,14627101,6255764,13478371,2,0
116,718428,718428,3979160,+,11007923,3260732,10054103,2,0
117,720574,720574,3713608,+,13479779,4434182,12501043,4,0
118,734983,734983,5927842,+,14594077,5192859,13562077,4,0
119,741637,741637,1556009,-,14187827,814372,12906667,4,0
