rank,cyclic,linear,nearest_zero,sign,q,t,p,Z,selected
1,185,185,229452,-,3828743,229267,3477587,2,0
2,1350,1350,1420,-,1707767,70,1583929,2,0
3,1896,1896,96919,+,5861621,98815,5242487,2,0
4,3023,3023,995237,+,5717681,998260,5241881,2,0
5,4427,4427,602292,+,4083901,606719,3640717,4,0
6,7160,7160,66768,+,1610149,59608,1427681,2,0
7,7359,7359,1328770,+,4925017,1321411,4579451,2,0
8,10263,10263,2780556,+,9710513,2770293,8764387,4,0
9,11929,11929,597303,+,2032417,585374,1850803,4,0
10,13481,13481,624059,+,9415223,637540,8274509,4,0
11,17318,17318,6314237,+,7717063,6331555,7572449,4,0
12,17722,17722,80786,-,4012033,63064,3599107,4,0
13,18204,18204,5147599,+,5767409,5165803,5684641,2,0
14,18903,18903,588661,+,2026081,569758,1903921,2,0
15,19101,19101,2978962,+,4989503,2959861,4736839,4,0
16,19875,19875,2031109,+,2777539,2050984,2705113,2,0
17,20608,20608,277056,+,1027883,256448,960077,4,0
18,22112,22112,1233970,+,2929373,1256082,2693393,2,0
19,22215,22215,995681,+,3163799,973466,2884351,2,0
20,22713,22713,39412,+,3280493,16699,2934751,4,0
21,23695,23695,3143215,+,5145197,3166910,4979617,2,0
22,24464,24464,2031109,+,2777539,2055573,2705113,2,0
23,25867,25867,1457529,+,4103839,1483396,3792821,4,0
24,26240,26240,12497,-,1426987,38737,1345457,2,0
25,26856,26856,1916597,+,4886333,1889741,4613507,4,0
26,27725,27725,2135120,+,3260891,2162845,3157577,2,0
27,27727,27727,986946,+,3693883,1014673,3313399,6,0
28,28134,28134,14659,+,1015967,42793,902719,4,0
29,30014,30014,161973,+,1444913,191987,1280863,2,0
30,31693,31693,147763,+,1691033,179456,1489751,2,0
31,36373,36373,155873,-,2595937,119500,2364161,4,0
32,36950,36950,2123800,+,2155661,2086850,2146523,2,0
33,40987,40987,599136,+,2789441,558149,2557561,2,0
34,41548,41548,161862,+,1765573,203410,1629623,2,0
35,41899,41899,200912,+,3207443,242811,2891419,4,0
36,43769,43769,162882,+,1731407,119113,1586617,2,0
37,44676,44676,2010540,+,4989503,1965864,4736839,4,0
38,45273,45273,1354528,+,5976023,1309255,5460797,2,0
39,49136,49136,721440,+,8913391,672304,7936727,2,0
40,51305,51305,144718,+,2462827,93413,2171011,2,0
41,54054,54054,229462,+,1499551,175408,1315451,2,0
42,54325,54325,163447,-,2555191,109122,2298977,4,0
43,55509,55509,221505,+,1027739,165996,910619,2,0
44,57705,57705,857838,+,1076381,800133,1038187,4,0
45,58490,58490,2949633,+,5191057,2891143,4959833,2,0
46,59180,59180,1102884,+,1409659,1043704,1369793,2,0
47,59767,59767,812889,+,5340103,872656,4961563,2,0
48,61591,61591,462577,+,1423159,524168,1351667,2,0
49,61625,61625,225407,+,5254229,163782,4656241,2,0
50,62262,62262,761936,+,2428787,699674,2287633,4,0
51,63388,63388,100108,-,2135719,36720,1882229,2,0
52,65151,65151,392867,-,3351841,327716,3000887,2,0
53,65427,65427,144029,+,8598523,78602,7593371,2,0
54,65641,65641,1307674,+,1375243,1242033,1359097,4,0
55,65669,65669,381950,+,1702249,316281,1576889,4,0
56,67159,67159,4732214,+,7970357,4799373,7592201,4,0
57,68272,68272,960581,+,1423159,892309,1351667,2,0
58,68558,68558,416591,+,5242907,348033,4628279,2,0
59,69218,69218,545670,+,2928749,614888,2708221,2,0
60,70269,70269,372928,+,1027883,443197,960077,4,0
61,70289,70289,336708,-,2631071,266419,2341477,4,0
62,70381,70381,3751153,+,4393063,3680772,4307437,2,0
63,73346,73346,1391958,+,7331501,1318612,6614539,4,0
64,73863,73863,391806,+,2912033,465669,2599741,4,0
65,73926,73926,2278990,+,7980061,2205064,7416313,4,0
66,74136,74136,995237,+,5717681,921101,5241881,2,0
67,74263,74263,467240,+,2010571,541503,1824577,6,0
68,74763,74763,378502,+,6652553,303739,5925253,2,0
69,76835,76835,163155,-,1371137,86320,1191781,4,0
70,77000,77000,660497,-,4859081,583497,4260019,4,0
71,78183,78183,83921,-,1663589,5738,1621469,4,0
72,80445,80445,390651,-,7891069,310206,7305791,2,0
73,80539,80539,1132951,+,7425749,1052412,6554341,2,0
74,81815,81815,665521,+,6159547,583706,5430443,2,0
75,81988,81988,23530,+,5350843,105518,4844311,2,0
76,82089,82089,2123800,+,2155661,2041711,2146523,2,0
77,83143,83143,2949633,+,5191057,2866490,4959833,2,0
78,83403,83403,3399973,+,8704837,3316570,7988753,2,0
79,83654,83654,183037,-,4090103,99383,3553787,2,0
80,85480,85480,68274,+,3906953,153754,3588787,2,0
81,85750,85750,408688,-,4083931,322938,3747649,4,0
82,86976,86976,252048,+,2233031,165072,1997557,4,0
83,87629,87629,2394197,+,4067513,2306568,3921079,2,0
84,89264,89264,350769,+,1196537,261505,1116491,2,0
85,89716,89716,2147260,+,4469627,2057544,4225147,4,0
86,91623,91623,2969735,+,4886333,3061358,4660933,4,0
87,92251,92251,1056179,+,2865463,963928,2594569,2,0
88,93187,93187,3568375,+,6495367,3475188,6072527,2,0
