lo_exclusive,hi_inclusive,primes,qZ,qA,sumZ,sumA,occ,hits,maxZ,maxA,maxK,meanZ,meanA,meanAlog,heur_sum,heur_log,heur_log2,median_linear,median_norm
15000000,15250000,15103,6001,40,15234,54,54,0,10,2,1,1.0086737734224989,0.0035754485863735684,0.059108813900654415,3.1788695435986095e-06,5.2552624860313531e-05,0.00086879261379892885,1536870.5,0.10230140206960642
15250000,15500000,15055,5927,25,15194,36,36,0,10,2,1,1.0092328130189305,0.0023912321487877782,0.039570715468591616,2.3403202976066049e-06,3.8728213255625479e-05,0.00064088428558565006,1434286,0.092988996228870274
15500000,15750000,15164,5978,38,15272,50,50,0,12,2,1,1.0071221313637562,0.0032972830387760486,0.054617458301196055,3.0702776160568365e-06,5.0857253592135271e-05,0.00084241901429635269,1805139,0.11501548894034418
15750000,16000000,15104,5881,26,14812,34,34,0,10,2,1,0.98066737288135597,0.0022510593220338984,0.037323140061789127,2.5200128603128644e-06,4.1782458606193291e-05,0.00069276386429294428,3016313,0.18996587959718061
16000000,16250000,15022,5906,28,14976,40,40,0,10,2,1,0.99693782452403146,0.0026627612834509385,0.044190870511639224,2.8488440923709462e-06,4.7279078742896419e-05,0.00078463798449449908,763645,0.047557085535246311
16250000,16500000,15046,5863,32,14988,41,41,0,10,2,1,0.99614515485843413,0.0027249767380034561,0.045265314363878054,1.5875559490882799e-06,2.6371314699140244e-05,0.00043806093218980987,1229560.5,0.074892051911102972
16500000,16750000,15023,5931,23,14982,36,36,0,12,2,1,0.99727085136124605,0.0023963256340278241,0.039842312001745518,1.3244479846345568e-06,2.2020826003182654e-05,0.00036612746101632982,612432,0.036725082922451462
16750000,17000000,15093,6030,33,15296,48,48,0,10,2,1,1.0134499436825017,0.0031802822500496919,0.05292417028733172,3.7888666422348498e-06,6.3051832385787376e-05,0.0010492672196191291,1912404,0.1137343449824757
17000000,17250000,14953,5851,37,14814,50,50,0,12,2,1,0.99070420651374302,0.0033438106065672439,0.055694676459949723,2.8059508231470622e-06,4.6736057045449318e-05,0.00077843810024642564,731283.5,0.042601684356271513
17250000,17500000,15122,5882,37,14998,53,53,0,12,2,1,0.99180002645152754,0.0035048274037825684,0.058427375765044434,2.645671228325213e-06,4.410477584182735e-05,0.00073525055994550967,3175188.5,0.18269926075760096
17500000,17750000,14931,5882,38,15038,48,48,0,10,2,1,1.0071662983055387,0.0032147880249146074,0.053638188166888028,2.9448214215903153e-06,4.9133841579909363e-05,0.00081978974028785285,3214905.5,0.18130222422695794
17750000,18000000,15047,5945,35,15094,50,50,0,10,2,1,1.0031235462218382,0.0033229215125938727,0.055489179393049599,2.0151013458285601e-06,3.3650003363026422e-05,0.00056191850036510504,1835847,0.10208927316556117
18000000,18250000,14884,5922,39,15024,52,52,0,10,2,1,1.0094060736361192,0.0034936844934157483,0.058389259839603642,2.7528241872966359e-06,4.6007407671681103e-05,0.00076891272985613816,1716483,0.094184332828396417
18250000,18500000,14907,5864,42,14836,59,59,0,10,2,1,0.99523713691554305,0.0039578721406050852,0.066201354704550033,2.9436891507807159e-06,4.9237621299453321e-05,0.00082357315159632346,2660932,0.14560735276277176
18500000,18750000,14975,5937,31,15080,45,45,0,10,2,1,1.0070116861435727,0.0030050083472454091,0.050303885776316885,3.0057714921329054e-06,5.0316660833426653e-05,0.00084230167331500721,1967733.5,0.10514993694772015
18750000,19000000,14917,5843,30,14914,40,40,0,10,2,1,0.99979888717570553,0.0026815043239257225,0.044924177389821983,1.4831852960667806e-06,2.4848320678794235e-05,0.00041629258474552258,1166894.5,0.061918352574687793
19000000,19250000,14850,5808,33,14664,47,47,0,8,2,1,0.98747474747474751,0.0031649831649831648,0.053065712193320742,2.091631980301052e-06,3.5069362108784404e-05,0.00058799070309683622,4415620,0.23112818107980801
19250000,19500000,14933,5899,42,15002,55,55,0,12,2,1,1.0046206388535459,0.0036831179267394361,0.061800855643621685,1.8595695365460792e-06,3.120263612875923e-05,0.00052356444986300483,2816431,0.14575567851693935
19500000,19750000,14849,5906,26,14954,36,36,0,10,2,1,1.007071183244663,0.0024244056838844366,0.0407113834991433,1.9360979235360653e-06,3.2511565857527048e-05,0.00054594444922384066,1658976,0.084759391989963198
19750000,19999999,14925,5952,34,15142,45,45,0,8,2,1,1.0145393634840871,0.003015075376884422,0.050668260884464633,2.8168434031471413e-06,4.7336977879745273e-05,0.00079549664432319997,3596000,0.18193847757464068
