lo_exclusive,hi_inclusive,primes,qZ,qA,sumZ,sumA,occ,hits,maxZ,maxA,maxK,meanZ,meanA,meanAlog,heur_sum,heur_log,heur_log2,median_linear,median_norm
16,100016,9587,3768,44,9489,55,55,0,10,2,1,0.989777824136852,0.0057369354333993948,0.062074204947028915,0.0058800444585142787,0.063622658656832476,0.68840341652562875,4044,0.18095314893960165
100016,200016,8393,3337,35,8634,48,48,0,12,2,1,1.0287144048611938,0.0057190515906112233,0.068162500564126718,0.0003932162128664378,0.0046865463454348402,0.05585658965534309,16814,0.13211822571508214
200016,300016,8012,3172,29,7964,39,39,0,8,2,1,0.99400898652021963,0.0048676984523215181,0.060501987967681276,0.00015532552375926713,0.0019305844562074476,0.023995775145921144,16802,0.066392750519007629
300016,400016,7863,3053,17,7790,25,25,0,10,3,1,0.99071601170036883,0.0031794480478188987,0.040587988511720859,5.9091771552859871e-05,0.00075434984590171973,0.0096298295863903281,39013,0.12004332427667228
400016,500016,7678,2988,16,7538,21,21,0,10,2,1,0.98176608491794737,0.0027350872623078926,0.035602735966406548,4.4855668365502093e-05,0.00058388795831914881,0.0076004919844713569,53664,0.11507681964163095
500016,600016,7560,2987,22,7684,31,31,0,10,2,1,1.0164021164021164,0.0041005291005291001,0.054199574349012299,4.0316125890973134e-05,0.00053288656393390488,0.0070435361470300595,66198,0.1192973856503616
600016,700016,7445,2937,19,7414,24,24,0,8,2,1,0.99583613163196771,0.0032236400268636669,0.043147623125169045,1.1996766404493578e-05,0.00016057374620868914,0.0021492398119742273,107686.5,0.15998262809286767
700016,800016,7408,2925,22,7414,33,33,0,8,2,1,1.0008099352051836,0.0044546436285097194,0.060261750001944253,4.2492451351839569e-05,0.00057483150031262871,0.0077762342072402648,49312,0.062801766171491177
800016,900016,7324,2842,20,7260,31,31,0,8,2,1,0.99126160567995636,0.0042326597487711637,0.057788547788965222,3.1025358237801662e-05,0.00042358954029212705,0.0057832724208895098,93089.5,0.11305126874123061
900016,1000000,7222,2853,24,7274,34,34,0,10,2,1,1.0072002215452782,0.0047078371642204379,0.064799733214648644,3.8143076569022977e-05,0.00052500991420077769,0.0072263549457087838,33812,0.034841891469960563
