rank,cyclic,linear,nearest_zero,sign,q,t,p,Z,selected
1,13,13,446,+,1193,459,1129,2,0
2,100,100,746,+,1193,646,1129,2,0
3,189,189,194,-,17483,5,15551,2,0
4,200,200,474,-,13309,674,11549,2,0
5,285,285,45597,+,219851,45882,196543,2,0
6,590,590,112078,+,119849,111488,118799,4,0
7,657,657,6669,+,7069,6012,6949,2,0
8,687,687,33742,+,168353,34429,157907,4,0
9,944,944,6669,+,7069,5725,6949,2,0
10,1080,1080,21919,-,391367,22999,351359,2,0
11,1501,1501,1663,-,7307,162,6781,2,0
12,1565,1565,9091,+,38011,10656,35897,2,0
13,1644,1644,68072,-,911899,69716,810973,2,0
14,1663,1663,4923,-,38327,3260,34141,4,0
15,2244,2244,2761,+,12401,517,10729,4,0
16,2251,2251,11648,-,961157,9397,899321,2,0
17,2912,2912,3792,-,12269,880,11243,2,0
18,3666,3666,6996,+,54011,10662,48271,2,0
19,4044,4044,5771,+,21089,9815,19553,2,0
20,4129,4129,5771,+,21089,1642,19553,2,0
21,4511,4511,7384,+,16253,2873,14419,2,0
22,4616,4616,7041,-,192431,2425,176179,4,0
23,4861,4861,9322,+,112031,14183,99809,2,0
24,4869,4869,112078,+,119849,107209,118799,4,0
25,5263,5263,66413,+,221171,71676,200371,6,0
26,5834,5834,28919,+,38011,23085,35897,2,0
27,6295,6295,27152,-,915533,20857,843043,2,0
28,7152,7152,56449,+,739601,49297,655037,2,0
29,7277,7277,26673,-,533053,19396,493979,2,0
30,7285,7285,10182,-,183763,2897,163543,4,0
31,7450,7450,212,+,37537,7662,33391,2,0
32,8558,8558,19780,-,205151,11222,179687,4,0
33,9165,9165,5776,+,66137,14941,59629,2,0
34,9549,9549,125534,+,466723,115985,419933,4,0
35,9645,9645,10583,-,252139,20228,225941,2,0
36,9727,9727,25705,+,58631,15978,53611,2,0
37,10287,10287,16300,-,252911,6013,235673,2,0
38,11399,11399,9634,+,99661,21033,89477,2,0
39,14007,14007,35764,+,70157,49771,68329,2,0
40,14693,14693,7965,+,111211,22658,99079,2,0
41,14730,14730,17515,+,37201,2785,32377,2,0
42,15454,15454,47335,-,993103,62789,886591,2,0
43,15706,15706,17802,-,65609,2096,56731,2,0
44,16814,16814,23930,-,138923,7116,131449,6,0
45,16895,16895,18929,-,54167,2034,47303,2,0
46,17122,17122,98770,+,941519,81648,869663,6,0
47,18218,18218,35764,+,70157,53982,68329,2,0
48,19547,19547,106535,+,114001,86988,111253,2,0
49,19894,19894,29182,-,578687,9288,514819,2,0
50,20482,20482,106535,+,114001,86053,111253,2,0
51,21116,21116,30053,+,71419,8937,62701,2,0
52,21340,21340,104143,+,784309,82803,689873,4,0
53,23317,23317,45757,+,210491,69074,199049,4,0
54,23942,23942,191676,+,262897,167734,249967,2,0
55,24822,24822,25705,+,58631,883,53611,2,0
56,25858,25858,62559,+,101009,88417,100019,2,0
57,26612,26612,51225,+,136223,24613,121447,2,0
58,28239,28239,71220,+,262897,99459,249967,2,0
59,28337,28337,118344,+,496439,90007,464383,2,0
60,28867,28867,64012,-,399739,35145,361357,4,0
61,29498,29498,98006,+,394063,127504,371951,2,0
62,31241,31241,62559,+,101009,93800,100019,2,0
63,33812,33812,61147,+,970441,94959,899177,2,0
64,34638,34638,39318,+,187133,4680,163543,4,0
65,35591,35591,41637,+,224327,6046,193601,2,0
66,36786,36786,49455,-,437953,12669,383143,2,0
67,37976,37976,162708,+,678871,124732,606083,2,0
68,39013,39013,18740,+,324991,57753,292753,2,0
69,39066,39066,44662,-,268607,5596,241207,4,0
70,40022,40022,40120,-,114593,98,108191,2,0
71,40053,40053,131886,+,137131,91833,131701,2,0
72,41146,41146,12344,+,812179,53490,731999,2,0
73,41254,41254,134610,+,168353,93356,157907,4,0
74,41666,41666,164733,+,210491,123067,199049,4,0
75,47334,47334,112360,-,927313,65026,832801,2,0
76,47463,47463,53918,+,755759,101381,695243,2,0
77,49312,49312,215186,+,790369,165874,733003,2,0
78,49439,49439,86423,+,592061,36984,542939,2,0
79,52357,52357,215186,+,790369,267543,733003,2,0
80,54623,54623,452363,+,832361,506986,790333,2,0
81,55575,55575,308694,+,941519,364269,869663,6,0
82,55723,55723,57047,-,297019,1324,263519,2,0
83,57011,57011,698532,+,934243,641521,897751,2,0
84,58058,58058,131886,+,137131,73828,131701,2,0
85,58565,58565,63432,-,707543,4867,607423,2,0
86,62822,62822,379997,+,832361,317175,790333,2,0
87,64277,64277,295451,+,835607,231174,768751,4,0
88,66198,66198,88388,-,554899,22190,516959,4,0
89,70542,70542,17295,+,482641,87837,428149,2,0
90,74978,74978,49972,+,399899,124950,377981,2,0
91,75094,75094,84471,-,900743,9377,831983,2,0
92,75449,75449,196291,+,694957,120842,630797,2,0
93,77675,77675,296056,+,394063,218381,371951,2,0
94,77746,77746,206349,+,416419,128603,382729,2,0
95,78274,78274,86423,+,592061,164697,542939,2,0
96,90317,90317,139820,+,528691,230137,488611,2,0
97,113439,113439,349926,+,399899,236487,377981,2,0
98,114176,114176,139820,+,528691,25644,488611,2,0
99,116344,116344,378094,+,496439,261750,464383,2,0
100,117916,117916,136085,+,390539,18169,345431,2,0
