sign,q,t,p,r,a_plus,a_minus,raw_plus,raw_minus,Zq,selected,nearest_zero,linear,cyclic,scaled_A
-,1005373,70344,897751,716076,-1,37277,0,1,4,0,291306,220962,220962,1.75825
+,1009301,323194,951437,670378,66125,-1,1,0,0,0,-1,-1,-1,-1
+,1009301,538127,951437,885311,281058,-1,1,0,0,0,-1,-1,-1,-1
+,1010461,191083,930301,672043,222702,-1,1,0,0,0,-1,-1,-1,-1
+,1010461,226638,930301,707598,258257,-1,1,0,0,0,-1,-1,-1,-1
-,1011271,8568,875593,822636,-1,127109,0,1,4,0,221066,212498,212498,1.68104
+,1011671,143350,916099,716782,374115,-1,1,0,0,0,-1,-1,-1,-1
+,1015967,42793,902719,722281,499050,-1,1,0,4,0,14659,28134,28134,0.221535
+,1027739,165996,910619,868716,660817,-1,1,0,2,0,221505,55509,55509,0.216043
+,1027883,256448,960077,663284,110043,-1,1,0,4,0,277056,20608,20608,0.320784
+,1027883,443197,960077,850033,296792,-1,1,0,4,0,372928,70269,70269,1.09381
+,1028329,685874,996511,876782,71179,-1,1,0,2,0,853296,167422,167422,1.30248
+,1028329,734423,996511,925331,119728,-1,1,0,2,0,853296,118873,118873,0.924786
+,1030369,10064,901403,783860,656253,-1,1,0,4,0,290172,280108,280108,2.17482
-,1032131,90075,906847,841779,-1,35208,0,1,0,0,-1,-1,-1,-1
+,1036319,139552,962363,583288,64661,-1,1,0,0,0,-1,-1,-1,-1
+,1036319,453965,962363,897701,379074,-1,1,0,0,0,-1,-1,-1,-1
-,1038211,22862,921407,723686,-1,93941,0,1,0,0,-1,-1,-1,-1
+,1047313,209025,943841,829857,506848,-1,1,0,0,0,-1,-1,-1,-1
+,1049011,146663,978007,572687,20704,-1,1,0,0,0,-1,-1,-1,-1
+,1049011,531278,978007,957302,405319,-1,1,0,0,0,-1,-1,-1,-1
+,1057117,34857,977023,515421,18962,-1,1,0,2,0,271627,236770,236770,1.79182
+,1057117,477496,977023,958060,461601,-1,1,0,2,0,271627,205869,205869,1.55797
+,1060421,51215,982273,520103,6718,-1,1,0,0,0,-1,-1,-1,-1
+,1060421,506666,982273,975554,462169,-1,1,0,0,0,-1,-1,-1,-1
+,1076381,588748,1038187,817912,8889,-1,1,0,4,0,736723,147975,147975,2.19959
+,1076381,800133,1038187,1029297,220274,-1,1,0,4,0,857838,57705,57705,0.857763
+,1080353,97348,961183,812368,566205,-1,1,0,2,0,355353,258005,258005,0.955262
-,1084177,92843,971921,766379,-1,19412,0,1,4,0,373210,280367,280367,2.06879
+,1084357,13294,959333,763438,554249,-1,1,0,0,0,-1,-1,-1,-1
+,1108957,704918,1077101,896054,10089,-1,1,0,0,0,-1,-1,-1,-1
+,1108957,875875,1077101,1067011,181046,-1,1,0,0,0,-1,-1,-1,-1
+,1120799,120554,982187,952226,801711,-1,1,0,2,0,285086,164532,164532,0.587195
-,1125739,5442,1009997,699894,-1,110299,0,1,0,0,-1,-1,-1,-1
-,1129603,68638,986351,928150,-1,74613,0,1,2,0,359586,290948,290948,1.03027
+,1142789,344223,1065689,806823,203734,-1,1,0,2,0,161861,182362,182362,1.27661
+,1142789,399354,1065689,861954,258865,-1,1,0,2,0,161861,237493,237493,1.66255
+,1144511,410260,1080263,795748,100973,-1,1,0,0,0,-1,-1,-1,-1
+,1144511,593801,1080263,979289,284514,-1,1,0,0,0,-1,-1,-1,-1
+,1151401,283666,1041203,944854,564839,-1,1,0,4,0,45668,237998,237998,1.65362
+,1158823,191898,1081757,654294,34933,-1,1,0,0,0,-1,-1,-1,-1
+,1158823,584427,1081757,1046823,427462,-1,1,0,0,0,-1,-1,-1,-1
+,1180141,19086,1046659,819978,574211,-1,1,0,0,0,-1,-1,-1,-1
+,1181237,156850,1087027,722110,200343,-1,1,0,0,0,-1,-1,-1,-1
+,1181237,321423,1087027,886683,364916,-1,1,0,0,0,-1,-1,-1,-1
+,1181293,84038,1057603,826178,510715,-1,1,0,0,0,-1,-1,-1,-1
-,1181573,43592,1046389,854696,-1,91591,0,1,0,0,-1,-1,-1,-1
+,1184461,354101,1080263,979289,524214,-1,1,0,2,0,579936,225835,225835,0.762659
+,1190587,347814,1082141,998490,567025,-1,1,0,0,0,-1,-1,-1,-1
+,1196537,261505,1116491,741781,105566,-1,1,0,2,0,350769,89264,89264,0.596816
+,1196537,530648,1116491,1010924,374709,-1,1,0,2,0,350769,179879,179879,1.20266
+,1210597,83692,1114489,660340,122499,-1,1,0,0,0,-1,-1,-1,-1
+,1210597,415341,1114489,991989,454148,-1,1,0,0,0,-1,-1,-1,-1
-,1210871,2857,1085521,754957,-1,122492,0,1,2,0,442182,439325,439325,1.45127
-,1233361,48565,1073143,1009873,-1,111652,0,1,2,0,577262,528697,528697,1.71465
-,1248529,52210,1194517,376282,-1,1801,0,1,2,0,360446,308236,308236,0.987517
+,1254557,505183,1186811,911659,131324,-1,1,0,2,0,174899,330284,330284,2.10614
+,1254557,649010,1186811,1055486,275151,-1,1,0,2,0,1079657,430647,430647,2.74613
+,1259077,36026,1143223,731150,283051,-1,1,0,0,0,-1,-1,-1,-1
+,1259077,165047,1143223,860171,412072,-1,1,0,0,0,-1,-1,-1,-1
+,1262563,374864,1191293,802484,38811,-1,1,0,0,0,-1,-1,-1,-1
+,1262563,724861,1191293,1152481,388808,-1,1,0,0,0,-1,-1,-1,-1
+,1270333,174215,1125169,1045199,791014,-1,1,0,0,0,-1,-1,-1,-1
+,1271201,620496,1207237,1004280,180827,-1,1,0,0,0,-1,-1,-1,-1
+,1271201,642625,1207237,1026409,202956,-1,1,0,0,0,-1,-1,-1,-1
-,1273121,44323,1136741,862603,-1,92056,0,1,2,0,152414,108091,108091,0.33961
-,1275611,18169,1121297,944053,-1,136144,0,1,2,0,281157,262988,262988,0.824665
+,1279657,213979,1194763,723343,37944,-1,1,0,0,0,-1,-1,-1,-1
+,1279657,647454,1194763,1156818,471419,-1,1,0,0,0,-1,-1,-1,-1
-,1310041,11331,1162453,896859,-1,136256,0,1,2,0,401172,389841,389841,1.19032
-,1322129,24067,1203739,734407,-1,94322,0,1,0,0,-1,-1,-1,-1
+,1324261,59904,1216867,704268,131765,-1,1,0,0,0,-1,-1,-1,-1
+,1324261,440737,1216867,1085101,512598,-1,1,0,0,0,-1,-1,-1,-1
-,1331411,41690,1236329,612182,-1,53391,0,1,4,0,638617,596927,596927,3.58673
+,1331719,208021,1189553,1061017,724460,-1,1,0,2,0,641510,433489,433489,1.30204
+,1341547,309507,1253737,836367,109490,-1,1,0,2,0,163207,146300,146300,0.872426
+,1341547,617386,1253737,1144246,417369,-1,1,0,2,0,163207,454179,454179,2.70839
-,1347481,22908,1177711,1041528,-1,146861,0,1,0,0,-1,-1,-1,-1
+,1362407,787421,1315451,1069157,35442,-1,1,0,4,0,692579,94842,94842,1.11382
+,1362407,998272,1315451,1280008,246293,-1,1,0,4,0,1100251,101979,101979,1.19763
-,1371137,86320,1191781,1162456,-1,93035,0,1,4,0,163155,76835,76835,0.448299
+,1374019,327787,1286693,851743,89006,-1,1,0,0,0,-1,-1,-1,-1
+,1374019,673730,1286693,1197686,434949,-1,1,0,0,0,-1,-1,-1,-1
-,1375037,29180,1200499,1076408,-1,145357,0,1,0,0,-1,-1,-1,-1
+,1375243,1185532,1359097,1282408,20187,-1,1,0,4,0,1307674,122142,122142,1.42104
+,1375243,1242033,1359097,1338909,76688,-1,1,0,4,0,1307674,65641,65641,0.763688
