rank,cyclic,linear,nearest_zero,sign,q,t,p,Z,A,selected,scaled_A
1,185,185,229452,-,3828743,229267,3477587,2,1,0,0.000193275
2,280,280,581892,+,13280921,581612,11824487,2,1,0,8.43315e-05
3,1350,1350,1420,-,1707767,70,1583929,2,1,0,0.00316202
4,1896,1896,96919,+,5861621,98815,5242487,2,1,0,0.00129384
5,3023,3023,995237,+,5717681,998260,5241881,2,2,0,0.00422969
6,4427,4427,602292,+,4083901,606719,3640717,4,1,0,0.0086721
7,5309,5309,2547985,+,17163317,2542676,15177187,2,1,0,0.00123729
8,7160,7160,66768,+,1610149,59608,1427681,2,1,0,0.0177872
9,7359,7359,1328770,+,4925017,1321411,4579451,2,2,0,0.0119537
10,7556,7556,1584791,+,10383343,1592347,9561551,6,2,0,0.0174649
11,8540,8540,4799452,+,12201491,4790912,11397931,4,2,0,0.0111986
12,10263,10263,2780556,+,9710513,2770293,8764387,4,1,0,0.00845517
13,11929,11929,597303,+,2032417,585374,1850803,4,1,0,0.0469549
14,13481,13481,624059,+,9415223,637540,8274509,4,1,0,0.0114546
15,15623,15623,1580541,+,10426093,1564918,9528613,2,2,0,0.0119876
16,16905,16905,686675,-,14200997,703580,12881987,2,1,0,0.00476164
17,17318,17318,6314237,+,7717063,6331555,7572449,4,2,0,0.0359059
18,17722,17722,80786,-,4012033,63064,3599107,4,1,0,0.0353377
19,18005,18005,2251058,+,13394467,2269063,12424231,2,2,0,0.0107537
20,18204,18204,5147599,+,5767409,5165803,5684641,2,2,0,0.0252509
21,18903,18903,588661,+,2026081,569758,1903921,2,2,0,0.0746387
22,19101,19101,2978962,+,4989503,2959861,4736839,4,2,0,0.0612518
23,19172,19172,9723861,+,13131959,9743033,12816017,2,2,0,0.0116796
24,19875,19875,2031109,+,2777539,2050984,2705113,2,2,0,0.0572449
25,20608,20608,277056,+,1027883,256448,960077,4,2,0,0.320784
26,20868,20868,597919,-,17010401,618787,15075997,6,1,0,0.0147213
27,21646,21646,5115800,+,18166979,5094154,16469171,2,1,0,0.00476601
28,22112,22112,1233970,+,2929373,1256082,2693393,2,1,0,0.0301935
29,22215,22215,995681,+,3163799,973466,2884351,2,1,0,0.0280865
30,22678,22678,445708,-,10972561,468386,9661571,4,1,0,0.0165343
31,22713,22713,39412,+,3280493,16699,2934751,4,1,0,0.0553892
32,23695,23695,3143215,+,5145197,3166910,4979617,2,2,0,0.0368421
33,24464,24464,2031109,+,2777539,2055573,2705113,2,2,0,0.0704624
34,25867,25867,1457529,+,4103839,1483396,3792821,4,2,0,0.10085
35,26240,26240,12497,-,1426987,38737,1345457,2,1,0,0.0735536
36,26856,26856,1916597,+,4886333,1889741,4613507,4,4,0,0.175877
37,27725,27725,2135120,+,3260891,2162845,3157577,2,2,0,0.0680182
38,27727,27727,986946,+,3693883,1014673,3313399,6,1,0,0.0900743
39,27742,27742,9902330,+,12349697,9930072,12121469,2,2,0,0.017971
40,28134,28134,14659,+,1015967,42793,902719,4,1,0,0.221535
41,29874,29874,1835614,+,14649637,1805740,12930739,2,1,0,0.00815693
42,30014,30014,161973,+,1444913,191987,1280863,2,1,0,0.0830887
43,30816,30816,2229156,+,12161711,2259972,11232409,4,2,0,0.0405417
44,31545,31545,893476,+,10124287,925021,9144313,6,1,0,0.0373893
45,31693,31693,147763,+,1691033,179456,1489751,2,1,0,0.0749672
46,35070,35070,876993,-,13169249,841923,12148511,2,1,0,0.0106521
47,36373,36373,155873,-,2595937,119500,2364161,4,1,0,0.112092
48,36950,36950,2123800,+,2155661,2086850,2146523,2,2,0,0.137127
49,37983,37983,686388,+,15061117,724371,13064827,2,1,0,0.0100877
50,40540,40540,5118101,+,12823703,5158641,12116081,2,2,0,0.0252907
51,40987,40987,599136,+,2789441,558149,2557561,2,2,0,0.117549
52,41548,41548,161862,+,1765573,203410,1629623,2,2,0,0.188258
53,41899,41899,200912,+,3207443,242811,2891419,4,1,0,0.104504
54,43355,43355,653603,-,11577103,696958,10220107,2,1,0,0.0149796
55,43769,43769,162882,+,1731407,119113,1586617,2,2,0,0.202236
56,44676,44676,2010540,+,4989503,1965864,4736839,4,2,0,0.143264
57,45273,45273,1354528,+,5976023,1309255,5460797,2,2,0,0.0606062
58,48188,48188,3146869,+,11631449,3098681,10722619,2,2,0,0.0331432
59,48201,48201,1117348,+,15124381,1069147,13715257,4,2,0,0.0509916
60,49136,49136,721440,+,8913391,672304,7936727,2,1,0,0.0220504
61,50598,50598,5694495,+,13687343,5745093,12731413,6,2,0,0.0887208
62,51305,51305,144718,+,2462827,93413,2171011,2,1,0,0.083327
63,54054,54054,229462,+,1499551,175408,1315451,2,1,0,0.144187
64,54325,54325,163447,-,2555191,109122,2298977,4,1,0,0.170085
65,55509,55509,221505,+,1027739,165996,910619,2,1,0,0.216043
66,57155,57155,7087770,+,12458969,7030615,11746283,4,2,0,0.0733993
67,57705,57705,857838,+,1076381,800133,1038187,4,2,0,0.857763
68,58490,58490,2949633,+,5191057,2891143,4959833,2,2,0,0.0901396
69,59180,59180,1102884,+,1409659,1043704,1369793,2,2,0,0.335854
70,59728,59728,2451264,+,13687343,2510992,12731413,6,2,0,0.10473
71,59767,59767,812889,+,5340103,872656,4961563,2,2,0,0.0895368
72,61591,61591,462577,+,1423159,524168,1351667,2,2,0,0.346221
73,61625,61625,225407,+,5254229,163782,4656241,2,1,0,0.0469146
74,62262,62262,761936,+,2428787,699674,2287633,4,2,0,0.41016
75,63388,63388,100108,-,2135719,36720,1882229,2,1,0,0.11872
76,63766,63766,13521285,+,17868449,13457519,17379799,2,2,0,0.0285491
77,65151,65151,392867,-,3351841,327716,3000887,2,1,0,0.0777495
78,65427,65427,144029,+,8598523,78602,7593371,2,1,0,0.0304364
79,65641,65641,1307674,+,1375243,1242033,1359097,4,2,0,0.763688
80,65669,65669,381950,+,1702249,316281,1576889,4,2,0,0.617245
81,67159,67159,4732214,+,7970357,4799373,7592201,4,2,0,0.134818
82,68272,68272,960581,+,1423159,892309,1351667,2,2,0,0.383777
83,68558,68558,416591,+,5242907,348033,4628279,2,1,0,0.0523053
84,69218,69218,545670,+,2928749,614888,2708221,2,2,0,0.189072
85,70269,70269,372928,+,1027883,443197,960077,4,2,0,1.09381
86,70289,70289,336708,-,2631071,266419,2341477,4,1,0,0.21372
87,70381,70381,3751153,+,4393063,3680772,4307437,2,2,0,0.128168
88,70701,70701,411334,-,12774491,340633,11874977,2,1,0,0.0221382
89,73346,73346,1391958,+,7331501,1318612,6614539,4,1,0,0.0800338
90,73863,73863,391806,+,2912033,465669,2599741,4,1,0,0.202918
91,73926,73926,2278990,+,7980061,2205064,7416313,4,2,0,0.148221
92,74136,74136,995237,+,5717681,921101,5241881,2,2,0,0.103729
93,74263,74263,467240,+,2010571,541503,1824577,6,1,0,0.443235
94,74763,74763,378502,+,6652553,303739,5925253,2,1,0,0.044953
95,76835,76835,163155,-,1371137,86320,1191781,4,1,0,0.448299
96,77000,77000,660497,-,4859081,583497,4260019,4,1,0,0.126773
97,78183,78183,83921,-,1663589,5738,1621469,4,1,0,0.375973
98,80445,80445,390651,-,7891069,310206,7305791,2,1,0,0.0407777
99,80539,80539,1132951,+,7425749,1052412,6554341,2,1,0,0.0433836
100,81815,81815,665521,+,6159547,583706,5430443,2,1,0,0.0531305
101,81988,81988,23530,+,5350843,105518,4844311,2,2,0,0.12258
102,82089,82089,2123800,+,2155661,2041711,2146523,2,2,0,0.304645
103,82531,82531,10757414,+,17057863,10674883,16377017,2,2,0,0.0387064
104,83143,83143,2949633,+,5191057,2866490,4959833,2,2,0,0.128133
105,83403,83403,3399973,+,8704837,3316570,7988753,2,1,0,0.0383249
106,83654,83654,183037,-,4090103,99383,3553787,2,1,0,0.0818111
107,84878,84878,5118153,+,18525523,5033275,17396719,2,2,0,0.0366534
108,85480,85480,68274,+,3906953,153754,3588787,2,2,0,0.175032
109,85750,85750,408688,-,4083931,322938,3747649,4,1,0,0.167975
110,86976,86976,252048,+,2233031,165072,1997557,4,1,0,0.311598
111,87629,87629,2394197,+,4067513,2306568,3921079,2,2,0,0.172349
112,88493,88493,2904825,+,13010923,2816332,11703947,2,1,0,0.0272058
113,89264,89264,350769,+,1196537,261505,1116491,2,2,0,0.596816
114,89716,89716,2147260,+,4469627,2057544,4225147,4,2,0,0.321158
115,91623,91623,2969735,+,4886333,3061358,4660933,4,4,0,0.600028
116,92251,92251,1056179,+,2865463,963928,2594569,2,1,0,0.128776
117,93117,93117,3692523,+,10445471,3785640,9766637,2,2,0,0.0713167
118,93187,93187,3568375,+,6495367,3475188,6072527,2,2,0,0.114773
119,93678,93678,156106,+,14632819,62428,12551911,4,1,0,0.0512153
120,93898,93898,1387855,+,4243091,1293957,3923687,4,2,0,0.354074
121,94842,94842,692579,+,1362407,787421,1315451,4,2,0,1.11382
122,95037,95037,996846,+,2326963,1091883,2190653,4,2,0,0.653466
123,97196,97196,5882977,+,11208091,5785781,10471093,4,2,0,0.138751
124,98909,98909,679925,+,1702249,581016,1576889,4,2,0,0.929678
125,101087,101087,337678,-,7468157,438765,6874163,2,1,0,0.0541429
126,101979,101979,1100251,+,1362407,998272,1315451,4,2,0,1.19763
127,103131,103131,1178714,+,1840351,1075583,1736213,2,2,0,0.44831
128,103132,103132,5489273,+,15177473,5592405,13985969,2,2,0,0.0543606
129,103947,103947,6314237,+,7717063,6210290,7572449,4,2,0,0.215516
130,103987,103987,306866,-,4681037,410853,4180819,4,1,0,0.177716
131,104955,104955,329647,+,6932609,224692,6224483,2,1,0,0.0605573
132,106963,106963,96126,-,3059377,203089,2739673,2,1,0,0.139849
133,108087,108087,73372,-,3472171,181459,3097781,4,1,0,0.249036
134,108091,108091,152414,-,1273121,44323,1136741,2,1,0,0.33961
135,108639,108639,5529124,+,19179887,5420485,17915981,4,2,0,0.0906274
136,109027,109027,34683,+,3843677,143710,3449119,2,1,0,0.113461
137,109473,109473,406704,+,1996763,297231,1807499,2,1,0,0.219301
138,109554,109554,1613572,+,2687329,1723126,2593529,2,2,0,0.326135
139,110189,110189,1174513,+,3466913,1284702,3249749,2,2,0,0.254264
140,111004,111004,2189719,+,12074431,2078715,10826243,2,1,0,0.0367732
141,111952,111952,991238,+,16603061,879286,15264209,2,2,0,0.0539428
142,112907,112907,2356712,+,11230673,2469619,10513141,2,2,0,0.0804276
143,113627,113627,2743890,+,13937041,2857517,12625111,4,1,0,0.065223
144,114510,114510,373094,-,7880737,487604,6863141,2,1,0,0.0581215
145,115301,115301,1525124,+,1885243,1409823,1823963,2,2,0,0.489278
146,115320,115320,301034,+,19591267,416354,17394569,2,1,0,0.0235452
147,117134,117134,6198421,+,10211909,6315555,9791423,2,2,0,0.0917627
148,117187,117187,838245,+,3123317,721058,2805367,2,1,0,0.15008
149,117251,117251,6152680,+,16246921,6035429,15442543,2,2,0,0.0577345
150,118873,118873,853296,+,1028329,734423,996511,2,2,0,0.924786
151,120020,120020,212890,-,1416551,92870,1290539,4,1,0,0.677815
152,120214,120214,1117348,+,15124381,997134,13715257,4,2,0,0.127174
153,120475,120475,722079,-,8039791,601604,7175561,6,1,0,0.179818
154,120859,120859,270460,+,3174167,149601,2820673,2,1,0,0.152303
155,122142,122142,1307674,+,1375243,1185532,1359097,4,2,0,1.42104
156,122229,122229,3625684,+,4379021,3747913,4289911,2,2,0,0.223299
157,123275,123275,4428866,+,11600159,4552141,10846141,2,2,0,0.0850161
158,123377,123377,3449158,+,6557099,3325781,6168691,6,2,0,0.451579
159,124140,124140,143921,+,1679417,19781,1485763,2,1,0,0.295674
160,124591,124591,1102884,+,1409659,978293,1369793,2,2,0,0.70707
161,124598,124598,197726,-,1510039,73128,1381229,2,1,0,0.330052
162,125839,125839,1402194,+,2829557,1276355,2650931,2,2,0,0.355784
163,126021,126021,224157,+,2239229,350178,2056741,2,2,0,0.45023
164,127450,127450,411085,-,2851361,283635,2544403,2,1,0,0.178792
165,127679,127679,220285,+,6989063,92606,6145753,2,1,0,0.0730736
166,129126,129126,1990438,+,3326417,2119564,3184057,2,2,0,0.310547
167,129310,129310,6743156,+,7743097,6613846,7611377,4,2,0,0.267201
168,129592,129592,475576,-,16534949,605168,15327443,4,1,0,0.0626997
169,130233,130233,1221902,+,5509429,1091669,5142259,2,2,0,0.189106
170,130270,130270,175637,+,1398973,305907,1259129,2,1,0,0.372473
171,130599,130599,400223,+,5981137,530822,5204503,2,1,0,0.0873406
172,131330,131330,1174513,+,3466913,1305843,3249749,2,2,0,0.303048
173,133925,133925,473377,+,1495511,607302,1376003,2,1,0,0.358205
174,134567,134567,373718,+,3919829,508285,3599137,6,2,0,0.823916
175,138355,138355,618050,-,9541771,756405,8406253,4,1,0,0.115999
176,138487,138487,578706,-,11817521,440219,10580729,2,1,0,0.0468751
177,139278,139278,661636,+,1840351,522358,1736213,2,2,0,0.605441
178,139694,139694,1950320,+,4466471,1810626,4187189,2,2,0,0.250209
179,140239,140239,1660989,+,2084287,1520750,2025211,4,2,0,1.07654
180,140566,140566,387419,-,4425349,246853,4021733,2,1,0,0.127055
181,140981,140981,227592,+,8729243,368573,7778891,4,1,0,0.129203
182,141256,141256,106940,+,4100743,248196,3553243,6,1,0,0.413357
183,142242,142242,235030,+,7150691,92788,6396661,4,1,0,0.159137
184,142605,142605,9271408,+,15367369,9414013,14811617,2,2,0,0.0742378
185,144047,144047,479091,+,2245043,623138,2083847,4,2,0,1.0266
186,145505,145505,195917,-,8674537,50412,8261879,4,1,0,0.13419
187,146300,146300,163207,+,1341547,309507,1253737,2,2,0,0.872426
188,147975,147975,736723,+,1076381,588748,1038187,4,2,0,2.19959
189,148520,148520,796832,+,1829143,648312,1664909,2,1,0,0.324786
190,148708,148708,481112,+,12929087,629820,11396699,10,1,0,0.230036
191,149494,149494,207340,+,4142167,57846,3598601,2,1,0,0.144363
192,151462,151462,65701,+,1597331,217163,1407053,2,1,0,0.379288
193,153225,153225,730574,-,11170681,883799,9887323,2,1,0,0.0548668
194,155151,155151,2147260,+,4469627,1992109,4225147,4,2,0,0.555397
195,155822,155822,967806,+,16113281,811984,14717537,2,2,0,0.0773633
196,157080,157080,2569511,+,5827937,2412431,5397493,4,2,0,0.431247
197,157504,157504,678338,+,2326963,835842,2190653,4,2,0,1.08298
198,157536,157536,2135120,+,3260891,2292656,3157577,2,2,0,0.386486
199,157846,157846,3545966,+,11439413,3388120,10793621,2,2,0,0.110387
200,158871,158871,198672,+,5136323,357543,4592171,2,1,0,0.123724
