q,t,p,sign,type,x,y,h,zp_size,zq_size,selected,nearest_zero,linear_distance,cyclic_distance
1005373,70344,897751,-,M+,37277,181674,144397,8,4,0,291306,220962,220962
1009301,323194,951437,+,P,281058,885311,604253,4,0,0,-1,-1,-1
1009301,538127,951437,+,P,66125,670378,604253,4,0,0,-1,-1,-1
1010461,191083,930301,+,P,258257,707598,449341,4,0,0,-1,-1,-1
1010461,226638,930301,+,P,222702,672043,449341,4,0,0,-1,-1,-1
1011271,8568,875593,-,M-,52956,127109,74153,4,4,0,221066,212498,212498
1011671,143350,916099,+,P,199316,541983,342667,4,0,0,-1,-1,-1
1015967,42793,902719,+,P,180437,403668,223231,6,4,0,14659,28134,28134
1027739,165996,910619,+,P,41902,249801,207899,4,2,0,221505,55509,55509
1027883,256448,960077,+,P,296792,850033,553241,4,4,0,277056,20608,20608
1027883,443197,960077,+,P,110043,663284,553241,4,4,0,372928,70269,70269
1028329,685874,996511,+,P,119728,925331,805603,4,2,0,853296,167422,167422
1028329,734423,996511,+,P,71179,876782,805603,4,2,0,853296,118873,118873
1030369,10064,901403,+,P,117542,245149,127607,4,4,0,290172,280108,280108
1032131,90075,906847,-,M+,35208,65067,29859,4,0,0,-1,-1,-1
1036319,139552,962363,+,P,379074,897701,518627,4,0,0,-1,-1,-1
1036319,453965,962363,+,P,64661,583288,518627,4,0,0,-1,-1,-1
1038211,22862,921407,-,M+,93941,197720,103779,4,0,0,-1,-1,-1
1047313,209025,943841,+,P,113983,436992,323009,6,0,0,-1,-1,-1
1049011,146663,978007,+,P,405319,957302,551983,6,0,0,-1,-1,-1
1049011,531278,978007,+,P,20704,572687,551983,6,0,0,-1,-1,-1
1057117,34857,977023,+,P,461601,958060,496459,4,2,0,271627,236770,236770
1057117,477496,977023,+,P,18962,515421,496459,4,2,0,271627,205869,205869
1060421,51215,982273,+,P,462169,975554,513385,4,0,0,-1,-1,-1
1060421,506666,982273,+,P,6718,520103,513385,4,0,0,-1,-1,-1
1076381,588748,1038187,+,P,220274,1029297,809023,4,4,0,736723,147975,147975
1076381,800133,1038187,+,P,8889,817912,809023,4,4,0,857838,57705,57705
1080353,97348,961183,+,P,148814,394977,246163,4,2,0,355353,258005,258005
1084177,92843,971921,-,M+,19412,205541,186129,4,4,0,373210,280367,280367
1084357,13294,959333,+,P,195894,405083,209189,4,0,0,-1,-1,-1
1108957,704918,1077101,+,P,181046,1067011,885965,6,0,0,-1,-1,-1
1108957,875875,1077101,+,P,10089,896054,885965,6,0,0,-1,-1,-1
1120799,120554,982187,+,P,29960,180475,150515,6,2,0,285086,164532,164532
1125739,5442,1009997,-,M+,110299,310102,199803,4,0,0,-1,-1,-1
1129603,68638,986351,-,M-,58200,74613,16413,8,2,0,359586,290948,290948
1142789,344223,1065689,+,P,258865,861954,603089,4,2,0,161861,182362,182362
1142789,399354,1065689,+,P,203734,806823,603089,4,2,0,161861,237493,237493
1144511,410260,1080263,+,P,284514,979289,694775,8,0,0,-1,-1,-1
1144511,593801,1080263,+,P,100973,795748,694775,8,0,0,-1,-1,-1
1151401,283666,1041203,+,P,96348,476363,380015,8,4,0,45668,237998,237998
1158823,191898,1081757,+,P,427462,1046823,619361,4,0,0,-1,-1,-1
1158823,584427,1081757,+,P,34933,654294,619361,4,0,0,-1,-1,-1
1180141,19086,1046659,+,P,226680,472447,245767,4,0,0,-1,-1,-1
1181237,156850,1087027,+,P,364916,886683,521767,4,0,0,-1,-1,-1
1181237,321423,1087027,+,P,200343,722110,521767,4,0,0,-1,-1,-1
1181293,84038,1057603,+,P,231424,546887,315463,4,0,0,-1,-1,-1
1181573,43592,1046389,-,M+,91591,191692,100101,4,0,0,-1,-1,-1
1184461,354101,1080263,+,P,100973,556048,455075,8,2,0,579936,225835,225835
1190587,347814,1082141,+,P,83650,515115,431465,8,0,0,-1,-1,-1
1196537,261505,1116491,+,P,374709,1010924,636215,6,2,0,350769,89264,89264
1196537,530648,1116491,+,P,105566,741781,636215,6,2,0,350769,179879,179879
1210597,83692,1114489,+,P,454148,991989,537841,4,0,0,-1,-1,-1
1210597,415341,1114489,+,P,122499,660340,537841,4,0,0,-1,-1,-1
1210871,2857,1085521,-,M+,122492,330563,208071,4,2,0,442182,439325,439325
1233361,48565,1073143,-,M-,63269,111652,48383,6,2,0,577262,528697,528697
1248529,52210,1194517,-,M+,1801,818234,816433,4,2,0,360446,308236,308236
1254557,505183,1186811,+,P,275151,1055486,780335,4,2,0,174899,330284,330284
1254557,649010,1186811,+,P,131324,911659,780335,4,2,0,1079657,430647,430647
1259077,36026,1143223,+,P,412072,860171,448099,4,0,0,-1,-1,-1
1259077,165047,1143223,+,P,283051,731150,448099,4,0,0,-1,-1,-1
1262563,374864,1191293,+,P,388808,1152481,763673,4,0,0,-1,-1,-1
1262563,724861,1191293,+,P,38811,802484,763673,4,0,0,-1,-1,-1
1270333,174215,1125169,+,P,79969,334154,254185,4,0,0,-1,-1,-1
1271201,620496,1207237,+,P,202956,1026409,823453,4,0,0,-1,-1,-1
1271201,642625,1207237,+,P,180827,1004280,823453,4,0,0,-1,-1,-1
1273121,44323,1136741,-,M+,92056,274137,182081,4,2,0,152414,108091,108091
1275611,18169,1121297,-,M+,136144,177243,41099,6,2,0,281157,262988,262988
1279657,213979,1194763,+,P,471419,1156818,685399,4,0,0,-1,-1,-1
1279657,647454,1194763,+,P,37944,723343,685399,4,0,0,-1,-1,-1
1310041,11331,1162453,-,M+,136256,265593,129337,4,2,0,401172,389841,389841
1322129,24067,1203739,-,M+,94322,469331,375009,4,0,0,-1,-1,-1
1324261,59904,1216867,+,P,512598,1085101,572503,8,0,0,-1,-1,-1
1324261,440737,1216867,+,P,131765,704268,572503,8,0,0,-1,-1,-1
1331411,41690,1236329,-,M+,53391,624146,570755,6,4,0,638617,596927,596927
1331719,208021,1189553,+,P,128535,465092,336557,8,2,0,641510,433489,433489
1341547,309507,1253737,+,P,417369,1144246,726877,6,2,0,163207,146300,146300
1341547,617386,1253737,+,P,109490,836367,726877,6,2,0,163207,454179,454179
1347481,22908,1177711,-,M-,136182,146861,10679,6,0,0,-1,-1,-1
1362407,787421,1315451,+,P,246293,1280008,1033715,4,4,0,692579,94842,94842
1362407,998272,1315451,+,P,35442,1069157,1033715,4,4,0,1100251,101979,101979
1371137,86320,1191781,-,M-,29324,93035,63711,4,4,0,163155,76835,76835
1374019,327787,1286693,+,P,434949,1197686,762737,4,0,0,-1,-1,-1
1374019,673730,1286693,+,P,89006,851743,762737,4,0,0,-1,-1,-1
1375037,29180,1200499,-,M-,124090,145357,21267,4,0,0,-1,-1,-1
1375243,1185532,1359097,+,P,76688,1338909,1262221,4,4,0,1307674,122142,122142
1375243,1242033,1359097,+,P,20187,1282408,1262221,4,4,0,1307674,65641,65641
1389943,16438,1195459,-,M-,12116,178045,165929,6,0,0,-1,-1,-1
1392229,812671,1339001,+,P,206961,1226594,1019633,4,0,0,-1,-1,-1
1392229,907226,1339001,+,P,112406,1132039,1019633,4,0,0,-1,-1,-1
1398973,305907,1259129,+,P,114157,534222,420065,6,2,0,175637,130270,130270
1409659,978293,1369793,+,P,152303,1282900,1130597,4,2,0,1102884,124591,124591
1409659,1043704,1369793,+,P,86892,1217489,1130597,4,2,0,1102884,59180,59180
1410527,690618,1346123,+,P,269080,1228779,959699,4,0,0,-1,-1,-1
1410527,842355,1346123,+,P,117343,1077042,959699,4,0,0,-1,-1,-1
1412629,3991,1286833,+,P,528065,1060122,532057,6,0,0,-1,-1,-1
1412629,305346,1286833,+,P,226710,758767,532057,6,0,0,-1,-1,-1
1416551,92870,1290539,-,M+,33141,441596,408455,6,4,0,212890,120020,120020
1423159,524168,1351667,+,P,398546,1321261,922715,6,2,0,462577,61591,61591
1423159,892309,1351667,+,P,30405,953120,922715,6,2,0,960581,68272,68272
1426987,38737,1345457,-,M+,42792,817539,774747,6,2,0,12497,26240,26240
1439359,17231,1330751,-,M+,91376,661871,570495,8,0,0,-1,-1,-1
1441367,49134,1267103,-,M+,125129,172384,47255,4,0,0,-1,-1,-1
1444913,191987,1280863,+,P,104575,401138,296563,4,2,0,161973,30014,30014
1452169,574346,1365167,+,P,268808,1111963,843155,4,2,0,306758,267588,267588
1452169,589951,1365167,+,P,253203,1096358,843155,4,2,0,306758,283193,283193
1456709,749974,1398979,+,P,302624,1355223,1052599,4,0,0,-1,-1,-1
1456709,1008843,1398979,+,P,43755,1096354,1052599,4,0,0,-1,-1,-1
1459153,555229,1371061,+,P,287279,1129788,842509,6,2,0,228766,326463,326463
1459153,601236,1371061,+,P,241272,1083781,842509,6,2,0,228766,372470,372470
1460741,521769,1387921,+,P,429231,1380232,951001,4,0,0,-1,-1,-1
1460741,943312,1387921,+,P,7688,958689,951001,4,0,0,-1,-1,-1
1462693,67827,1380781,-,M+,14084,821481,807397,6,2,0,490238,422411,422411
1468741,97125,1359427,-,M+,12188,606417,594229,8,2,0,597333,500208,500208
1476529,363070,1340617,+,P,162074,687219,525145,4,2,0,552429,189359,189359
1477843,8358,1277233,-,M-,65214,192251,127037,6,2,0,544227,535869,535869
1487113,7525,1301527,-,M+,178060,180485,2425,4,0,0,-1,-1,-1
1487599,47117,1358881,-,M+,81600,539455,457855,6,0,0,-1,-1,-1
1490161,120323,1363673,+,P,484421,1089166,604745,6,0,0,-1,-1,-1
1490161,330238,1363673,+,P,274506,879251,604745,6,0,0,-1,-1,-1
1495511,607302,1376003,+,P,51652,710607,658955,6,2,0,473377,133925,133925
1499231,22670,1342087,-,M+,134473,376552,242079,8,0,0,-1,-1,-1
1499551,175408,1315451,+,P,35442,246293,210851,4,2,0,229462,54054,54054
1505681,643986,1432511,+,P,349504,1342995,993491,4,0,0,-1,-1,-1
1505681,903975,1432511,+,P,89515,1083006,993491,4,0,0,-1,-1,-1
1509581,12026,1331821,-,M+,165733,253234,87501,4,0,0,-1,-1,-1
1510039,73128,1381229,-,M+,55681,535240,479559,4,2,0,197726,124598,124598
1514783,64540,1331989,-,M+,118253,170684,52431,6,2,0,653909,589369,589369
1517317,279989,1362017,+,P,150227,580444,430217,4,0,0,-1,-1,-1
1519159,361188,1385191,+,P,220194,801577,581383,4,0,0,-1,-1,-1
1521901,245966,1399213,+,P,417118,1080203,663085,4,0,0,-1,-1,-1
1521901,344075,1399213,+,P,319009,982094,663085,4,0,0,-1,-1,-1
1522253,116146,1403239,-,M+,2867,573008,570141,8,0,0,-1,-1,-1
1529149,227006,1362223,+,P,133660,494327,360667,4,0,0,-1,-1,-1
1533139,511655,1390283,+,P,21491,554638,533147,4,2,0,52344,459311,459311
1534051,360876,1420511,+,P,378394,1117665,739271,4,2,0,23058,337818,337818
1534051,436425,1420511,+,P,302845,1042116,739271,4,2,0,23058,413367,413367
1536487,15594,1351543,+,P,226284,468163,241879,8,2,0,590127,574533,574533
1537411,66518,1438097,-,M+,32795,775694,742899,4,0,0,-1,-1,-1
1538167,137834,1424959,+,P,607876,1353587,745711,6,0,0,-1,-1,-1
1538167,674339,1424959,+,P,71371,817082,745711,6,0,0,-1,-1,-1
1538261,101261,1339003,-,M-,42193,97996,55803,4,2,0,487555,386294,386294
1545539,596565,1472467,+,P,437469,1471504,1034035,6,2,0,25438,571127,571127
1545539,1033072,1472467,+,P,962,1034997,1034035,6,2,0,1520100,487028,487028
1548623,284779,1437031,+,P,482699,1250178,767479,4,0,0,-1,-1,-1
1548623,580626,1437031,+,P,186852,954331,767479,4,0,0,-1,-1,-1
1551133,714781,1468553,+,P,258291,1231364,973073,6,0,0,-1,-1,-1
1551133,735884,1468553,+,P,237188,1210261,973073,6,0,0,-1,-1,-1
1553561,56163,1420207,-,M+,77190,563919,486729,4,0,0,-1,-1,-1
1563253,444244,1455439,+,P,364310,1172865,808555,4,0,0,-1,-1,-1
1563253,525981,1455439,+,P,282573,1091128,808555,4,0,0,-1,-1,-1
1570237,73775,1384309,+,P,194965,463706,268741,4,0,0,-1,-1,-1
1576501,18079,1482583,-,M+,75838,900995,825157,4,6,0,611102,593023,593023
1579313,540560,1485733,+,P,383692,1307945,924253,4,2,0,37965,502595,502595
1579313,746465,1485733,+,P,177787,1102040,924253,4,2,0,37965,708500,708500
1597331,217163,1407053,+,P,48221,313606,265385,4,2,0,65701,151462,151462
1610149,59608,1427681,+,P,273264,606137,332873,6,2,0,66768,7160,7160
1611917,283875,1430279,+,P,56575,397026,340451,6,0,0,-1,-1,-1
1616623,922427,1551943,+,P,241435,1405298,1163863,4,0,0,-1,-1,-1
1616623,1017218,1551943,+,P,146644,1310507,1163863,4,0,0,-1,-1,-1
1625483,47922,1408999,+,P,62172,172267,110095,4,2,0,377868,329946,329946
1626503,462669,1514231,+,P,377929,1218528,840599,4,0,0,-1,-1,-1
1626503,544896,1514231,+,P,295702,1136301,840599,4,0,0,-1,-1,-1
1635971,45423,1502689,+,P,657573,1360570,702997,6,0,0,-1,-1,-1
1635971,560878,1502689,+,P,142118,845115,702997,6,0,0,-1,-1,-1
1638569,249260,1444481,+,P,30692,310645,279953,6,0,0,-1,-1,-1
1649287,463502,1544201,+,P,450182,1363867,913685,4,0,0,-1,-1,-1
1649287,733351,1544201,+,P,180333,1094018,913685,4,0,0,-1,-1,-1
1651921,986444,1597601,+,P,285236,1556917,1271681,6,2,0,1590738,604294,604294
1651921,1230997,1597601,+,P,40683,1312364,1271681,6,2,0,1590738,359741,359741
1663589,5738,1621469,-,M+,36381,1363010,1326629,4,4,0,83921,78183,78183
1663919,705331,1575697,+,P,341033,1387398,1046365,6,0,0,-1,-1,-1
1663919,858066,1575697,+,P,188298,1234663,1046365,6,0,0,-1,-1,-1
1670687,253395,1503863,+,P,249523,752442,502919,6,2,0,772167,518772,518772
1675339,90305,1477937,+,P,203219,496744,293525,4,0,0,-1,-1,-1
1676713,47945,1457363,-,M-,93317,171404,78087,6,0,0,-1,-1,-1
1679059,986163,1622233,+,P,295113,1576390,1281277,4,0,0,-1,-1,-1
1679059,1235434,1622233,+,P,45842,1327119,1281277,4,0,0,-1,-1,-1
1679417,19781,1485763,+,P,304057,627896,323839,6,2,0,143921,124140,124140
1680439,92778,1485719,+,P,224620,542019,317399,4,0,0,-1,-1,-1
1689211,128009,1514633,-,M+,46568,339155,292587,6,0,0,-1,-1,-1
1691033,179456,1489751,+,P,102602,384661,282059,6,2,0,147763,31693,31693
1700807,254518,1499627,+,P,38028,330575,292547,4,0,0,-1,-1,-1
1702249,316281,1576889,+,P,508447,1333176,824729,4,4,0,381950,65669,65669
1702249,581016,1576889,+,P,243712,1068441,824729,4,4,0,679925,98909,98909
1703957,125115,1515713,-,M+,63128,261133,198005,6,0,0,-1,-1,-1
1706641,176086,1496567,-,M+,33987,60036,26049,4,0,0,-1,-1,-1
1707767,70,1583929,-,M+,123767,840830,717063,4,2,0,1420,1350,1350
1715237,369826,1606529,+,P,584454,1538735,954281,4,0,0,-1,-1,-1
1715237,886487,1606529,+,P,67793,1022074,954281,4,0,0,-1,-1,-1
1727779,88188,1504589,+,P,77260,242709,165449,6,4,0,751761,663573,663573
1731407,119113,1586617,+,P,598763,1316640,717877,8,2,0,162882,43769,43769
1731407,447900,1586617,+,P,269976,987853,717877,8,2,0,162882,285018,285018
1734763,948859,1673923,+,P,360023,1668906,1308883,4,0,0,-1,-1,-1
1734763,1303866,1673923,+,P,5016,1313899,1308883,4,0,0,-1,-1,-1
1736729,150918,1531333,-,M+,54477,148038,93561,6,0,0,-1,-1,-1
1743059,169016,1609879,+,P,641782,1452581,810799,4,0,0,-1,-1,-1
1743059,653501,1609879,+,P,157297,968096,810799,4,0,0,-1,-1,-1
1754147,91880,1591553,-,M+,70713,524108,453395,4,4,0,368130,276250,276250
1762627,515771,1663381,+,P,552133,1620038,1067905,4,2,0,268261,247510,247510
1762627,1024562,1663381,+,P,43342,1111247,1067905,4,2,0,1494365,469803,469803
1765573,203410,1629623,+,P,610512,1424435,813923,4,2,0,161862,41548,41548
1765573,608735,1629623,+,P,205187,1019110,813923,4,2,0,161862,446873,446873
1765913,666617,1612601,+,P,26111,718840,692729,6,0,0,-1,-1,-1
1773319,255752,1627489,+,P,496756,1249265,752509,6,0,0,-1,-1,-1
1773319,374285,1627489,+,P,378223,1130732,752509,6,0,0,-1,-1,-1
1773847,207881,1625867,+,P,530105,1268092,737987,6,2,0,709270,501389,501389
1773847,380212,1625867,+,P,357774,1095761,737987,6,2,0,709270,329058,329058
1797319,1173820,1747661,+,P,275892,1725605,1449713,4,0,0,-1,-1,-1
1797319,1427657,1747661,+,P,22055,1471768,1449713,4,0,0,-1,-1,-1
1799887,485340,1624811,+,P,89014,663369,574355,6,0,0,-1,-1,-1
1803337,25407,1627693,+,P,548421,1122250,573829,4,0,0,-1,-1,-1
1803337,68386,1627693,+,P,505442,1079271,573829,4,0,0,-1,-1,-1
1807187,4028,1593833,-,M+,209325,309680,100355,4,2,0,174426,170398,170398
1807769,28216,1587877,+,P,240308,508833,268525,4,0,0,-1,-1,-1
1828153,24881,1661123,+,P,634061,1293004,658943,4,0,0,-1,-1,-1
1828153,290824,1661123,+,P,368118,1027061,658943,4,0,0,-1,-1,-1
1829143,648312,1664909,+,P,31192,710697,679505,4,2,0,796832,148520,148520
1831033,180554,1611187,+,P,111556,403667,292111,4,0,0,-1,-1,-1
1831877,134980,1619507,+,P,210306,555593,345287,4,4,0,342281,207301,207301
1833527,34725,1674209,+,P,683575,1401876,718301,8,0,0,-1,-1,-1
1833527,445968,1674209,+,P,272332,990633,718301,8,0,0,-1,-1,-1
1834403,30366,1577267,-,M-,4084,226769,222685,4,0,0,-1,-1,-1
1839473,1250086,1781309,+,P,182238,1614563,1432325,4,2,0,1720216,470130,470130
1839473,1265579,1781309,+,P,166745,1599070,1432325,4,2,0,1720216,454637,454637
1840351,522358,1736213,+,P,589026,1700411,1111385,4,2,0,661636,139278,139278
1840351,1075583,1736213,+,P,35801,1147186,1111385,4,2,0,1178714,103131,103131
1854701,185695,1621469,+,P,36381,258458,222077,4,0,0,-1,-1,-1
1855811,141985,1624811,-,M+,89014,96825,7811,6,2,0,742703,600718,600718
1859687,386895,1681597,+,P,226161,839218,613057,6,0,0,-1,-1,-1
1862737,328817,1717829,+,P,519563,1367944,848381,6,0,0,-1,-1,-1
1862737,498496,1717829,+,P,349884,1198265,848381,6,0,0,-1,-1,-1
1871627,696443,1760021,+,P,393941,1484326,1090385,8,0,0,-1,-1,-1
1871627,814690,1760021,+,P,275694,1366079,1090385,8,0,0,-1,-1,-1
1878229,15508,1677323,+,P,456378,928265,471887,6,0,0,-1,-1,-1
1885243,1135062,1823963,+,P,321220,1777503,1456283,12,2,0,1525124,390062,390062
1885243,1409823,1823963,+,P,46459,1502742,1456283,12,2,0,1525124,115301,115301
1885601,60090,1771271,-,M+,54239,1025200,970961,4,2,0,793641,733551,733551
1887131,7241,1714117,-,M+,165772,668791,503019,8,0,0,-1,-1,-1
1888907,130041,1742579,+,P,734569,1599180,864611,6,2,0,464960,334919,334919
1888907,721212,1742579,+,P,143398,1008009,864611,6,2,0,464960,256252,256252
1912843,22578,1767091,+,P,870000,1762579,892579,6,0,0,-1,-1,-1
1912843,888067,1767091,+,P,4511,897090,892579,6,0,0,-1,-1,-1
1915777,16076,1743229,+,P,691864,1399805,707941,4,0,0,-1,-1,-1
1915777,364517,1743229,+,P,343423,1051364,707941,4,0,0,-1,-1,-1
1919459,319526,1783391,+,P,647456,1614439,966983,6,0,0,-1,-1,-1
1919459,798031,1783391,+,P,168951,1135934,966983,6,0,0,-1,-1,-1
1921393,324130,1792387,+,P,694220,1712571,1018351,4,0,0,-1,-1,-1
1921393,938535,1792387,+,P,79815,1098166,1018351,4,0,0,-1,-1,-1
1932859,63784,1770539,+,P,732834,1529453,796619,6,0,0,-1,-1,-1
1932859,555533,1770539,+,P,241085,1037704,796619,6,0,0,-1,-1,-1
1935893,602113,1765627,+,P,141917,885948,744031,4,0,0,-1,-1,-1
1946501,114779,1808077,-,M+,23644,862753,839109,6,0,0,-1,-1,-1
1946501,834370,1790149,+,P,17666,869703,852037,4,0,0,-1,-1,-1
1956439,752904,1863731,+,P,554578,1862061,1307483,6,0,0,-1,-1,-1
1956439,1305813,1863731,+,P,1669,1309152,1307483,6,0,0,-1,-1,-1
1963391,665978,1780837,+,P,19534,705047,685513,4,2,0,113486,552492,552492
1965443,35434,1825489,-,M+,104519,950330,845811,8,2,0,209328,173894,173894
1966871,480692,1791773,+,P,260492,1001677,741185,4,0,0,-1,-1,-1
