q,occurrences,plus_occurrences,minus_occurrences,unique_Aq,zq_size,selected_occurrences,selected_digits,min_linear_distance,min_cyclic_distance,min_normalized_distance,heuristic_AZ_over_q,max_K_premark,max_K_selected
1005373,1,0,1,1,4,0,0,220962,220962,0.2197811160633914,3.97862285937657e-06,1,0
1009301,2,2,0,2,0,0,0,-1,-1,,0,1,0
1010461,2,2,0,2,0,0,0,-1,-1,,0,1,0
1011271,1,0,1,1,4,0,0,212498,212498,0.21012962895208109,3.9554184783307339e-06,1,0
1011671,1,1,0,1,0,0,0,-1,-1,,0,1,0
1015967,1,1,0,1,4,0,0,28134,28134,0.027691844321715176,3.9371357534250618e-06,1,0
1027739,1,1,0,1,2,0,0,55509,55509,0.054010794569438351,1.9460193687307769e-06,1,0
1027883,2,2,0,2,4,0,0,20608,20608,0.020048974445535144,7.7829869741984253e-06,1,0
1028329,2,2,0,2,2,0,0,118873,118873,0.11559821808001136,3.8898056944810462e-06,1,0
1030369,1,1,0,1,4,0,0,280108,280108,0.27185212288024968,3.8821043723171019e-06,1,0
1032131,1,0,1,1,0,0,0,-1,-1,,0,1,0
1036319,2,2,0,2,0,0,0,-1,-1,,0,1,0
1038211,1,0,1,1,0,0,0,-1,-1,,0,1,0
1047313,1,1,0,1,0,0,0,-1,-1,,0,1,0
1049011,2,2,0,2,0,0,0,-1,-1,,0,1,0
1057117,2,2,0,2,2,0,0,205869,205869,0.19474570932072799,3.783876335353608e-06,1,0
1060421,2,2,0,2,0,0,0,-1,-1,,0,1,0
1076381,2,2,0,2,4,0,0,57705,57705,0.053610199362493394,7.4323125361744588e-06,1,0
1080353,1,1,0,1,2,0,0,258005,258005,0.23881546124276046,1.8512467684173598e-06,1,0
1084177,1,0,1,1,4,0,0,280367,280367,0.25859891881122732,3.6894344742601993e-06,1,0
1084357,1,1,0,1,0,0,0,-1,-1,,0,1,0
1108957,2,2,0,2,0,0,0,-1,-1,,0,1,0
1120799,1,1,0,1,2,0,0,164532,164532,0.14679884618026962,1.7844412780525322e-06,1,0
1125739,1,0,1,1,0,0,0,-1,-1,,0,1,0
1129603,1,0,1,1,2,0,0,290948,290948,0.25756659640599394,1.7705335414300423e-06,1,0
1142789,2,2,0,2,2,0,0,182362,182362,0.15957626473478481,3.5002086999437343e-06,1,0
1144511,2,2,0,2,0,0,0,-1,-1,,0,1,0
1151401,1,1,0,1,4,0,0,237998,237998,0.20670296447545208,3.4740285964663917e-06,1,0
1158823,2,2,0,2,0,0,0,-1,-1,,0,1,0
1180141,1,1,0,1,0,0,0,-1,-1,,0,1,0
