rank,q,t,p,sign,type,zq_size,nearest_zero,linear_distance,cyclic_distance,normalized_distance,zp_size,x,y,h
1,3828743,229267,3477587,-,M+,2,229452,185,185,4.8318730194217788e-05,4,121888,1141383,1019495
2,5861621,98815,5242487,+,P,2,96919,1896,1896,0.00032346001217069476,6,1428867,2956550,1527683
3,5717681,998260,5241881,+,P,2,995237,3023,3023,0.00052871085322878282,6,1388820,3775901,2387081
4,1707767,70,1583929,-,M+,2,1420,1350,1350,0.00079050596480667449,4,123767,840830,717063
5,9710513,2770293,8764387,+,P,4,2780556,10263,10263,0.0010568957582364597,4,317337,3404968,3087631
6,4083901,606719,3640717,+,P,4,602292,4427,4427,0.0010840125654368214,4,374893,1356506,981613
7,9415223,637540,8274509,+,P,4,624059,13481,13481,0.0014318301329665798,8,792684,2222909,1430225
8,4925017,1321411,4579451,+,P,2,1328770,7359,7359,0.0014942080402971197,4,1184643,3690698,2506055
9,7717063,6331555,7572449,+,P,4,6314237,17318,17318,0.0022441180018875056,4,373209,7077974,6704765
10,5767409,5165803,5684641,+,P,2,5147599,18204,18204,0.003156356693274224,6,22229,5210262,5188033
11,4989503,2959861,4736839,+,P,4,2978962,19101,19101,0.0038282370007593942,4,260993,3481848,3220855
12,4012033,63064,3599107,-,M+,4,80786,17722,17722,0.0044172119222349367,4,349861,1058486,708625
13,1610149,59608,1427681,+,P,2,66768,7160,7160,0.004446793433402747,6,273264,606137,332873
14,5145197,3166910,4979617,+,P,2,3143215,23695,23695,0.0046052658430765624,6,819226,4805363,3986137
15,4886333,1889741,4613507,+,P,4,1916597,26856,26856,0.0054961460874647719,4,1086809,4063360,2976551
16,8913391,672304,7936727,+,P,2,721440,49136,49136,0.0055126045743982286,4,1404438,3481181,2076743
17,2032417,585374,1850803,+,P,4,597303,11929,11929,0.0058693663751090454,8,175744,936863,761119
18,4103839,1483396,3792821,+,P,4,1457529,25867,25867,0.0063031225152838594,4,443316,2370029,1926713
19,3280493,16699,2934751,+,P,4,39412,22713,22713,0.0069236544629115195,4,843599,1703898,860299
20,3163799,973466,2884351,+,P,2,995681,22215,22215,0.0070216217907648369,4,234196,1441859,1207663
21,2777539,2050984,2705113,+,P,2,2031109,19875,19875,0.0071556150966737104,4,219572,2490129,2270557
22,3693883,1014673,3313399,+,P,6,986946,27727,27727,0.0075061933472175485,6,15821,1046316,1030495
23,2929373,1256082,2693393,+,P,2,1233970,22112,22112,0.0075483729794737645,6,21430,1298943,1277513
24,5976023,1309255,5460797,+,P,2,1354528,45273,45273,0.0075757740557558092,4,1060185,3429626,2369441
25,8598523,78602,7593371,+,P,2,144029,65427,65427,0.0076090975159338412,6,1483856,3046315,1562459
26,7970357,4799373,7592201,+,P,4,4732214,67159,67159,0.008426096848610419,4,523891,5847156,5323265
27,3260891,2162845,3157577,+,P,2,2135120,27725,27725,0.0085022774450295938,4,374847,2912540,2537693
28,2777539,2055573,2705113,+,P,2,2031109,24464,24464,0.0088077971182402848,4,214983,2485540,2270557
29,4989503,1965864,4736839,+,P,4,2010540,44676,44676,0.008953998023450432,4,1254990,4475845,3220855
30,7980061,2205064,7416313,+,P,4,2278990,73926,73926,0.0092638389606294995,4,1828760,5862585,4033825
31,2026081,569758,1903921,+,P,2,588661,18903,18903,0.0093298342958647758,6,601202,1772163,1170961
32,8704837,3316570,7988753,+,P,2,3399973,83403,83403,0.0095812247834163918,6,375678,4067927,3692249
33,7331501,1318612,6614539,+,P,4,1391958,73346,73346,0.010004226965255819,6,994154,3306921,2312767
34,7891069,310206,7305791,-,M+,2,390651,80445,80445,0.010194436267126799,4,275071,3483916,3208845
35,7425749,1052412,6554341,+,P,2,1132951,80539,80539,0.010845909281339836,8,273480,1599373,1325893
36,5340103,872656,4961563,+,P,2,812889,59767,59767,0.01119210621967404,4,1817666,4507989,2690323
37,6652553,303739,5925253,+,P,2,378502,74763,74763,0.011238241920056857,4,1257713,2819166,1561453
38,5191057,2891143,4959833,+,P,2,2949633,58490,58490,0.011267454778477678,4,681345,4253834,3572489
39,5254229,163782,4656241,+,P,2,225407,61625,61625,0.011728647533253689,4,904530,1972843,1068313
40,5717681,921101,5241881,+,P,2,995237,74136,74136,0.012966095869986451,6,1465979,3853060,2387081
41,3207443,242811,2891419,+,P,4,200912,41899,41899,0.01306305365364248,8,752463,1747738,995275
42,5242907,348033,4628279,+,P,2,416591,68558,68558,0.013076333415793949,6,592477,1532988,940511
43,6159547,583706,5430443,+,P,2,665521,81815,81815,0.013282632635159696,4,472112,1527931,1055819
44,7717063,6210290,7572449,+,P,4,6314237,103947,103947,0.013469761747441999,4,494474,7199239,6704765
45,7468157,438765,6874163,-,M+,2,337678,101087,101087,0.013535735791307011,4,155228,2871433,2716205
46,2595937,119500,2364161,-,M+,4,155873,36373,36373,0.014011511065176081,6,112275,854004,741729
47,6495367,3475188,6072527,+,P,2,3568375,93187,93187,0.014346687415814996,6,60298,3595785,3535487
48,9541771,756405,8406253,-,M+,4,618050,138355,138355,0.014499928786804882,4,379112,836739,457627
49,7880737,487604,6863141,-,M-,2,373094,114510,114510,0.014530366893350204,6,269960,529991,260031
50,2789441,558149,2557561,+,P,2,599136,40987,40987,0.014693624995115508,4,608131,1774412,1166281
51,8039791,601604,7175561,-,M+,6,722079,120475,120475,0.014984842267665914,4,262625,1388576,1125951
52,6932609,224692,6224483,+,P,2,329647,104955,104955,0.01513932200705391,6,1751034,3726761,1975727
53,5350843,105518,4844311,+,P,2,23530,81988,81988,0.015322445453921934,4,1699600,3504719,1805119
54,4859081,583497,4260019,-,M+,4,660497,77000,77000,0.015846617909847562,4,15564,82149,66585
55,5191057,2866490,4959833,+,P,2,2949633,83143,83143,0.01601658390574405,4,705998,4278487,3572489
56,4393063,3680772,4307437,+,P,2,3751153,70381,70381,0.016020940286993381,4,112908,3906589,3793681
57,8729243,368573,7778891,+,P,4,227592,140981,140981,0.016150426789585306,4,1708205,3784984,2076779
58,7743097,6613846,7611377,+,P,4,6743156,129310,129310,0.016700036174156156,4,207210,7028267,6821057
59,8674537,50412,8261879,-,M+,4,195917,145505,145505,0.016773805910332736,6,362245,5735518,5373273
60,2155661,2086850,2146523,+,P,2,2123800,36950,36950,0.017140914086212999,8,4844,2096539,2091695
