q,t
17,3
17,13
19,8
19,10
31,8
31,22
37,17
37,19
41,10
41,30
59,9
59,49
61,4
61,56
73,2
73,70
97,25
97,71
139,61
139,77
151,14
151,136
163,20
163,142
179,36
179,142
181,19
181,47
181,133
181,161
191,81
191,109
193,30
193,64
193,128
193,162
197,44
197,152
211,100
211,110
227,73
227,153
233,39
233,193
241,89
241,151
251,114
251,136
257,72
257,184
271,17
271,41
271,229
271,253
283,140
283,142
293,47
293,83
293,209
293,245
307,86
307,220
331,109
331,221
347,118
347,228
367,182
367,184
379,85
379,152
379,171
379,207
379,226
379,293
419,161
419,257
431,56
431,374
433,195
433,237
439,140
439,298
443,168
443,274
463,53
463,409
499,67
499,170
499,203
499,295
499,328
499,431
503,61
503,441
541,4
541,536
571,140
571,430
577,112
577,464
593,162
593,430
599,145
599,272
599,326
599,453
617,298
617,318
631,112
631,518
659,76
659,582
691,337
691,353
701,101
701,599
709,220
709,321
709,387
709,488
733,22
733,710
751,33
751,717
757,116
757,640
761,319
761,342
761,418
761,441
769,272
769,496
787,89
787,697
821,103
821,282
821,538
821,717
857,371
857,485
881,67
881,813
887,329
887,557
907,156
907,407
907,499
907,750
911,249
911,661
937,363
937,573
947,348
947,598
953,185
953,767
971,351
971,619
977,144
977,832
991,369
991,621
1009,422
1009,586
1049,494
1049,504
1049,508
1049,540
1049,544
1049,554
1069,196
1069,459
1069,502
1069,566
1069,609
1069,872
1087,77
1087,1009
1097,200
1097,896
1117,284
1117,832
1129,98
1129,285
1129,843
1129,1030
1153,216
1153,936
1193,446
1193,746
1201,576
1201,624
1213,58
1213,1154
1217,22
1217,1194
1229,544
1229,684
1259,97
1259,1161
1297,459
1297,530
1297,766
1297,837
1381,277
1381,1103
1427,346
1427,1080
1433,416
1433,1016
1447,438
1447,1008
1453,272
1453,1180
1471,76
1471,1394
1487,104
1487,1382
1489,437
1489,1051
1499,115
1499,1383
1523,283
1523,1239
1531,143
1531,1387
1559,755
1559,803
1619,791
1619,827
1621,203
1621,437
1621,1183
1621,1417
1637,347
1637,1289
1657,586
1657,1070
1669,483
1669,1185
1709,567
1709,710
1709,998
1709,1141
1723,542
1723,1180
1741,43
1741,1697
1759,490
1759,1268
1823,49
1823,1773
1831,708
1831,913
1831,917
1831,1122
1847,65
1847,692
1847,1154
1847,1781
1867,508
1867,1358
1873,128
1873,802
1873,1070
1873,1744
1907,511
1907,1395
1931,692
1931,1238
1933,621
1933,1311
1949,816
1949,1132
1951,423
1951,1527
1973,63
1973,407
1973,1565
1973,1909
2011,414
2011,619
2011,1391
2011,1596
2069,717
2069,1351
2083,543
2083,1539
2087,79
2087,2007
2137,316
2137,324
2137,1812
2137,1820
2179,532
2179,1646
2237,23
2237,492
2237,1744
2237,2213
2269,173
2269,719
2269,1549
2269,2095
2293,691
2293,1081
2293,1211
2293,1601
2297,431
2297,1865
2333,1138
2333,1194
2341,121
2341,438
2341,1902
2341,2219
2371,928
2371,1442
2377,192
2377,2184
2381,549
2381,1831
2383,545
2383,1837
2399,716
2399,1682
2411,1000
2411,1011
2411,1399
2411,1410
2423,130
2423,2292
2441,778
2441,1662
2459,179
2459,2279
2477,855
2477,1621
2521,105
2521,2415
2539,96
2539,2442
2543,728
2543,1814
2557,413
2557,622
2557,1934
2557,2143
2579,848
2579,1730
2591,642
2591,1948
2663,483
2663,2179
2683,964
2683,1718
2693,170
2693,525
2693,1215
2693,1477
2693,2167
2693,2522
2713,1258
2713,1454
2731,51
2731,2679
2767,388
2767,2378
2797,120
2797,2676
2843,1302
2843,1540
2857,733
2857,2123
2879,514
2879,2364
2897,1151
2897,1745
2917,77
2917,961
2917,1955
2917,2839
2939,970
2939,1968
2957,646
2957,2310
2969,336
2969,2632
2971,467
2971,2503
3019,940
3019,1072
3019,1946
3019,2078
3037,725
3037,2311
3041,936
3041,2104
3049,856
3049,2192
3079,304
3079,2774
3089,879
3089,2209
3109,765
3109,2343
3137,1568
3203,701
3203,2501
3209,153
3209,3055
3259,1595
3259,1663
3313,873
3313,2439
3319,388
3319,2930
3331,7
3331,1067
3331,2263
3331,3323
3343,299
3343,1579
3343,1763
3343,3043
3347,1672
3347,1674
3407,520
3407,2886
3413,1188
3413,1195
3413,2217
3413,2224
3449,1590
3449,1858
3457,879
3457,2577
3469,612
3469,2856
3529,1481
3529,2047
3581,44
3581,1262
3581,2318
3581,3536
3607,1793
3607,1813
3613,657
3613,1283
3613,2329
3613,2955
3623,361
3623,3261
3631,761
3631,2869
3697,745
3697,2951
3727,99
3727,868
3727,1011
3727,1294
3727,2432
3727,2715
3727,2858
3727,3627
3733,698
3733,1036
3733,2696
3733,3034
3779,568
3779,3210
3797,1035
3797,2761
3821,241
3821,3579
3833,565
3833,3267
3847,883
3847,2963
3851,1185
3851,2665
3863,562
3863,3300
3877,937
3877,968
3877,2908
3877,2939
3907,579
3907,3327
3917,1274
3917,2642
3923,1084
3923,2838
3929,1865
3929,2063
3943,1313
3943,2629
4001,1113
4001,2887
4013,1866
4013,2146
4019,212
4019,3806
4021,1380
4021,2640
4027,418
4027,3608
4049,1547
4049,2501
4057,481
4057,1469
4057,2587
4057,3575
4091,1100
4091,2990
4111,1267
4111,2843
4153,811
4153,903
4153,3249
4153,3341
4157,1795
4157,2361
4159,810
4159,3348
4177,698
4177,3478
4201,138
4201,4062
4229,1020
4229,3208
4273,431
4273,3841
4283,18
4283,4264
4297,177
4297,1937
4297,2359
4297,4119
4339,446
4339,3892
4349,342
4349,4006
4357,1925
4357,2431
4373,122
4373,2169
4373,2203
4373,4250
4441,970
4441,3470
4447,156
4447,4290
4451,947
4451,3503
4481,1736
4481,2744
4483,1890
4483,2592
4513,398
4513,877
4513,3635
4513,4114
4523,332
4523,4190
4549,1445
4549,3103
4567,222
4567,4344
4583,77
4583,4505
4639,529
4639,1773
4639,2865
4639,4109
4663,1929
4663,2733
4679,413
4679,1475
4679,2322
4679,2356
4679,3203
4679,4265
4703,593
4703,4109
4723,686
4723,2281
4723,2441
4723,4036
4789,1630
4789,3158
4861,1613
4861,3247
4871,825
4871,4045
4877,1990
4877,2886
4933,803
4933,4129
4943,1017
4943,3925
4951,1063
4951,3887
4973,563
4973,4409
