p,zero_count,zeros
2,0,
3,0,
5,0,
7,0,
11,1,5
13,0,
17,2,3;13
19,2,8;10
23,0,
29,0,
31,2,8;22
37,2,17;19
41,2,10;30
43,0,
47,0,
53,0,
59,2,9;49
61,2,4;56
67,0,
71,0,
73,2,2;70
79,0,
83,0,
89,0,
97,2,25;71
101,0,
103,0,
107,0,
109,0,
113,0,
127,0,
131,0,
137,0,
139,2,61;77
149,0,
151,2,14;136
157,0,
163,2,20;142
167,0,
173,0,
179,2,36;142
181,4,19;47;133;161
191,2,81;109
193,4,30;64;128;162
197,2,44;152
199,0,
211,2,100;110
223,0,
227,2,73;153
229,0,
233,2,39;193
239,0,
241,2,89;151
251,2,114;136
257,2,72;184
263,0,
269,0,
271,4,17;41;229;253
277,0,
281,0,
283,2,140;142
293,4,47;83;209;245
307,2,86;220
311,0,
313,0,
317,0,
331,2,109;221
337,0,
347,2,118;228
349,0,
353,0,
359,0,
367,2,182;184
373,0,
379,6,85;152;171;207;226;293
383,0,
389,0,
397,0,
401,0,
409,0,
419,2,161;257
421,0,
431,2,56;374
433,2,195;237
439,2,140;298
443,2,168;274
449,0,
457,0,
461,0,
463,2,53;409
467,0,
479,0,
487,0,
491,0,
499,6,67;170;203;295;328;431
503,2,61;441
509,0,
521,0,
523,0,
541,2,4;536
547,0,
557,0,
563,0,
569,0,
571,2,140;430
577,2,112;464
587,0,
593,2,162;430
599,4,145;272;326;453
601,0,
607,0,
613,0,
617,2,298;318
619,0,
631,2,112;518
641,0,
643,0,
647,0,
653,0,
659,2,76;582
661,0,
673,0,
677,0,
683,0,
691,2,337;353
701,2,101;599
709,4,220;321;387;488
719,0,
727,0,
733,2,22;710
739,0,
743,0,
751,2,33;717
757,2,116;640
761,4,319;342;418;441
769,2,272;496
773,0,
787,2,89;697
797,0,
809,0,
811,0,
821,4,103;282;538;717
823,0,
827,0,
829,0,
839,0,
853,0,
857,2,371;485
859,0,
863,0,
877,0,
881,2,67;813
883,0,
887,2,329;557
907,4,156;407;499;750
911,2,249;661
919,0,
929,0,
937,2,363;573
941,0,
947,2,348;598
953,2,185;767
967,0,
971,2,351;619
977,2,144;832
983,0,
991,2,369;621
997,0,
1009,2,422;586
1013,0,
1019,0,
1021,0,
1031,0,
1033,0,
1039,0,
1049,6,494;504;508;540;544;554
1051,0,
1061,0,
1063,0,
1069,6,196;459;502;566;609;872
1087,2,77;1009
1091,0,
1093,0,
1097,2,200;896
1103,0,
1109,0,
1117,2,284;832
1123,0,
1129,4,98;285;843;1030
1151,0,
1153,2,216;936
1163,0,
1171,0,
1181,0,
1187,0,
1193,2,446;746
1201,2,576;624
1213,2,58;1154
1217,2,22;1194
1223,0,
1229,2,544;684
1231,0,
1237,0,
1249,0,
1259,2,97;1161
1277,0,
1279,0,
1283,0,
1289,0,
1291,0,
1297,4,459;530;766;837
1301,0,
1303,0,
1307,0,
1319,0,
1321,0,
1327,0,
1361,0,
1367,0,
1373,0,
1381,2,277;1103
1399,0,
1409,0,
1423,0,
1427,2,346;1080
1429,0,
1433,2,416;1016
1439,0,
1447,2,438;1008
1451,0,
1453,2,272;1180
1459,0,
1471,2,76;1394
1481,0,
1483,0,
1487,2,104;1382
1489,2,437;1051
1493,0,
1499,2,115;1383
1511,0,
1523,2,283;1239
1531,2,143;1387
1543,0,
1549,0,
1553,0,
1559,2,755;803
1567,0,
1571,0,
1579,0,
1583,0,
1597,0,
1601,0,
1607,0,
1609,0,
1613,0,
1619,2,791;827
1621,4,203;437;1183;1417
1627,0,
1637,2,347;1289
1657,2,586;1070
1663,0,
1667,0,
1669,2,483;1185
1693,0,
1697,0,
1699,0,
1709,4,567;710;998;1141
1721,0,
1723,2,542;1180
1733,0,
1741,2,43;1697
1747,0,
1753,0,
1759,2,490;1268
1777,0,
1783,0,
1787,0,
1789,0,
1801,0,
1811,0,
1823,2,49;1773
1831,4,708;913;917;1122
1847,4,65;692;1154;1781
1861,0,
1867,2,508;1358
1871,0,
1873,4,128;802;1070;1744
1877,0,
1879,0,
1889,0,
1901,0,
1907,2,511;1395
1913,0,
1931,2,692;1238
1933,2,621;1311
1949,2,816;1132
1951,2,423;1527
1973,4,63;407;1565;1909
1979,0,
1987,0,
1993,0,
1997,0,
1999,0,
2003,0,
2011,4,414;619;1391;1596
2017,0,
2027,0,
2029,0,
2039,0,
2053,0,
2063,0,
2069,2,717;1351
2081,0,
2083,2,543;1539
2087,2,79;2007
2089,0,
2099,0,
2111,0,
2113,0,
2129,0,
2131,0,
2137,4,316;324;1812;1820
2141,0,
2143,0,
2153,0,
2161,0,
2179,2,532;1646
2203,0,
2207,0,
2213,0,
2221,0,
2237,4,23;492;1744;2213
2239,0,
2243,0,
2251,0,
2267,0,
2269,4,173;719;1549;2095
2273,0,
2281,0,
2287,0,
2293,4,691;1081;1211;1601
2297,2,431;1865
2309,0,
2311,0,
2333,2,1138;1194
2339,0,
2341,4,121;438;1902;2219
2347,0,
2351,0,
2357,0,
2371,2,928;1442
2377,2,192;2184
2381,2,549;1831
2383,2,545;1837
2389,0,
2393,0,
2399,2,716;1682
2411,4,1000;1011;1399;1410
2417,0,
2423,2,130;2292
2437,0,
2441,2,778;1662
2447,0,
2459,2,179;2279
2467,0,
2473,0,
2477,2,855;1621
2503,0,
2521,2,105;2415
2531,0,
2539,2,96;2442
2543,2,728;1814
2549,0,
2551,0,
2557,4,413;622;1934;2143
2579,2,848;1730
2591,2,642;1948
2593,0,
2609,0,
2617,0,
2621,0,
2633,0,
2647,0,
2657,0,
2659,0,
2663,2,483;2179
2671,0,
2677,0,
2683,2,964;1718
2687,0,
2689,0,
2693,6,170;525;1215;1477;2167;2522
2699,0,
2707,0,
2711,0,
2713,2,1258;1454
2719,0,
2729,0,
2731,2,51;2679
2741,0,
2749,0,
2753,0,
2767,2,388;2378
2777,0,
2789,0,
2791,0,
2797,2,120;2676
2801,0,
2803,0,
2819,0,
2833,0,
2837,0,
2843,2,1302;1540
2851,0,
2857,2,733;2123
2861,0,
2879,2,514;2364
2887,0,
2897,2,1151;1745
2903,0,
2909,0,
2917,4,77;961;1955;2839
2927,0,
2939,2,970;1968
2953,0,
2957,2,646;2310
2963,0,
2969,2,336;2632
2971,2,467;2503
2999,0,
3001,0,
3011,0,
3019,4,940;1072;1946;2078
3023,0,
3037,2,725;2311
3041,2,936;2104
3049,2,856;2192
3061,0,
3067,0,
3079,2,304;2774
3083,0,
3089,2,879;2209
3109,2,765;2343
3119,0,
3121,0,
3137,1,1568
3163,0,
3167,0,
3169,0,
3181,0,
3187,0,
3191,0,
3203,2,701;2501
3209,2,153;3055
3217,0,
3221,0,
3229,0,
3251,0,
3253,0,
3257,0,
3259,2,1595;1663
3271,0,
3299,0,
3301,0,
3307,0,
3313,2,873;2439
3319,2,388;2930
3323,0,
3329,0,
3331,4,7;1067;2263;3323
3343,4,299;1579;1763;3043
3347,2,1672;1674
3359,0,
3361,0,
3371,0,
3373,0,
3389,0,
3391,0,
3407,2,520;2886
3413,4,1188;1195;2217;2224
3433,0,
3449,2,1590;1858
3457,2,879;2577
3461,0,
3463,0,
3467,0,
3469,2,612;2856
3491,0,
3499,0,
3511,0,
3517,0,
3527,0,
3529,2,1481;2047
3533,0,
3539,0,
3541,0,
3547,0,
3557,0,
3559,0,
3571,0,
3581,4,44;1262;2318;3536
3583,0,
3593,0,
3607,2,1793;1813
3613,4,657;1283;2329;2955
3617,0,
3623,2,361;3261
3631,2,761;2869
3637,0,
3643,0,
3659,0,
3671,0,
3673,0,
3677,0,
3691,0,
3697,2,745;2951
3701,0,
3709,0,
3719,0,
3727,8,99;868;1011;1294;2432;2715;2858;3627
3733,4,698;1036;2696;3034
3739,0,
3761,0,
3767,0,
3769,0,
3779,2,568;3210
3793,0,
3797,2,1035;2761
3803,0,
3821,2,241;3579
3823,0,
3833,2,565;3267
3847,2,883;2963
3851,2,1185;2665
3853,0,
3863,2,562;3300
3877,4,937;968;2908;2939
3881,0,
3889,0,
3907,2,579;3327
3911,0,
3917,2,1274;2642
3919,0,
3923,2,1084;2838
3929,2,1865;2063
3931,0,
3943,2,1313;2629
3947,0,
3967,0,
3989,0,
4001,2,1113;2887
4003,0,
4007,0,
4013,2,1866;2146
4019,2,212;3806
4021,2,1380;2640
4027,2,418;3608
4049,2,1547;2501
4051,0,
4057,4,481;1469;2587;3575
4073,0,
4079,0,
4091,2,1100;2990
4093,0,
4099,0,
4111,2,1267;2843
4127,0,
4129,0,
4133,0,
4139,0,
4153,4,811;903;3249;3341
4157,2,1795;2361
4159,2,810;3348
4177,2,698;3478
4201,2,138;4062
4211,0,
4217,0,
4219,0,
4229,2,1020;3208
4231,0,
4241,0,
4243,0,
4253,0,
4259,0,
4261,0,
4271,0,
4273,2,431;3841
4283,2,18;4264
4289,0,
4297,4,177;1937;2359;4119
4327,0,
4337,0,
4339,2,446;3892
4349,2,342;4006
4357,2,1925;2431
4363,0,
4373,4,122;2169;2203;4250
4391,0,
4397,0,
4409,0,
4421,0,
4423,0,
4441,2,970;3470
4447,2,156;4290
4451,2,947;3503
4457,0,
4463,0,
4481,2,1736;2744
4483,2,1890;2592
4493,0,
4507,0,
4513,4,398;877;3635;4114
4517,0,
4519,0,
4523,2,332;4190
4547,0,
4549,2,1445;3103
4561,0,
4567,2,222;4344
4583,2,77;4505
4591,0,
4597,0,
4603,0,
4621,0,
4637,0,
4639,4,529;1773;2865;4109
4643,0,
4649,0,
4651,0,
4657,0,
4663,2,1929;2733
4673,0,
4679,6,413;1475;2322;2356;3203;4265
4691,0,
4703,2,593;4109
4721,0,
4723,4,686;2281;2441;4036
4729,0,
4733,0,
4751,0,
4759,0,
4783,0,
4787,0,
4789,2,1630;3158
4793,0,
4799,0,
4801,0,
4813,0,
4817,0,
4831,0,
4861,2,1613;3247
4871,2,825;4045
4877,2,1990;2886
4889,0,
4903,0,
4909,0,
4919,0,
4931,0,
4933,2,803;4129
4937,0,
4943,2,1017;3925
4951,2,1063;3887
4957,0,
4967,0,
4969,0,
4973,2,563;4409
4987,0,
4993,0,
4999,0,
