lo_exclusive,hi_inclusive,prime_count,q_with_z,q_with_a,q_with_both,total_z,total_a,assigned_occurrences,actual_occurrences,max_z,max_a,mean_z,mean_a,mean_a_times_log_mid,heuristic_sum,heuristic_times_log_mid,heuristic_times_log_mid_squared,norm_gap_q25,norm_gap_median,norm_gap_q75,scaled_gap_median
1000000,1100000,7216,2836,21,11,7146,30,30,0,8,2,0.99029933481152999,0.0041574279379157425,0.05763983116186408,4.6128963615065342e-05,0.00063954582355962993,0.008866855623415373,0.053810496965965876,0.19474570932072799,0.22929828865307594,0.77898283728291196
1100000,1200000,7224,2886,15,6,7340,21,21,0,8,2,1.0160575858250276,0.0029069767441860465,0.04056765261726579,1.556072447979004e-05,0.00021715415041817255,0.003030445343665296,0.14999320081889841,0.17512052406285555,0.20269341920432066,0.70048209625142221
1200000,1300000,7083,2776,12,6,7030,18,18,0,8,2,0.99251729493152618,0.0025412960609911056,0.035676376389526004,1.1202369096371299e-05,0.00015726618494842724,0.0022078055735767878,0.21634455683391446,0.25507337992085211,0.33792986597143099,1.0202935196834084
1300000,1400000,7105,2806,15,8,7222,21,21,0,10,2,1.0164672765657987,0.0029556650246305421,0.041721030001225456,2.5050473250749697e-05,0.0003536028397433384,0.0049913216019106975,0.066219527864235878,0.10108575696242235,0.30456214262140846,0.50260397427705539
1400000,1500000,7029,2833,23,13,7342,32,32,0,10,2,1.0445298050931853,0.0045525679328496226,0.064587618674163641,2.4861483207695653e-05,0.00035271170486140868,0.0050039470978840402,0.041981784247112242,0.089551330615421754,0.22373459123203668,0.5129841675984691
1500000,1600000,6972,2726,24,10,6954,33,33,0,8,2,0.9974182444061962,0.0047332185886402754,0.067466187770159086,1.9337444803108772e-05,0.00027563140337797212,0.0039287853851247539,0.22794072176526312,0.30735358308978744,0.36000389277244355,1.2294143323591498
1600000,1700000,7014,2706,19,7,6824,26,26,0,10,2,0.97291132021670945,0.0037068719703450244,0.053068638721527776,1.0869098740889382e-05,0.00015560512446163161,0.0022276874408759489,0.032869191271940573,0.073918508625314613,0.2103773346473648,0.37597267113451699
1700000,1800000,6931,2692,19,8,6860,29,29,0,10,2,0.98975616794113408,0.0041841004184100415,0.060146972158576138,1.9566345619013032e-05,0.00028126869040085334,0.0040432729616580116,0.024842656191260908,0.089499437387147371,0.1644892853636104,0.43515332432055293
1800000,1900000,6957,2721,21,9,6934,30,30,0,12,2,0.99669397728906139,0.0043122035360068992,0.062228099167979764,1.510942244215192e-05,0.00021803948497565174,0.003146461566645861,0.081196494751913872,0.11316316543086681,0.24715611482201696,0.54264609109924422
1900000,2000000,6904,2710,14,4,6998,22,22,0,10,2,1.0136152954808806,0.0031865585168018538,0.046152010207398383,4.0523036758612691e-06,5.8690891639275253e-05,0.00085004013443810739,0.080063104558489376,0.18493627805323121,0.28372301148059514,0.73974511221292483
