p,Zp,zero_indices,degree,mahler_units,mahler_v1,mahler_vge2,mahler_last_unit,v_p(c_top),mahler_nonunit_indices,power_units,power_v1,power_vge2,strassmann_index,v_p(a_top)_trunc,power_nonunit_indices
11,1,5,9,8,2,0,9,0,5;7,8,2,0,9,0,1;2
13,0,,11,11,1,0,10,1,11,11,1,0,10,1,11
17,2,3;13,15,16,0,0,15,0,,14,2,0,15,0,8;12
19,2,8;10,17,17,1,0,17,0,8,18,0,0,17,0,
23,0,,21,21,1,0,20,1,21,20,2,0,20,1,15;21
29,0,,27,27,1,0,26,1,27,26,2,0,26,1,8;27
31,2,8;22,29,26,4,0,28,1,3;12;14;29,29,1,0,28,1,29
37,2,17;19,35,34,2,0,34,1,13;35,34,2,0,34,1,19;35
41,2,10;30,39,39,1,0,39,0,30,38,2,0,39,0,14;22
43,0,,41,42,0,0,41,0,,42,0,0,41,0,
47,0,,45,45,1,0,44,1,45,45,1,0,44,1,45
53,0,,51,50,2,0,50,1,23;51,49,3,0,50,1,28;38;51
59,2,9;49,57,58,0,0,57,0,,58,0,0,57,0,
61,2,4;56,59,59,1,0,58,1,59,58,2,0,58,1,14;59
67,0,,65,66,0,0,65,0,,66,0,0,65,0,
71,0,,69,67,3,0,68,1,21;28;69,69,1,0,68,1,69
73,2,2;70,71,70,2,0,71,0,25;37,71,1,0,71,0,37
79,0,,77,75,3,0,76,1,44;70;77,76,2,0,76,1,14;77
83,0,,81,78,4,0,81,0,7;36;46;73,80,2,0,81,0,29;41
89,0,,87,88,0,0,87,0,,86,2,0,87,0,59;65
97,2,25;71,95,96,0,0,95,0,,96,0,0,95,0,
101,0,,99,97,3,0,98,1,19;93;99,99,1,0,98,1,99
