p,zp_size
7,0
11,1
13,0
17,2
19,2
23,0
29,0
31,2
37,2
41,2
43,0
47,0
53,0
59,2
61,2
67,0
71,0
73,2
79,0
83,0
89,0
97,2
101,0
103,0
107,0
109,0
113,0
127,0
131,0
137,0
139,2
149,0
151,2
157,0
163,2
167,0
173,0
179,2
181,4
191,2
193,4
197,2
199,0
211,2
223,0
227,2
229,0
233,2
239,0
241,2
251,2
257,2
263,0
269,0
271,4
277,0
281,0
283,2
293,4
307,2
311,0
313,0
317,0
331,2
337,0
347,2
349,0
353,0
359,0
367,2
373,0
379,6
383,0
389,0
397,0
401,0
409,0
419,2
421,0
431,2
433,2
439,2
443,2
449,0
457,0
461,0
463,2
467,0
479,0
487,0
491,0
499,6
503,2
509,0
521,0
523,0
541,2
547,0
557,0
563,0
569,0
571,2
577,2
587,0
593,2
599,4
601,0
607,0
613,0
617,2
619,0
631,2
641,0
643,0
647,0
653,0
659,2
661,0
673,0
677,0
683,0
691,2
701,2
709,4
719,0
727,0
733,2
739,0
743,0
751,2
757,2
761,4
769,2
773,0
787,2
797,0
809,0
811,0
821,4
823,0
827,0
829,0
839,0
853,0
857,2
859,0
863,0
877,0
881,2
883,0
887,2
907,4
911,2
919,0
929,0
937,2
941,0
947,2
953,2
967,0
971,2
977,2
983,0
991,2
997,0
1009,2
1013,0
1019,0
1021,0
1031,0
1033,0
1039,0
1049,6
1051,0
1061,0
1063,0
1069,6
1087,2
1091,0
1093,0
1097,2
1103,0
1109,0
1117,2
1123,0
1129,4
1151,0
1153,2
1163,0
1171,0
1181,0
1187,0
1193,2
1201,2
1213,2
1217,2
1223,0
1229,2
1231,0
1237,0
1249,0
1259,2
1277,0
1279,0
1283,0
1289,0
1291,0
1297,4
1301,0
1303,0
1307,0
1319,0
1321,0
1327,0
1361,0
1367,0
1373,0
1381,2
1399,0
1409,0
1423,0
1427,2
1429,0
1433,2
1439,0
1447,2
1451,0
1453,2
1459,0
1471,2
1481,0
1483,0
1487,2
1489,2
1493,0
1499,2
1511,0
1523,2
1531,2
1543,0
1549,0
1553,0
1559,2
1567,0
1571,0
1579,0
1583,0
1597,0
1601,0
1607,0
1609,0
1613,0
1619,2
1621,4
1627,0
1637,2
1657,2
1663,0
1667,0
1669,2
1693,0
1697,0
1699,0
1709,4
1721,0
1723,2
1733,0
1741,2
1747,0
1753,0
1759,2
1777,0
1783,0
1787,0
1789,0
1801,0
1811,0
1823,2
1831,4
1847,4
1861,0
1867,2
1871,0
1873,4
1877,0
1879,0
1889,0
1901,0
1907,2
1913,0
1931,2
1933,2
1949,2
1951,2
1973,4
1979,0
1987,0
1993,0
1997,0
1999,0
2003,0
2011,4
2017,0
2027,0
2029,0
2039,0
2053,0
2063,0
2069,2
2081,0
2083,2
2087,2
2089,0
2099,0
2111,0
2113,0
2129,0
2131,0
2137,4
2141,0
2143,0
2153,0
2161,0
2179,2
2203,0
2207,0
2213,0
2221,0
2237,4
2239,0
2243,0
2251,0
2267,0
2269,4
2273,0
2281,0
2287,0
2293,4
2297,2
2309,0
2311,0
2333,2
2339,0
2341,4
2347,0
2351,0
2357,0
2371,2
2377,2
2381,2
2383,2
2389,0
2393,0
2399,2
2411,4
2417,0
2423,2
2437,0
2441,2
2447,0
2459,2
2467,0
2473,0
2477,2
2503,0
2521,2
2531,0
2539,2
2543,2
2549,0
2551,0
2557,4
2579,2
2591,2
2593,0
2609,0
2617,0
2621,0
2633,0
2647,0
2657,0
2659,0
2663,2
2671,0
2677,0
2683,2
2687,0
2689,0
2693,6
2699,0
2707,0
2711,0
2713,2
2719,0
2729,0
2731,2
2741,0
2749,0
2753,0
2767,2
2777,0
2789,0
2791,0
2797,2
2801,0
2803,0
2819,0
2833,0
2837,0
2843,2
2851,0
2857,2
2861,0
2879,2
2887,0
2897,2
2903,0
2909,0
2917,4
2927,0
2939,2
2953,0
2957,2
2963,0
2969,2
2971,2
2999,0
3001,0
3011,0
3019,4
3023,0
3037,2
3041,2
3049,2
3061,0
3067,0
3079,2
3083,0
3089,2
3109,2
3119,0
3121,0
3137,1
3163,0
3167,0
3169,0
3181,0
3187,0
3191,0
3203,2
3209,2
3217,0
3221,0
3229,0
3251,0
3253,0
3257,0
3259,2
3271,0
3299,0
3301,0
3307,0
3313,2
3319,2
3323,0
3329,0
3331,4
3343,4
3347,2
3359,0
3361,0
3371,0
3373,0
3389,0
3391,0
3407,2
3413,4
3433,0
3449,2
3457,2
3461,0
3463,0
3467,0
3469,2
3491,0
3499,0
3511,0
3517,0
3527,0
3529,2
3533,0
3539,0
3541,0
3547,0
3557,0
3559,0
3571,0
3581,4
3583,0
3593,0
3607,2
3613,4
3617,0
3623,2
3631,2
3637,0
3643,0
3659,0
3671,0
3673,0
3677,0
3691,0
3697,2
3701,0
3709,0
3719,0
3727,8
3733,4
3739,0
3761,0
3767,0
3769,0
3779,2
3793,0
3797,2
3803,0
3821,2
3823,0
3833,2
3847,2
3851,2
3853,0
3863,2
3877,4
3881,0
3889,0
3907,2
3911,0
3917,2
3919,0
3923,2
3929,2
3931,0
3943,2
3947,0
3967,0
3989,0
4001,2
4003,0
4007,0
4013,2
4019,2
4021,2
4027,2
4049,2
4051,0
4057,4
4073,0
4079,0
4091,2
4093,0
4099,0
4111,2
4127,0
4129,0
4133,0
4139,0
4153,4
4157,2
4159,2
4177,2
4201,2
4211,0
4217,0
4219,0
4229,2
4231,0
4241,0
4243,0
4253,0
4259,0
4261,0
4271,0
4273,2
4283,2
4289,0
4297,4
4327,0
4337,0
4339,2
4349,2
4357,2
4363,0
4373,4
4391,0
4397,0
4409,0
4421,0
4423,0
4441,2
4447,2
4451,2
4457,0
4463,0
4481,2
4483,2
4493,0
4507,0
4513,4
4517,0
4519,0
4523,2
4547,0
4549,2
4561,0
4567,2
4583,2
4591,0
4597,0
4603,0
4621,0
4637,0
4639,4
4643,0
4649,0
4651,0
4657,0
4663,2
4673,0
4679,6
4691,0
4703,2
4721,0
4723,4
4729,0
4733,0
4751,0
4759,0
4783,0
4787,0
4789,2
4793,0
4799,0
4801,0
4813,0
4817,0
4831,0
4861,2
4871,2
4877,2
4889,0
4903,0
4909,0
4919,0
4931,0
4933,2
4937,0
4943,2
4951,2
4957,0
4967,0
4969,0
4973,2
4987,0
4993,0
4999,0
5003,0
5009,2
5011,2
5021,2
5023,2
5039,0
5051,0
5059,0
5077,0
5081,0
5087,0
5099,4
5101,2
5107,0
5113,0
5119,0
5147,0
5153,0
5167,0
5171,0
5179,0
5189,0
5197,0
5209,2
5227,2
5231,0
5233,4
5237,2
5261,0
5273,2
5279,0
5281,0
5297,2
5303,0
5309,0
5323,0
5333,0
5347,4
5351,0
5381,0
5387,0
