p,Z,scale,K0,signed_frequency_count,literal_signed_offdiag,signed_total_including_diag,signed_diagonal,task_prediction,literal_over_task_prediction,signed_total_prediction,signed_total_ratio,signed_off_poisson_prediction,signed_off_poisson_ratio,signed_off_fixed_margin_prediction,signed_off_fixed_margin_ratio,signed_total_fixed_margin_prediction,signed_total_fixed_margin_ratio,positive_offdiag,positive_total
7,0,sqrt,2,4,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
7,0,cuberoot,1,2,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
11,1,sqrt,3,6,0,6,6,3.81818181818,0,9.27272727273,0.647058823529,2.72727272727,0,0,nan,6,1,0,3
11,1,cuberoot,2,4,0,4,4,2.36363636364,0,5.45454545455,0.733333333333,1.09090909091,0,0,nan,4,1,0,2
13,0,sqrt,3,6,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
13,0,cuberoot,2,4,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
17,2,sqrt,4,8,8,24,16,11.7647058824,0.68,31.0588235294,0.772727272727,13.1764705882,0.607142857143,7.46666666667,1.07142857143,23.4666666667,1.02272727273,2,10
17,2,cuberoot,2,4,0,8,8,4.94117647059,0,11.7647058824,0.68,2.82352941176,0,1.6,0,9.6,0.833333333333,0,4
19,2,sqrt,4,8,4,20,16,11.3684210526,0.351851851852,29.4736842105,0.678571428571,11.7894736842,0.339285714286,6.58823529412,0.607142857143,22.5882352941,0.885416666667,0,8
19,2,cuberoot,2,4,0,8,8,4.84210526316,0,11.3684210526,0.703703703704,2.52631578947,0,1.41176470588,0,9.41176470588,0.85,0,4
23,0,sqrt,4,8,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
23,0,cuberoot,2,4,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
29,0,sqrt,5,10,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
29,0,cuberoot,3,6,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
31,2,sqrt,5,10,4,24,20,13.2258064516,0.30243902439,32.9032258065,0.729411764706,11.6129032258,0.344444444444,6.20689655172,0.644444444444,26.2068965517,0.915789473684,0,10
31,2,cuberoot,3,6,0,12,12,7.16129032258,0,16.6451612903,0.720930232558,3.87096774194,0,2.06896551724,0,14.0689655172,0.852941176471,0,6
37,2,sqrt,6,12,8,32,24,15.8918918919,0.503401360544,39.5675675676,0.808743169399,14.2702702703,0.560606060606,7.54285714286,1.06060606061,31.5428571429,1.01449275362,0,12
37,2,cuberoot,3,6,4,16,12,6.97297297297,0.573643410853,15.8918918919,1.00680272109,3.24324324324,1.23333333333,1.71428571429,2.33333333333,13.7142857143,1.16666666667,0,6
41,2,sqrt,6,12,8,32,24,15.512195122,0.51572327044,38.0487804878,0.841025641026,12.8780487805,0.621212121212,6.76923076923,1.18181818182,30.7692307692,1.04,4,16
41,2,cuberoot,3,6,4,16,12,6.87804878049,0.581560283688,15.512195122,1.03144654088,2.92682926829,1.36666666667,1.53846153846,2.6,13.5384615385,1.18181818182,2,8
43,0,sqrt,6,12,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
43,0,cuberoot,3,6,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
47,0,sqrt,6,12,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
47,0,cuberoot,3,6,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
53,0,sqrt,7,14,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
53,0,cuberoot,3,6,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
59,2,sqrt,7,14,4,32,28,17.3220338983,0.230919765166,41.2881355932,0.775041050903,12.3389830508,0.324175824176,6.38596491228,0.626373626374,34.3859649123,0.930612244898,2,16
59,2,cuberoot,3,6,0,12,12,6.61016949153,0,14.4406779661,0.830985915493,2.03389830508,0,1.05263157895,0,13.0526315789,0.91935483871,0,6
61,2,sqrt,7,14,4,32,28,17.2131147541,0.232380952381,40.8524590164,0.783306581059,11.9344262295,0.335164835165,6.16949152542,0.648351648352,34.1694915254,0.936507936508,0,14
61,2,cuberoot,3,6,0,12,12,6.59016393443,0,14.3606557377,0.835616438356,1.96721311475,0,1.01694915254,0,13.0169491525,0.921875,0,6
67,0,sqrt,8,16,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
67,0,cuberoot,4,8,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
71,0,sqrt,8,16,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
71,0,cuberoot,4,8,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
73,2,sqrt,8,16,8,40,32,19.5068493151,0.410112359551,46.0273972603,0.869047619048,13.1506849315,0.608333333333,6.76056338028,1.18333333333,38.7605633803,1.03197674419,0,16
73,2,cuberoot,4,8,4,20,16,8.87671232877,0.450617283951,19.5068493151,1.02528089888,3.06849315068,1.30357142857,1.57746478873,2.53571428571,17.5774647887,1.13782051282,0,8
79,0,sqrt,8,16,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
79,0,cuberoot,4,8,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
83,0,sqrt,9,18,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
83,0,cuberoot,4,8,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
89,0,sqrt,9,18,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
89,0,cuberoot,4,8,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
97,2,sqrt,9,18,4,40,36,21.3402061856,0.187439613527,49.3608247423,0.810359231412,12.618556701,0.316993464052,6.44210526316,0.62091503268,42.4421052632,0.94246031746,0,18
97,2,cuberoot,4,8,0,16,16,8.65979381443,0,18.6391752577,0.858407079646,2.30927835052,0,1.17894736842,0,17.1789473684,0.93137254902,0,8
101,0,sqrt,10,20,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
101,0,cuberoot,4,8,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
103,0,sqrt,10,20,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
103,0,cuberoot,4,8,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
107,0,sqrt,10,20,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
107,0,cuberoot,4,8,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
109,0,sqrt,10,20,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
109,0,cuberoot,4,8,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
113,0,sqrt,10,20,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
113,0,cuberoot,4,8,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
127,0,sqrt,11,22,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
127,0,cuberoot,5,10,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
131,0,sqrt,11,22,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
131,0,cuberoot,5,10,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
137,0,sqrt,11,22,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
137,0,cuberoot,5,10,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
139,2,sqrt,11,22,4,48,44,25.4820143885,0.156973461321,57.928057554,0.828614008942,13.2949640288,0.300865800866,6.74452554745,0.593073593074,50.7445255474,0.945914844649,2,24
139,2,cuberoot,5,10,0,20,20,10.7194244604,0,22.8776978417,0.874213836478,2.58992805755,0,1.31386861314,0,21.3138686131,0.938356164384,0,10
149,0,sqrt,12,24,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
149,0,cuberoot,5,10,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
151,2,sqrt,12,24,4,52,48,27.8145695364,0.14380952381,63.2582781457,0.82202680067,14.6225165563,0.273550724638,7.40939597315,0.539855072464,55.4093959732,0.938468992248,0,24
151,2,cuberoot,5,10,0,20,20,10.6622516556,0,22.6490066225,0.883040935673,2.38410596026,0,1.20805369128,0,21.2080536913,0.943037974684,0,10
157,0,sqrt,12,24,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
157,0,cuberoot,5,10,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
163,2,sqrt,12,24,8,56,48,27.5337423313,0.29055258467,62.1349693252,0.901263823065,13.5460122699,0.590579710145,6.85714285714,1.16666666667,54.8571428571,1.02083333333,4,28
163,2,cuberoot,5,10,4,24,20,10.6134969325,0.376878612717,22.4539877301,1.06885245902,2.20858895706,1.81111111111,1.11801242236,3.57777777778,21.1180124224,1.13647058824,2,12
167,0,sqrt,12,24,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
167,0,cuberoot,5,10,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
173,0,sqrt,13,26,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
173,0,cuberoot,5,10,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
179,2,sqrt,13,26,8,60,52,29.7765363128,0.268667917448,67.1061452514,0.894105894106,14.5251396648,0.550769230769,7.34463276836,1.08923076923,59.3446327684,1.01104341203,0,26
179,2,cuberoot,5,10,0,20,20,10.5586592179,0,22.2346368715,0.899497487437,2.01117318436,0,1.01694915254,0,21.0169491525,0.951612903226,0,10
181,4,sqrt,13,26,44,148,104,66.9392265193,0.657312644437,163.756906077,0.903778677463,57.4585635359,0.765769230769,43.5754189944,1.00974358974,147.575418994,1.00287704422,16,68
181,4,cuberoot,5,10,4,44,40,22.2099447514,0.180099502488,48.8397790055,0.900904977376,7.95580110497,0.502777777778,6.03351955307,0.662962962963,46.0335195531,0.955825242718,2,22
191,2,sqrt,13,26,8,60,52,29.5392670157,0.270825948245,66.1570680628,0.906932573599,13.612565445,0.587692307692,6.87830687831,1.16307692308,58.8783068783,1.01905104242,4,30
191,2,cuberoot,5,10,0,20,20,10.5235602094,0,22.0942408377,0.905213270142,1.88481675393,0,0.952380952381,0,20.9523809524,0.954545454545,0,10
193,4,sqrt,13,26,56,160,104,66.0103626943,0.848351648352,160.041450777,0.999740999741,53.8860103627,1.03923076923,40.8376963351,1.37128205128,144.837696335,1.1046847889,18,70
193,4,cuberoot,5,10,8,48,40,22.0725388601,0.362441314554,48.2901554404,0.993991416309,7.46113989637,1.07222222222,5.65445026178,1.41481481481,45.6544502618,1.05137614679,4,24
197,2,sqrt,14,28,4,60,56,31.9796954315,0.125079365079,71.9187817259,0.834274421231,15.3502538071,0.260582010582,7.75384615385,0.515873015873,63.7538461538,0.94111969112,0,28
197,2,cuberoot,5,10,0,20,20,10.5076142132,0,22.0304568528,0.907834101382,1.82741116751,0,0.923076923077,0,20.9230769231,0.955882352941,0,10
199,0,sqrt,14,28,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
199,0,cuberoot,5,10,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
211,2,sqrt,14,28,8,64,56,31.7156398104,0.252241482367,70.8625592417,0.903156768325,14.3317535545,0.558201058201,7.23444976077,1.10582010582,63.2344497608,1.01210653753,2,30
211,2,cuberoot,5,10,0,20,20,10.4739336493,0,21.8957345972,0.91341991342,1.70616113744,0,0.861244019139,0,20.8612440191,0.95871559633,0,10
223,0,sqrt,14,28,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
223,0,cuberoot,6,12,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
227,2,sqrt,15,30,4,64,60,33.9647577093,0.117769130999,75.859030837,0.843670150987,15.3303964758,0.26091954023,7.73333333333,0.51724137931,67.7333333333,0.944881889764,0,30
227,2,cuberoot,6,12,0,24,24,12.6343612335,0,26.5374449339,0.90438247012,2.32599118943,0,1.17333333333,0,25.1733333333,0.953389830508,0,12
