p,q,ell,Zp,Zq,Zell,count,main_numerator,main_denominator,error_numerator,error_denominator,fourier_error_real,fourier_error_imag,count_abs_error
53,59,61,0,2,2,0,0,1,0,1,0,0.000e+00,0.000e+00
53,59,67,0,2,0,0,0,1,0,1,0,0.000e+00,0.000e+00
53,59,71,0,2,0,0,0,1,0,1,0,0.000e+00,0.000e+00
53,59,73,0,2,2,0,0,1,0,1,0,0.000e+00,0.000e+00
53,59,79,0,2,0,0,0,1,0,1,0,0.000e+00,0.000e+00
53,59,83,0,2,0,0,0,1,0,1,0,0.000e+00,0.000e+00
53,59,89,0,2,0,0,0,1,0,1,0,0.000e+00,0.000e+00
53,59,97,0,2,2,0,0,1,0,1,0,0.000e+00,0.000e+00
53,61,67,0,2,0,0,0,1,0,1,0,0.000e+00,0.000e+00
53,61,71,0,2,0,0,0,1,0,1,0,0.000e+00,0.000e+00
53,61,73,0,2,2,0,0,1,0,1,0,0.000e+00,0.000e+00
53,61,79,0,2,0,0,0,1,0,1,0,0.000e+00,0.000e+00
53,61,83,0,2,0,0,0,1,0,1,0,0.000e+00,0.000e+00
53,61,89,0,2,0,0,0,1,0,1,0,0.000e+00,0.000e+00
53,61,97,0,2,2,0,0,1,0,1,0,0.000e+00,0.000e+00
53,67,71,0,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
53,67,73,0,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
53,67,79,0,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
53,67,83,0,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
53,67,89,0,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
53,67,97,0,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
53,71,73,0,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
53,71,79,0,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
53,71,83,0,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
53,71,89,0,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
53,71,97,0,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
53,73,79,0,2,0,0,0,1,0,1,0,0.000e+00,0.000e+00
53,73,83,0,2,0,0,0,1,0,1,0,0.000e+00,0.000e+00
53,73,89,0,2,0,0,0,1,0,1,0,0.000e+00,0.000e+00
53,73,97,0,2,2,0,0,1,0,1,0,0.000e+00,0.000e+00
53,79,83,0,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
53,79,89,0,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
53,79,97,0,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
53,83,89,0,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
53,83,97,0,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
53,89,97,0,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
59,61,67,2,2,0,0,0,1,0,1,0,0.000e+00,0.000e+00
59,61,71,2,2,0,0,0,1,0,1,0,0.000e+00,0.000e+00
59,61,73,2,2,2,0,20000,262727,-20000,262727,-0.076124646496172885,8.227e-17,1.002e-16
59,61,79,2,2,0,0,0,1,0,1,0,0.000e+00,0.000e+00
59,61,83,2,2,0,0,0,1,0,1,0,0.000e+00,0.000e+00
59,61,89,2,2,0,0,0,1,0,1,0,0.000e+00,0.000e+00
59,61,97,2,2,2,0,20000,349103,-20000,349103,-0.057289682414645542,-5.308e-17,5.327e-17
59,67,71,2,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
59,67,73,2,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
59,67,79,2,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
59,67,83,2,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
59,67,89,2,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
59,67,97,2,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
59,71,73,2,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
59,71,79,2,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
59,71,83,2,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
59,71,89,2,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
59,71,97,2,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
59,73,79,2,2,0,0,0,1,0,1,0,0.000e+00,0.000e+00
59,73,83,2,2,0,0,0,1,0,1,0,0.000e+00,0.000e+00
59,73,89,2,2,0,0,0,1,0,1,0,0.000e+00,0.000e+00
59,73,97,2,2,2,0,20000,417779,-20000,417779,-0.047872200373881978,-6.686e-17,1.122e-16
59,79,83,2,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
59,79,89,2,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
59,79,97,2,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
59,83,89,2,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
59,83,97,2,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
59,89,97,2,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
61,67,71,2,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
61,67,73,2,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
61,67,79,2,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
61,67,83,2,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
61,67,89,2,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
61,67,97,2,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
61,71,73,2,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
61,71,79,2,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
61,71,83,2,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
61,71,89,2,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
61,71,97,2,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
61,73,79,2,2,0,0,0,1,0,1,0,0.000e+00,0.000e+00
61,73,83,2,2,0,0,0,1,0,1,0,0.000e+00,0.000e+00
61,73,89,2,2,0,0,0,1,0,1,0,0.000e+00,0.000e+00
61,73,97,2,2,2,0,20000,431941,-20000,431941,-0.046302620033754467,4.163e-17,1.510e-16
61,79,83,2,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
61,79,89,2,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
61,79,97,2,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
61,83,89,2,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
61,83,97,2,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
61,89,97,2,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
67,71,73,0,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
67,71,79,0,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
67,71,83,0,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
67,71,89,0,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
67,71,97,0,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
67,73,79,0,2,0,0,0,1,0,1,0,0.000e+00,0.000e+00
67,73,83,0,2,0,0,0,1,0,1,0,0.000e+00,0.000e+00
67,73,89,0,2,0,0,0,1,0,1,0,0.000e+00,0.000e+00
67,73,97,0,2,2,0,0,1,0,1,0,0.000e+00,0.000e+00
67,79,83,0,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
67,79,89,0,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
67,79,97,0,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
67,83,89,0,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
67,83,97,0,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
67,89,97,0,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
71,73,79,0,2,0,0,0,1,0,1,0,0.000e+00,0.000e+00
71,73,83,0,2,0,0,0,1,0,1,0,0.000e+00,0.000e+00
71,73,89,0,2,0,0,0,1,0,1,0,0.000e+00,0.000e+00
71,73,97,0,2,2,0,0,1,0,1,0,0.000e+00,0.000e+00
71,79,83,0,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
71,79,89,0,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
71,79,97,0,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
71,83,89,0,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
71,83,97,0,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
71,89,97,0,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
73,79,83,2,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
73,79,89,2,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
73,79,97,2,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
73,83,89,2,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
73,83,97,2,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
73,89,97,2,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
79,83,89,0,0,0,0,0,1,0,1,0,0.000e+00,0.000e+00
79,83,97,0,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
79,89,97,0,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
83,89,97,0,0,2,0,0,1,0,1,0,0.000e+00,0.000e+00
