p,Z,cloud_size,pencil_line_count,vertical_line_count,slope_zero_count,max_line,max_nonzero_line,line_energy,nonzero_line_energy,random_raw_energy,raw_energy_ratio,forced_diagonal_prediction,forced_diagonal_ratio,random_nonzero_energy,nonzero_energy_ratio,line_count_distribution,pencil_line_count_distribution,nonzero_line_distribution
17,2,4,18,0,2,2,1,6,2,4.70588235294,1.275,6.13333333333,0.978260869565,2.13333333333,0.9375,"{""0"": 14, ""1"": 2, ""2"": 1}","{""0"": 15, ""1"": 2, ""2"": 1}","{""0"": 14, ""1"": 2}"
19,2,4,20,0,2,2,1,6,2,4.63157894737,1.29545454545,6.11764705882,0.980769230769,2.11764705882,0.944444444444,"{""0"": 16, ""1"": 2, ""2"": 1}","{""0"": 17, ""1"": 2, ""2"": 1}","{""0"": 16, ""1"": 2}"
31,2,4,32,0,2,2,1,6,2,4.38709677419,1.36764705882,6.06896551724,0.988636363636,2.06896551724,0.966666666667,"{""0"": 28, ""1"": 2, ""2"": 1}","{""0"": 29, ""1"": 2, ""2"": 1}","{""0"": 28, ""1"": 2}"
37,2,4,38,0,2,2,1,6,2,4.32432432432,1.3875,6.05714285714,0.990566037736,2.05714285714,0.972222222222,"{""0"": 34, ""1"": 2, ""2"": 1}","{""0"": 35, ""1"": 2, ""2"": 1}","{""0"": 34, ""1"": 2}"
41,2,4,42,0,2,2,1,6,2,4.29268292683,1.39772727273,6.05128205128,0.991525423729,2.05128205128,0.975,"{""0"": 38, ""1"": 2, ""2"": 1}","{""0"": 39, ""1"": 2, ""2"": 1}","{""0"": 38, ""1"": 2}"
59,2,4,60,0,2,2,1,6,2,4.20338983051,1.42741935484,6.0350877193,0.994186046512,2.0350877193,0.98275862069,"{""0"": 56, ""1"": 2, ""2"": 1}","{""0"": 57, ""1"": 2, ""2"": 1}","{""0"": 56, ""1"": 2}"
61,2,4,62,0,2,2,1,6,2,4.19672131148,1.4296875,6.03389830508,0.994382022472,2.03389830508,0.983333333333,"{""0"": 58, ""1"": 2, ""2"": 1}","{""0"": 59, ""1"": 2, ""2"": 1}","{""0"": 58, ""1"": 2}"
73,2,4,74,0,2,2,1,6,2,4.16438356164,1.44078947368,6.02816901408,0.995327102804,2.02816901408,0.986111111111,"{""0"": 70, ""1"": 2, ""2"": 1}","{""0"": 71, ""1"": 2, ""2"": 1}","{""0"": 70, ""1"": 2}"
97,2,4,98,0,2,2,1,6,2,4.12371134021,1.455,6.02105263158,0.996503496503,2.02105263158,0.989583333333,"{""0"": 94, ""1"": 2, ""2"": 1}","{""0"": 95, ""1"": 2, ""2"": 1}","{""0"": 94, ""1"": 2}"
139,2,4,140,0,2,2,1,6,2,4.08633093525,1.46830985915,6.01459854015,0.997572815534,2.01459854015,0.992753623188,"{""0"": 136, ""1"": 2, ""2"": 1}","{""0"": 137, ""1"": 2, ""2"": 1}","{""0"": 136, ""1"": 2}"
151,2,4,152,0,2,2,1,6,2,4.07947019868,1.47077922078,6.01342281879,0.997767857143,2.01342281879,0.993333333333,"{""0"": 148, ""1"": 2, ""2"": 1}","{""0"": 149, ""1"": 2, ""2"": 1}","{""0"": 148, ""1"": 2}"
163,2,4,164,0,2,2,1,6,2,4.0736196319,1.47289156627,6.01242236025,0.997933884298,2.01242236025,0.993827160494,"{""0"": 160, ""1"": 2, ""2"": 1}","{""0"": 161, ""1"": 2, ""2"": 1}","{""0"": 160, ""1"": 2}"
179,2,4,180,0,2,2,1,6,2,4.06703910615,1.47527472527,6.01129943503,0.998120300752,2.01129943503,0.994382022472,"{""0"": 176, ""1"": 2, ""2"": 1}","{""0"": 177, ""1"": 2, ""2"": 1}","{""0"": 176, ""1"": 2}"
181,4,16,182,0,4,4,1,28,12,17.3259668508,1.61607142857,28.7374301676,0.97433903577,12.7374301676,0.942105263158,"{""0"": 168, ""1"": 12, ""4"": 1}","{""0"": 169, ""1"": 12, ""4"": 1}","{""0"": 168, ""1"": 12}"
191,2,4,192,0,2,2,1,6,2,4.06282722513,1.47680412371,6.01058201058,0.99823943662,2.01058201058,0.994736842105,"{""0"": 188, ""1"": 2, ""2"": 1}","{""0"": 189, ""1"": 2, ""2"": 1}","{""0"": 188, ""1"": 2}"
193,4,16,194,0,4,4,1,28,12,17.2435233161,1.62379807692,28.6910994764,0.975912408759,12.6910994764,0.945544554455,"{""0"": 180, ""1"": 12, ""4"": 1}","{""0"": 181, ""1"": 12, ""4"": 1}","{""0"": 180, ""1"": 12}"
197,2,4,198,0,2,2,1,6,2,4.06091370558,1.4775,6.01025641026,0.998293515358,2.01025641026,0.994897959184,"{""0"": 194, ""1"": 2, ""2"": 1}","{""0"": 195, ""1"": 2, ""2"": 1}","{""0"": 194, ""1"": 2}"
211,2,4,212,0,2,2,1,6,2,4.05687203791,1.47897196262,6.00956937799,0.998407643312,2.00956937799,0.995238095238,"{""0"": 208, ""1"": 2, ""2"": 1}","{""0"": 209, ""1"": 2, ""2"": 1}","{""0"": 208, ""1"": 2}"
227,2,4,228,0,2,2,1,6,2,4.05286343612,1.48043478261,6.00888888889,0.998520710059,2.00888888889,0.995575221239,"{""0"": 224, ""1"": 2, ""2"": 1}","{""0"": 225, ""1"": 2, ""2"": 1}","{""0"": 224, ""1"": 2}"
233,2,4,234,0,2,2,1,6,2,4.05150214592,1.48093220339,6.00865800866,0.99855907781,2.00865800866,0.995689655172,"{""0"": 230, ""1"": 2, ""2"": 1}","{""0"": 231, ""1"": 2, ""2"": 1}","{""0"": 230, ""1"": 2}"
241,2,4,242,0,2,2,1,6,2,4.04979253112,1.48155737705,6.00836820084,0.99860724234,2.00836820084,0.995833333333,"{""0"": 238, ""1"": 2, ""2"": 1}","{""0"": 239, ""1"": 2, ""2"": 1}","{""0"": 238, ""1"": 2}"
251,2,4,252,0,2,2,1,6,2,4.04780876494,1.48228346457,6.00803212851,0.998663101604,2.00803212851,0.996,"{""0"": 248, ""1"": 2, ""2"": 1}","{""0"": 249, ""1"": 2, ""2"": 1}","{""0"": 248, ""1"": 2}"
257,2,4,258,0,2,2,1,6,2,4.046692607,1.48269230769,6.00784313725,0.998694516971,2.00784313725,0.99609375,"{""0"": 254, ""1"": 2, ""2"": 1}","{""0"": 255, ""1"": 2, ""2"": 1}","{""0"": 254, ""1"": 2}"
