X,n,K,hit_index,p,q,r,rho,reflection_endpoint,side,b_r_mod_p2,b_rho_mod_p2,b_ref_mod_p2,alpha,alpha_cleared,reflection_defect,u,tau,eta,p2_divides_b_rho,beta_r,beta_expected,formal_derivative_r,formal_derivative_rho,formal_derivative_ref,delta_r,delta_rho,delta_ref,b_q_mod_p,b_q_mod_p2,gessel_full_prediction_mod_p2,direct_b_n_mod_p2,gessel_jet_prediction,direct_b_n_over_p_mod_p,jet_u,control_q,control_jet_u,all_checks
128,321,3,0,179,1,142,36,142,R,17363,24523,17363,137,137,139,27,78,151,0,97,97,139,40,139,151,28,151,5,5,18974,18974,106,106,110,2,99,PASS
128,321,3,1,193,1,128,64,128,R,34354,2895,34354,15,15,163,38,168,50,0,178,178,163,30,163,50,143,50,5,5,31073,31073,161,161,182,2,54,PASS
128,321,3,2,211,1,110,100,110,R,9284,26375,9284,125,125,130,56,6,40,0,44,44,130,81,130,40,171,40,5,5,5486,5486,26,26,8,2,125,PASS
128,743,3,0,181,4,19,19,161,L,26969,26969,17557,149,149,129,59,24,39,0,149,149,52,52,129,142,142,39,59,240,12127,12127,67,67,176,5,162,PASS
128,743,3,1,197,3,152,44,152,R,35657,33687,35657,171,171,10,155,10,178,0,181,181,10,187,10,178,19,178,66,1445,26792,26792,136,136,175,4,195,PASS
128,743,3,2,211,3,110,100,110,R,9284,26375,9284,125,125,130,56,6,40,0,44,44,130,81,130,40,171,40,179,1445,8018,8018,38,38,174,4,208,PASS
128,1609,3,0,163,9,142,20,142,R,16300,24124,16300,148,148,115,61,120,58,0,100,100,115,48,115,58,105,58,102,5970,6520,6520,40,40,6,10,17,PASS
128,1609,3,1,181,8,161,19,161,R,17557,26969,17557,149,149,129,59,24,39,0,97,97,129,52,129,39,142,39,70,25410,20634,20634,114,114,5,9,49,PASS
128,1609,3,2,191,8,81,81,109,L,25594,25594,4966,134,134,83,15,149,31,0,134,134,108,108,83,160,160,31,109,18636,19673,19673,103,103,96,9,139,PASS
128,3901,3,0,179,21,142,36,142,R,17363,24523,17363,137,137,139,27,78,151,0,97,97,139,40,139,151,28,151,91,4566,8771,8771,49,49,88,22,1,PASS
128,3901,3,1,191,20,81,81,109,L,25594,25594,4966,134,134,83,15,149,31,0,134,134,108,108,83,160,160,31,95,10791,36290,36290,190,190,140,21,60,PASS
128,3901,3,2,251,15,136,114,136,R,3514,29367,3514,117,117,148,168,50,222,0,14,14,148,103,148,222,29,222,248,24846,18825,18825,75,75,238,16,109,PASS
128,4092,3,0,139,29,61,61,77,L,4031,4031,11398,29,29,53,64,20,3,0,29,29,86,86,53,136,136,3,46,3799,18348,18348,132,132,115,30,94,PASS
128,4092,3,1,191,21,81,81,109,L,25594,25594,4966,134,134,83,15,149,31,0,134,134,108,108,83,160,160,31,95,27790,25976,25976,136,136,60,22,65,PASS
128,4092,3,2,197,20,152,44,152,R,35657,33687,35657,171,171,10,155,10,178,0,181,181,10,187,10,178,19,178,68,13661,19897,19897,101,101,143,21,184,PASS
128,5048,3,0,179,28,36,36,142,L,24523,24523,17363,137,137,139,27,78,151,0,137,137,40,40,139,28,28,151,77,11354,23091,23091,129,129,144,29,14,PASS
128,5048,3,1,181,27,161,19,161,R,17557,26969,17557,149,149,129,59,24,39,0,97,97,129,52,129,39,142,39,96,19463,25702,25702,142,142,165,28,69,PASS
128,5048,3,2,193,26,30,30,162,L,1737,1737,36091,9,9,178,48,157,60,0,9,9,15,15,178,133,133,60,47,10276,6176,6176,32,32,65,27,174,PASS
128,9006,3,0,193,46,128,64,128,R,34354,2895,34354,15,15,163,38,168,50,0,178,178,163,30,163,50,143,50,61,31134,3474,3474,18,18,163,47,124,PASS
128,9006,3,1,227,39,153,73,153,R,17252,908,17252,4,4,72,207,136,178,0,76,76,72,155,72,178,49,178,3,17028,5902,5902,26,26,203,40,139,PASS
128,9006,3,2,241,37,89,89,151,L,44103,44103,38319,183,183,217,191,59,174,0,183,183,24,24,217,67,67,174,53,15959,30848,30848,128,128,36,38,158,PASS
128,10452,3,0,163,64,20,20,142,L,24124,24124,16300,148,148,115,61,120,58,0,148,148,48,48,115,105,105,58,106,17873,26243,26243,161,161,16,65,11,PASS
128,10452,3,1,193,54,30,30,162,L,1737,1737,36091,9,9,178,48,157,60,0,9,9,15,15,178,133,133,60,74,5864,772,772,4,4,177,55,22,PASS
128,10452,3,2,241,43,89,89,151,L,44103,44103,38319,183,183,217,191,59,174,0,183,183,24,24,217,67,67,174,106,12397,23136,23136,96,96,27,44,198,PASS
128,12849,3,0,139,92,61,61,77,L,4031,4031,11398,29,29,53,64,20,3,0,29,29,86,86,53,136,136,3,22,8918,16402,16402,118,118,67,93,43,PASS
128,12849,3,1,151,85,14,14,136,L,16912,16912,11023,112,112,112,5,113,113,0,112,112,39,39,112,38,38,113,130,8888,9060,9060,60,60,12,86,148,PASS
128,12849,3,2,197,65,44,44,152,L,33687,33687,35657,171,171,10,155,10,178,0,171,171,187,187,10,19,19,178,68,20950,25610,25610,130,130,147,66,36,PASS
128,16270,3,0,181,89,161,19,161,R,17557,26969,17557,149,149,129,59,24,39,0,97,97,129,52,129,39,142,39,168,26956,14118,14118,78,78,32,90,159,PASS
128,16270,3,1,227,71,153,73,153,R,17252,908,17252,4,4,72,207,136,178,0,76,76,72,155,72,178,49,178,120,347,28602,28602,126,126,198,72,116,PASS
128,16270,3,2,233,69,193,39,193,R,7689,3029,7689,13,13,20,137,12,126,0,33,33,20,213,20,126,107,126,41,39651,34717,34717,149,149,30,70,92,PASS
256,1667,3,0,271,6,41,41,229,L,41734,41734,51761,154,154,37,66,183,95,0,154,154,234,234,37,176,176,95,64,16053,69105,69105,255,255,164,7,76,PASS
256,1667,3,1,431,3,374,56,374,R,99561,40514,99561,94,94,137,276,372,102,0,231,231,137,294,137,102,329,102,152,1445,76718,76718,178,178,35,4,159,PASS
256,1667,3,2,499,3,170,170,328,L,55888,55888,111277,112,112,111,264,197,369,0,112,112,388,388,111,130,130,369,447,1445,7485,7485,15,15,414,4,135,PASS
256,12678,3,0,379,33,171,171,207,L,67083,67083,110668,177,177,115,184,209,48,0,177,177,264,264,115,331,331,48,28,69764,101572,101572,268,268,158,34,159,PASS
256,12678,3,1,443,28,274,168,274,R,89043,32782,89043,74,74,127,344,44,303,0,201,201,127,316,127,303,140,303,152,17872,16391,16391,37,37,22,29,32,PASS
256,12678,3,2,499,25,203,203,295,L,148702,148702,3493,298,298,208,464,20,379,0,298,298,291,291,208,120,120,379,360,123114,121257,121257,243,243,378,26,116,PASS
256,24882,3,0,419,59,161,161,257,L,13827,13827,38129,33,33,58,268,108,266,0,33,33,361,361,58,153,153,266,384,16725,15922,15922,38,38,391,60,376,PASS
256,24882,3,1,439,56,298,140,298,R,153650,39949,153650,91,91,259,384,150,123,0,350,350,259,180,259,123,316,123,119,116015,93068,93068,212,212,60,57,287,PASS
256,24882,3,2,499,49,431,67,431,R,245009,116766,245009,234,234,257,431,158,165,0,491,491,257,242,257,165,334,165,79,17544,103293,103293,207,207,63,50,258,PASS
256,25874,3,0,307,84,86,86,220,L,54032,54032,80741,176,176,87,55,126,303,0,176,176,220,220,87,4,4,303,259,13153,9517,9517,31,31,235,85,163,PASS
256,25874,3,1,367,70,184,182,184,R,123312,68996,123312,188,188,148,211,187,319,0,336,336,148,219,148,319,48,319,360,57979,133221,133221,363,363,160,71,165,PASS
256,25874,3,2,463,55,409,53,409,R,145845,82414,145845,178,178,137,352,403,370,0,315,315,137,326,137,370,93,370,219,138193,14353,14353,31,31,104,56,29,PASS
256,30870,3,0,379,81,171,171,207,L,67083,67083,110668,177,177,115,184,209,48,0,177,177,264,264,115,331,331,48,30,56880,97024,97024,256,256,298,82,140,PASS
256,30870,3,1,439,70,140,140,298,L,39949,39949,153650,91,91,259,384,150,123,0,91,91,180,180,259,316,316,123,192,73944,97458,97458,222,222,419,71,15,PASS
256,30870,3,2,499,61,431,67,431,R,245009,116766,245009,234,234,257,431,158,165,0,491,491,257,242,257,165,334,165,30,154720,5988,5988,12,12,264,62,143,PASS
256,35271,3,0,271,130,41,41,229,L,41734,41734,51761,154,154,37,66,183,95,0,154,154,234,234,37,176,176,95,80,7668,39295,39295,145,145,72,131,102,PASS
256,35271,3,1,443,79,274,168,274,R,89043,32782,89043,74,74,127,344,44,303,0,201,201,127,316,127,303,140,303,118,194152,193591,193591,437,437,188,80,170,PASS
256,35271,3,2,503,70,61,61,441,L,30683,30683,188625,61,61,314,373,104,222,0,61,61,189,189,314,281,281,222,325,78793,157942,157942,314,314,222,71,307,PASS
256,40481,3,0,293,138,47,47,245,L,70613,70613,61237,241,241,261,254,99,106,0,241,241,32,32,261,187,187,106,93,46680,13771,13771,47,47,119,139,208,PASS
256,40481,3,1,419,96,257,161,257,R,38129,13827,38129,33,33,58,268,108,266,0,91,91,58,361,58,266,153,266,10,97637,10475,10475,25,25,158,97,182,PASS
256,40481,3,2,443,91,168,168,274,L,32782,32782,89043,74,74,127,344,44,303,0,74,74,316,316,127,140,140,303,67,179482,57590,57590,130,130,209,92,427,PASS
256,44131,3,0,257,171,184,72,184,R,57054,24158,57054,94,94,128,208,82,139,0,222,222,128,129,128,139,118,139,76,56616,24158,24158,94,94,82,172,211,PASS
256,44131,3,1,271,162,229,41,229,R,51761,41734,51761,154,154,37,66,183,95,0,191,191,37,234,37,95,176,95,259,20042,9214,9214,34,34,58,163,234,PASS
256,44131,3,2,443,99,274,168,274,R,89043,32782,89043,74,74,127,344,44,303,0,201,201,127,316,127,303,140,303,220,162801,146633,146633,331,331,113,100,8,PASS
256,51931,3,0,283,183,142,140,142,R,23489,18961,23489,67,67,16,94,82,235,0,83,83,16,267,16,235,48,235,173,18285,51789,51789,183,183,17,184,192,PASS
256,51931,3,1,347,149,228,118,228,R,64195,108958,64195,314,314,218,196,253,295,0,185,185,218,129,218,295,52,295,23,87467,29842,29842,86,86,266,150,202,PASS
256,51931,3,2,367,141,184,182,184,R,123312,68996,123312,188,188,148,211,187,319,0,336,336,148,219,148,319,48,319,141,57026,66794,66794,182,182,60,142,86,PASS
256,55717,3,0,293,190,47,47,245,L,70613,70613,61237,241,241,261,254,99,106,0,241,241,32,32,261,187,187,106,40,78271,80282,80282,274,274,8,191,98,PASS
256,55717,3,1,331,168,109,109,221,L,79440,79440,52629,240,240,250,78,54,139,0,240,240,81,81,250,192,192,139,270,51244,104265,104265,315,315,195,169,92,PASS
256,55717,3,2,499,111,328,170,328,R,111277,55888,111277,112,112,111,264,197,369,0,223,223,111,388,111,369,130,369,212,6200,78343,78343,157,157,441,112,364,PASS
512,18808,3,0,617,30,298,298,318,L,16659,16659,51828,27,27,57,487,52,384,0,27,27,560,560,57,233,233,384,581,160384,75274,75274,122,122,75,31,328,PASS
512,18808,3,1,751,25,33,33,717,L,406291,406291,526451,541,541,160,77,680,519,0,541,541,591,591,160,232,232,519,227,286358,265103,265103,353,353,502,26,578,PASS
512,18808,3,2,757,24,640,116,640,R,137774,359575,137774,475,475,464,639,259,304,0,182,182,464,293,464,304,453,304,704,381475,338379,338379,447,447,580,25,366,PASS
512,25554,3,0,571,44,430,140,430,R,28550,161022,28550,282,282,339,83,540,66,0,50,50,339,232,339,66,505,66,40,233579,132472,132472,232,232,505,45,300,PASS
512,25554,3,1,761,33,441,319,441,R,168942,184162,168942,242,242,741,297,29,702,0,222,222,741,20,741,702,59,702,295,394493,121760,121760,160,160,472,34,181,PASS
512,25554,3,2,821,31,103,103,717,L,22167,22167,630528,27,27,741,293,695,647,0,27,27,80,80,741,174,174,647,262,317168,27914,27914,34,34,115,32,512,PASS
512,54104,3,0,541,100,4,4,536,L,33001,33001,102790,61,61,129,31,351,423,0,61,61,412,412,129,118,118,423,155,58042,159054,159054,294,294,184,101,528,PASS
512,54104,3,1,571,94,430,140,430,R,28550,161022,28550,282,282,339,83,540,66,0,50,50,339,232,339,66,505,66,521,122144,82795,82795,145,145,387,95,84,PASS
512,54104,3,2,709,76,220,220,488,L,141800,141800,262330,200,200,170,162,45,570,0,200,200,539,539,170,139,139,570,92,338994,226171,226171,319,319,444,77,282,PASS
512,81786,3,0,769,106,272,272,496,L,25377,25377,375272,33,33,455,311,643,360,0,33,33,314,314,455,409,409,360,440,432618,25377,25377,33,33,643,107,372,PASS
512,81786,3,1,857,95,371,371,485,L,529626,529626,460209,618,618,776,340,269,335,0,618,618,81,81,776,522,522,335,634,546543,641893,641893,749,749,161,96,854,PASS
512,81786,3,2,907,90,156,156,750,L,497036,497036,313822,548,548,705,158,589,435,0,548,548,202,202,705,472,472,435,302,687808,644877,644877,711,711,458,91,640,PASS
