X,p,zero_count,zeros
128,131,0,
128,137,0,
128,139,2,61;77
128,149,0,
128,151,2,14;136
128,157,0,
128,163,2,20;142
128,167,0,
128,173,0,
128,179,2,36;142
128,181,4,19;47;133;161
128,191,2,81;109
128,193,4,30;64;128;162
128,197,2,44;152
128,199,0,
128,211,2,100;110
128,223,0,
128,227,2,73;153
128,229,0,
128,233,2,39;193
128,239,0,
128,241,2,89;151
128,251,2,114;136
256,257,2,72;184
256,263,0,
256,269,0,
256,271,4,17;41;229;253
256,277,0,
256,281,0,
256,283,2,140;142
256,293,4,47;83;209;245
256,307,2,86;220
256,311,0,
256,313,0,
256,317,0,
256,331,2,109;221
256,337,0,
256,347,2,118;228
256,349,0,
256,353,0,
256,359,0,
256,367,2,182;184
256,373,0,
256,379,6,85;152;171;207;226;293
256,383,0,
256,389,0,
256,397,0,
256,401,0,
256,409,0,
256,419,2,161;257
256,421,0,
256,431,2,56;374
256,433,2,195;237
256,439,2,140;298
256,443,2,168;274
256,449,0,
256,457,0,
256,461,0,
256,463,2,53;409
256,467,0,
256,479,0,
256,487,0,
256,491,0,
256,499,6,67;170;203;295;328;431
256,503,2,61;441
256,509,0,
512,521,0,
512,523,0,
512,541,2,4;536
512,547,0,
512,557,0,
512,563,0,
512,569,0,
512,571,2,140;430
512,577,2,112;464
512,587,0,
512,593,2,162;430
512,599,4,145;272;326;453
512,601,0,
512,607,0,
512,613,0,
512,617,2,298;318
512,619,0,
512,631,2,112;518
512,641,0,
512,643,0,
512,647,0,
512,653,0,
512,659,2,76;582
512,661,0,
512,673,0,
512,677,0,
512,683,0,
512,691,2,337;353
512,701,2,101;599
512,709,4,220;321;387;488
512,719,0,
512,727,0,
512,733,2,22;710
512,739,0,
512,743,0,
512,751,2,33;717
512,757,2,116;640
512,761,4,319;342;418;441
512,769,2,272;496
512,773,0,
512,787,2,89;697
512,797,0,
512,809,0,
512,811,0,
512,821,4,103;282;538;717
512,823,0,
512,827,0,
512,829,0,
512,839,0,
512,853,0,
512,857,2,371;485
512,859,0,
512,863,0,
512,877,0,
512,881,2,67;813
512,883,0,
512,887,2,329;557
512,907,4,156;407;499;750
512,911,2,249;661
512,919,0,
512,929,0,
512,937,2,363;573
512,941,0,
512,947,2,348;598
512,953,2,185;767
512,967,0,
512,971,2,351;619
512,977,2,144;832
512,983,0,
512,991,2,369;621
512,997,0,
512,1009,2,422;586
512,1013,0,
512,1019,0,
512,1021,0,
1024,1031,0,
1024,1033,0,
1024,1039,0,
1024,1049,6,494;504;508;540;544;554
1024,1051,0,
1024,1061,0,
1024,1063,0,
1024,1069,6,196;459;502;566;609;872
1024,1087,2,77;1009
1024,1091,0,
1024,1093,0,
1024,1097,2,200;896
1024,1103,0,
1024,1109,0,
1024,1117,2,284;832
1024,1123,0,
1024,1129,4,98;285;843;1030
1024,1151,0,
1024,1153,2,216;936
1024,1163,0,
1024,1171,0,
1024,1181,0,
1024,1187,0,
1024,1193,2,446;746
1024,1201,2,576;624
1024,1213,2,58;1154
1024,1217,2,22;1194
1024,1223,0,
1024,1229,2,544;684
1024,1231,0,
1024,1237,0,
1024,1249,0,
1024,1259,2,97;1161
1024,1277,0,
1024,1279,0,
1024,1283,0,
1024,1289,0,
1024,1291,0,
1024,1297,4,459;530;766;837
1024,1301,0,
1024,1303,0,
1024,1307,0,
1024,1319,0,
1024,1321,0,
1024,1327,0,
1024,1361,0,
1024,1367,0,
1024,1373,0,
1024,1381,2,277;1103
1024,1399,0,
1024,1409,0,
1024,1423,0,
1024,1427,2,346;1080
1024,1429,0,
1024,1433,2,416;1016
1024,1439,0,
1024,1447,2,438;1008
1024,1451,0,
1024,1453,2,272;1180
1024,1459,0,
1024,1471,2,76;1394
1024,1481,0,
1024,1483,0,
1024,1487,2,104;1382
1024,1489,2,437;1051
1024,1493,0,
1024,1499,2,115;1383
1024,1511,0,
1024,1523,2,283;1239
1024,1531,2,143;1387
1024,1543,0,
1024,1549,0,
1024,1553,0,
1024,1559,2,755;803
1024,1567,0,
1024,1571,0,
1024,1579,0,
1024,1583,0,
1024,1597,0,
1024,1601,0,
1024,1607,0,
1024,1609,0,
1024,1613,0,
1024,1619,2,791;827
1024,1621,4,203;437;1183;1417
1024,1627,0,
1024,1637,2,347;1289
1024,1657,2,586;1070
1024,1663,0,
1024,1667,0,
1024,1669,2,483;1185
1024,1693,0,
1024,1697,0,
1024,1699,0,
1024,1709,4,567;710;998;1141
1024,1721,0,
1024,1723,2,542;1180
1024,1733,0,
1024,1741,2,43;1697
1024,1747,0,
1024,1753,0,
1024,1759,2,490;1268
1024,1777,0,
1024,1783,0,
1024,1787,0,
1024,1789,0,
1024,1801,0,
1024,1811,0,
1024,1823,2,49;1773
1024,1831,4,708;913;917;1122
1024,1847,4,65;692;1154;1781
1024,1861,0,
1024,1867,2,508;1358
1024,1871,0,
1024,1873,4,128;802;1070;1744
1024,1877,0,
1024,1879,0,
1024,1889,0,
1024,1901,0,
1024,1907,2,511;1395
1024,1913,0,
1024,1931,2,692;1238
1024,1933,2,621;1311
1024,1949,2,816;1132
1024,1951,2,423;1527
1024,1973,4,63;407;1565;1909
1024,1979,0,
1024,1987,0,
1024,1993,0,
1024,1997,0,
1024,1999,0,
1024,2003,0,
1024,2011,4,414;619;1391;1596
1024,2017,0,
1024,2027,0,
1024,2029,0,
1024,2039,0,
