dictionary,degree,split,p,samples,columns,rank,nullity
linear,1,training,139,2,6,2,4
linear,1,training,151,1,6,1,5
linear,1,training,163,2,6,2,4
linear,1,training,179,3,6,3,3
linear,1,training,181,4,6,3,3
linear,1,training,191,3,6,3,3
linear,1,training,193,4,6,4,2
linear,1,training,197,3,6,3,3
linear,1,training,211,2,6,2,4
linear,1,training,227,2,6,2,4
linear,1,training,233,1,6,1,5
linear,1,training,241,2,6,2,4
linear,1,training,251,1,6,1,5
linear,1,training,257,1,6,1,5
linear,1,training,271,3,6,3,3
linear,1,training,283,1,6,1,5
linear,1,training,293,2,6,2,4
linear,1,training,307,1,6,1,5
linear,1,training,331,1,6,1,5
linear,1,training,347,1,6,1,5
linear,1,training,367,2,6,2,4
linear,1,training,379,2,6,2,4
linear,1,training,419,2,6,2,4
linear,1,training,431,1,6,1,5
linear,1,training,439,2,6,2,4
linear,1,training,443,4,6,3,3
linear,1,training,463,1,6,1,5
linear,1,training,499,5,6,5,1
linear,1,training,503,1,6,1,5
linear,1,training,541,4,6,3,3
linear,1,training,571,3,6,3,3
linear,1,training,577,1,6,1,5
linear,1,training,593,4,6,3,3
linear,1,training,599,2,6,2,4
linear,1,training,617,3,6,3,3
linear,1,training,631,4,6,3,3
linear,1,training,659,4,6,3,3
linear,1,training,691,2,6,2,4
linear,1,training,701,2,6,2,4
linear,1,training,709,5,6,4,2
linear,1,training,733,2,6,2,4
linear,1,training,751,1,6,1,5
linear,1,training,757,1,6,1,5
linear,1,training,761,2,6,2,4
linear,1,training,769,4,6,3,3
linear,1,training,787,1,6,1,5
linear,1,training,821,4,6,4,2
linear,1,training,857,5,6,3,3
linear,1,training,881,3,6,3,3
linear,1,training,887,2,6,2,4
linear,1,training,907,4,6,3,3
linear,1,training,911,2,6,2,4
linear,1,training,937,4,6,3,3
linear,1,training,947,1,6,1,5
linear,1,training,953,2,6,2,4
linear,1,training,977,2,6,2,4
linear,1,training,991,1,6,1,5
linear,1,holdout,1049,14,6,5,1
linear,1,holdout,1069,13,6,5,1
linear,1,holdout,1087,9,6,3,3
linear,1,holdout,1097,4,6,3,3
linear,1,holdout,1117,5,6,3,3
linear,1,holdout,1129,13,6,4,2
linear,1,holdout,1153,2,6,2,4
linear,1,holdout,1193,5,6,3,3
linear,1,holdout,1201,3,6,3,3
linear,1,holdout,1217,5,6,3,3
linear,1,holdout,1229,5,6,3,3
linear,1,holdout,1259,5,6,3,3
linear,1,holdout,1297,1,6,1,5
linear,1,holdout,1381,6,6,3,3
linear,1,holdout,1427,6,6,3,3
linear,1,holdout,1433,5,6,3,3
linear,1,holdout,1447,6,6,3,3
linear,1,holdout,1453,4,6,3,3
linear,1,holdout,1471,2,6,2,4
linear,1,holdout,1487,4,6,3,3
linear,1,holdout,1489,5,6,3,3
linear,1,holdout,1499,6,6,3,3
linear,1,holdout,1523,3,6,3,3
linear,1,holdout,1531,3,6,3,3
linear,1,holdout,1559,8,6,3,3
linear,1,holdout,1619,2,6,2,4
linear,1,holdout,1621,6,6,4,2
linear,1,holdout,1637,1,6,1,5
linear,1,holdout,1657,4,6,3,3
linear,1,holdout,1669,3,6,3,3
linear,1,holdout,1709,6,6,4,2
linear,1,holdout,1723,5,6,3,3
linear,1,holdout,1741,5,6,3,3
linear,1,holdout,1759,4,6,3,3
linear,1,holdout,1823,6,6,3,3
linear,1,holdout,1831,8,6,4,2
linear,1,holdout,1847,7,6,4,2
linear,1,holdout,1867,1,6,1,5
linear,1,holdout,1873,7,6,4,2
linear,1,holdout,1907,4,6,3,3
linear,1,holdout,1931,5,6,3,3
linear,1,holdout,1933,1,6,1,5
linear,1,holdout,1949,3,6,3,3
linear,1,holdout,1951,4,6,3,3
linear,1,holdout,1973,3,6,3,3
linear,1,holdout,2011,8,6,4,2
linear,1,all,139,2,6,2,4
linear,1,all,151,1,6,1,5
linear,1,all,163,2,6,2,4
linear,1,all,179,3,6,3,3
linear,1,all,181,4,6,3,3
linear,1,all,191,3,6,3,3
linear,1,all,193,4,6,4,2
linear,1,all,197,3,6,3,3
linear,1,all,211,2,6,2,4
linear,1,all,227,2,6,2,4
linear,1,all,233,1,6,1,5
linear,1,all,241,2,6,2,4
linear,1,all,251,1,6,1,5
linear,1,all,257,1,6,1,5
linear,1,all,271,3,6,3,3
linear,1,all,283,1,6,1,5
linear,1,all,293,2,6,2,4
linear,1,all,307,1,6,1,5
linear,1,all,331,1,6,1,5
linear,1,all,347,1,6,1,5
linear,1,all,367,2,6,2,4
linear,1,all,379,2,6,2,4
linear,1,all,419,2,6,2,4
linear,1,all,431,1,6,1,5
linear,1,all,439,2,6,2,4
linear,1,all,443,4,6,3,3
linear,1,all,463,1,6,1,5
linear,1,all,499,5,6,5,1
linear,1,all,503,1,6,1,5
linear,1,all,541,4,6,3,3
linear,1,all,571,3,6,3,3
linear,1,all,577,1,6,1,5
linear,1,all,593,4,6,3,3
linear,1,all,599,2,6,2,4
linear,1,all,617,3,6,3,3
linear,1,all,631,4,6,3,3
linear,1,all,659,4,6,3,3
linear,1,all,691,2,6,2,4
linear,1,all,701,2,6,2,4
linear,1,all,709,5,6,4,2
linear,1,all,733,2,6,2,4
linear,1,all,751,1,6,1,5
linear,1,all,757,1,6,1,5
linear,1,all,761,2,6,2,4
linear,1,all,769,4,6,3,3
linear,1,all,787,1,6,1,5
linear,1,all,821,4,6,4,2
linear,1,all,857,5,6,3,3
linear,1,all,881,3,6,3,3
linear,1,all,887,2,6,2,4
linear,1,all,907,4,6,3,3
linear,1,all,911,2,6,2,4
linear,1,all,937,4,6,3,3
linear,1,all,947,1,6,1,5
linear,1,all,953,2,6,2,4
linear,1,all,977,2,6,2,4
linear,1,all,991,1,6,1,5
linear,1,all,1049,14,6,5,1
linear,1,all,1069,13,6,5,1
