X,n,K,primes,certificate
128,321,3,179;193;211,"p=179,r=142,rho=36,q=1,a=137,e=139,t=78,h=151,j=106 | p=193,r=128,rho=64,q=1,a=15,e=163,t=168,h=50,j=161 | p=211,r=110,rho=100,q=1,a=125,e=130,t=6,h=40,j=26"
128,743,3,181;197;211,"p=181,r=19,rho=19,q=4,a=149,e=129,t=24,h=39,j=67 | p=197,r=152,rho=44,q=3,a=171,e=10,t=10,h=178,j=136 | p=211,r=110,rho=100,q=3,a=125,e=130,t=6,h=40,j=38"
128,1609,3,163;181;191,"p=163,r=142,rho=20,q=9,a=148,e=115,t=120,h=58,j=40 | p=181,r=161,rho=19,q=8,a=149,e=129,t=24,h=39,j=114 | p=191,r=81,rho=81,q=8,a=134,e=83,t=149,h=31,j=103"
128,3901,3,179;191;251,"p=179,r=142,rho=36,q=21,a=137,e=139,t=78,h=151,j=49 | p=191,r=81,rho=81,q=20,a=134,e=83,t=149,h=31,j=190 | p=251,r=136,rho=114,q=15,a=117,e=148,t=50,h=222,j=75"
128,4092,3,139;191;197,"p=139,r=61,rho=61,q=29,a=29,e=53,t=20,h=3,j=132 | p=191,r=81,rho=81,q=21,a=134,e=83,t=149,h=31,j=136 | p=197,r=152,rho=44,q=20,a=171,e=10,t=10,h=178,j=101"
128,5048,3,179;181;193,"p=179,r=36,rho=36,q=28,a=137,e=139,t=78,h=151,j=129 | p=181,r=161,rho=19,q=27,a=149,e=129,t=24,h=39,j=142 | p=193,r=30,rho=30,q=26,a=9,e=178,t=157,h=60,j=32"
128,9006,3,193;227;241,"p=193,r=128,rho=64,q=46,a=15,e=163,t=168,h=50,j=18 | p=227,r=153,rho=73,q=39,a=4,e=72,t=136,h=178,j=26 | p=241,r=89,rho=89,q=37,a=183,e=217,t=59,h=174,j=128"
128,10452,3,163;193;241,"p=163,r=20,rho=20,q=64,a=148,e=115,t=120,h=58,j=161 | p=193,r=30,rho=30,q=54,a=9,e=178,t=157,h=60,j=4 | p=241,r=89,rho=89,q=43,a=183,e=217,t=59,h=174,j=96"
128,12849,3,139;151;197,"p=139,r=61,rho=61,q=92,a=29,e=53,t=20,h=3,j=118 | p=151,r=14,rho=14,q=85,a=112,e=112,t=113,h=113,j=60 | p=197,r=44,rho=44,q=65,a=171,e=10,t=10,h=178,j=130"
128,16270,3,181;227;233,"p=181,r=161,rho=19,q=89,a=149,e=129,t=24,h=39,j=78 | p=227,r=153,rho=73,q=71,a=4,e=72,t=136,h=178,j=126 | p=233,r=193,rho=39,q=69,a=13,e=20,t=12,h=126,j=149"
256,1667,3,271;431;499,"p=271,r=41,rho=41,q=6,a=154,e=37,t=183,h=95,j=255 | p=431,r=374,rho=56,q=3,a=94,e=137,t=372,h=102,j=178 | p=499,r=170,rho=170,q=3,a=112,e=111,t=197,h=369,j=15"
256,12678,3,379;443;499,"p=379,r=171,rho=171,q=33,a=177,e=115,t=209,h=48,j=268 | p=443,r=274,rho=168,q=28,a=74,e=127,t=44,h=303,j=37 | p=499,r=203,rho=203,q=25,a=298,e=208,t=20,h=379,j=243"
256,24882,3,419;439;499,"p=419,r=161,rho=161,q=59,a=33,e=58,t=108,h=266,j=38 | p=439,r=298,rho=140,q=56,a=91,e=259,t=150,h=123,j=212 | p=499,r=431,rho=67,q=49,a=234,e=257,t=158,h=165,j=207"
256,25874,3,307;367;463,"p=307,r=86,rho=86,q=84,a=176,e=87,t=126,h=303,j=31 | p=367,r=184,rho=182,q=70,a=188,e=148,t=187,h=319,j=363 | p=463,r=409,rho=53,q=55,a=178,e=137,t=403,h=370,j=31"
256,30870,3,379;439;499,"p=379,r=171,rho=171,q=81,a=177,e=115,t=209,h=48,j=256 | p=439,r=140,rho=140,q=70,a=91,e=259,t=150,h=123,j=222 | p=499,r=431,rho=67,q=61,a=234,e=257,t=158,h=165,j=12"
256,35271,3,271;443;503,"p=271,r=41,rho=41,q=130,a=154,e=37,t=183,h=95,j=145 | p=443,r=274,rho=168,q=79,a=74,e=127,t=44,h=303,j=437 | p=503,r=61,rho=61,q=70,a=61,e=314,t=104,h=222,j=314"
256,40481,3,293;419;443,"p=293,r=47,rho=47,q=138,a=241,e=261,t=99,h=106,j=47 | p=419,r=257,rho=161,q=96,a=33,e=58,t=108,h=266,j=25 | p=443,r=168,rho=168,q=91,a=74,e=127,t=44,h=303,j=130"
256,44131,3,257;271;443,"p=257,r=184,rho=72,q=171,a=94,e=128,t=82,h=139,j=94 | p=271,r=229,rho=41,q=162,a=154,e=37,t=183,h=95,j=34 | p=443,r=274,rho=168,q=99,a=74,e=127,t=44,h=303,j=331"
256,51931,3,283;347;367,"p=283,r=142,rho=140,q=183,a=67,e=16,t=82,h=235,j=183 | p=347,r=228,rho=118,q=149,a=314,e=218,t=253,h=295,j=86 | p=367,r=184,rho=182,q=141,a=188,e=148,t=187,h=319,j=182"
256,55717,3,293;331;499,"p=293,r=47,rho=47,q=190,a=241,e=261,t=99,h=106,j=274 | p=331,r=109,rho=109,q=168,a=240,e=250,t=54,h=139,j=315 | p=499,r=328,rho=170,q=111,a=112,e=111,t=197,h=369,j=157"
512,18808,3,617;751;757,"p=617,r=298,rho=298,q=30,a=27,e=57,t=52,h=384,j=122 | p=751,r=33,rho=33,q=25,a=541,e=160,t=680,h=519,j=353 | p=757,r=640,rho=116,q=24,a=475,e=464,t=259,h=304,j=447"
512,25554,3,571;761;821,"p=571,r=430,rho=140,q=44,a=282,e=339,t=540,h=66,j=232 | p=761,r=441,rho=319,q=33,a=242,e=741,t=29,h=702,j=160 | p=821,r=103,rho=103,q=31,a=27,e=741,t=695,h=647,j=34"
512,54104,3,541;571;709,"p=541,r=4,rho=4,q=100,a=61,e=129,t=351,h=423,j=294 | p=571,r=430,rho=140,q=94,a=282,e=339,t=540,h=66,j=145 | p=709,r=220,rho=220,q=76,a=200,e=170,t=45,h=570,j=319"
512,81786,3,769;857;907,"p=769,r=272,rho=272,q=106,a=33,e=455,t=643,h=360,j=33 | p=857,r=371,rho=371,q=95,a=618,e=776,t=269,h=335,j=749 | p=907,r=156,rho=156,q=90,a=548,e=705,t=589,h=435,j=711"
512,92670,3,593;907;977,"p=593,r=162,rho=162,q=156,a=379,e=450,t=122,h=342,j=477 | p=907,r=156,rho=156,q=102,a=548,e=705,t=589,h=435,j=477 | p=977,r=832,rho=144,q=94,a=916,e=720,t=935,h=752,j=444"
512,98926,3,659;857;953,"p=659,r=76,rho=76,q=150,a=8,e=300,t=500,h=298,j=3 | p=857,r=371,rho=371,q=115,a=618,e=776,t=269,h=335,j=601 | p=953,r=767,rho=185,q=103,a=284,e=454,t=125,h=126,j=27"
512,101703,3,541;631;991,"p=541,r=536,rho=4,q=187,a=61,e=129,t=351,h=423,j=167 | p=631,r=112,rho=112,q=161,a=204,e=315,t=120,h=408,j=285 | p=991,r=621,rho=369,q=102,a=363,e=950,t=9,h=646,j=228"
512,102334,3,631;887;907,"p=631,r=112,rho=112,q=162,a=204,e=315,t=120,h=408,j=75 | p=887,r=329,rho=329,q=115,a=766,e=225,t=168,h=406,j=678 | p=907,r=750,rho=156,q=112,a=548,e=705,t=589,h=435,j=682"
512,108089,3,709;821;907,"p=709,r=321,rho=321,q=152,a=494,e=35,t=559,h=618,j=564 | p=821,r=538,rho=282,q=131,a=162,e=780,t=474,h=549,j=400 | p=907,r=156,rho=156,q=119,a=548,e=705,t=589,h=435,j=325"
512,118762,3,593;617;821,"p=593,r=162,rho=162,q=200,a=379,e=450,t=122,h=342,j=396 | p=617,r=298,rho=298,q=192,a=27,e=57,t=52,h=384,j=538 | p=821,r=538,rho=282,q=144,a=162,e=780,t=474,h=549,j=110"
512,133700,3,659;691;787,"p=659,r=582,rho=76,q=202,a=8,e=300,t=500,h=298,j=377 | p=691,r=337,rho=337,q=193,a=67,e=394,t=662,h=242,j=351 | p=787,r=697,rho=89,q=169,a=477,e=444,t=154,h=79,j=174"
512,135777,3,631;761;857,"p=631,r=112,rho=112,q=215,a=204,e=315,t=120,h=408,j=200 | p=761,r=319,rho=319,q=178,a=242,e=741,t=29,h=702,j=122 | p=857,r=371,rho=371,q=158,a=618,e=776,t=269,h=335,j=148"
