n,p,m,r,status,min_count,high_count,theta,bmod,zero,unit_first,unit_last,unit_checksum
321,163,320,158,interior,5,154,75,75,0,1,10,46
321,167,320,154,interior,13,142,10,10,0,1,114,10
321,173,320,148,interior,25,124,1,1,0,1,22,19
321,179,320,142,interior,37,106,0,0,1,1,29,90
321,181,320,140,interior,41,100,137,137,0,1,62,21
321,191,320,130,interior,61,70,24,24,0,1,153,56
321,193,320,128,interior,65,64,0,0,1,1,143,120
321,197,320,124,interior,73,52,14,14,0,1,40,66
321,199,320,122,interior,77,46,49,49,0,1,47,142
321,211,320,110,interior,101,10,0,0,1,1,122,75
321,223,320,98,interior,99,0,191,191,0,1,105,0
321,227,320,94,interior,95,0,168,168,0,1,49,65
321,229,320,92,interior,93,0,140,140,0,1,173,228
321,233,320,88,interior,89,0,228,228,0,1,110,85
321,239,320,82,interior,83,0,230,230,0,1,91,215
321,241,320,80,interior,81,0,144,144,0,1,48,208
321,251,320,70,interior,71,0,110,110,0,1,93,244
321,257,320,64,interior,65,0,241,241,0,1,4,34
321,263,320,58,interior,59,0,249,249,0,1,9,74
321,269,320,52,interior,53,0,174,174,0,1,149,97
321,271,320,50,interior,51,0,1,1,0,1,50,124
321,277,320,44,interior,45,0,250,250,0,1,225,133
321,281,320,40,interior,41,0,98,98,0,1,183,141
321,283,320,38,interior,39,0,268,268,0,1,157,149
321,293,320,28,interior,29,0,24,24,0,1,152,107
321,307,320,14,interior,15,0,140,140,0,1,121,283
321,311,320,10,interior,11,0,18,18,0,1,173,101
321,313,320,8,interior,9,0,288,288,0,1,117,37
321,317,320,4,interior,5,0,33,33,0,1,145,250
