X,factorial_order,direct,centered_degree_0_exact,centered_degree_1_exact,centered_degree_2_exact,centered_degree_3_exact,centered_degree_0_decimal,centered_degree_1_decimal,centered_degree_2_decimal,centered_degree_3_decimal,reconstructed_exact,reconstruction_error_exact
32,1,174,947736576/5459683,2248266/5459683,0,0,173.58820576212941,0.411794237870587,0,0,174,0
32,2,22,118587392/5459683,7664/92537,1073458/5459683,0,21.720563629793158,0.082820925683780536,0.19661544452306115,0,22,0
32,3,0,9732096/5459683,41904/5459683,16344/133163,-10444104/5459683,1.7825386565483747,0.0076751708844634385,0.1227367962572186,-1.9129506236900566,0,0
64,1,197,1392640/7081,2317/7081,0,0,196.67278632961447,0.32721367038553878,0,0,197,0
64,2,4,32768/7081,52/7081,-4496/7081,0,4.6275949724615169,0.0073435955373534808,-0.63493856799887016,0,4,0
64,3,0,0,0,0,0,0,0,0,0,0,0
128,1,2584,1403710380864374668371007683526656/543404033598502288453922853793,445641954155244993928970674456/543404033598502288453922853793,0,0,2583.1799067975185,0.82009320248165574,0,0,2584,0
128,2,372,202067087457144462831961108250624/543404033598502288453922853793,637959898763838612871747712/2758396109637067454080826669,-46465058558087733837540938892/543404033598502288453922853793,0,371.8542280943816,0.23127929180837534,-0.085507386189957429,0,372,0
128,3,60,26388921340577700351692155650048/543404033598502288453922853793,103350071266651006290855600/2332206152783271624265763321,44565998453118223117160373888/543404033598502288453922853793,6146674110274189047960285848844/543404033598502288453922853793,48.562247810025148,0.044314294919131518,0.082012638290510212,11.31142525676521,60,0
256,1,8275,414274398260464302520453363474497613555912278016/50055816050721648665429512133248189174325789,-62520440742659814024150571868848138366374041/50055816050721648665429512133248189174325789,0,0,8276.2490145137035,-1.2490145137042166,0,0,8275,0
256,2,934,48403047344465820686857260138798771227326939136/50055816050721648665429512133248189174325789,-13352669984976978556290892481170878087412000/50055816050721648665429512133248189174325789,-1637562483106823854789804913863791660419240210/50055816050721648665429512133248189174325789,0,966.98148513689046,-0.26675561480101923,-32.714729522089478,0,934,0
256,3,60,5214484156483560969493088837480853151121670144/50055816050721648665429512133248189174325789,-1957171519635730488789262017446284224531288/50055816050721648665429512133248189174325789,-540185216411320292873999594188307677123873716/50055816050721648665429512133248189174325789,-3983276385463737532707707048401450690486200/119464954774992001588137260461212861991231,104.17339218283276,-0.039099782483868112,-10.791657374318893,-33.342635026029996,60,0
