X,set_label,p,q,r,M,rank,k,conjugate_k,a_mod_p,b_mod_q,c_mod_r,pair_contribution,abs_pair_contribution,hp_80_140_delta,cumulative_signed,cumulative_over_C,unseen_single_mode_bound,ranking_inclusion_margin,ranking_certified_tolerance
32,actual,37,41,61,92537,1,8,92529,34,4,60,-0.129702973748362794131316660914605283995051918,0.129702973748362787587140587675094138830900192,6.425134e-81,-0.129702973748362787587140587675094138830900192,1.371380722320869161023893,0.039480422166330721,0.00033031846624492072761,1
32,actual,37,41,61,92537,2,3,92534,22,22,53,0.0817540971035648950993075877484298354463233401,0.0817540971035648905695936150550551246851682663,3.2244145e-81,-0.0479488766447978900786530687128106364980340004,0.5069749997805830243891023,0.039480422166330721,0.00033031846624492072761,1
32,actual,37,41,61,92537,3,12,92525,14,6,29,-0.0707960989158455442778290840071374692254583223,0.0707960989158455400449554417718900367617607117,1.960733e-80,-0.118744975560643437062502414391929050907492638,1.255519173155308587652712,0.039480422166330721,0.00033031846624492072761,1
32,actual,37,41,61,92537,4,7,92530,2,24,22,0.0696491741558341297150575340154116573280308326,0.0696491741558341315165847618118277750909328461,1.2973585e-80,-0.0490958014048093055459176525801012758165597916,0.5191017109914121130387343,0.039480422166330721,0.00033031846624492072761,1
32,actual,37,41,61,92537,5,15,92522,36,28,21,-0.0657827702222755761498926208486458142007855133,0.0657827702222755772432094545365544036030769348,1.6158528e-80,-0.114878571627084882789127107116655679419636726,1.214638754873806458789431,0.039480422166330721,0.00033031846624492072761,1
32,actual,37,41,61,92537,6,25,92512,23,33,35,0.0601631719983015675401695947196796581608318835,0.0601631719983015678110405133338645100593566895,3.6977985e-80,-0.0547153996287833149780865937827911693602800369,0.5785190739772304580057494,0.039480422166330721,0.00033031846624492072761,1
32,actual,37,41,61,92537,7,5,92532,12,23,7,-0.0599448884734155543960568479287084346104620212,0.0599448884734155515441322847891569836065173149,5.3203738e-82,-0.114660288102198873461112782479176530614495277,1.212330790689348347655141,0.039480422166330721,0.00033031846624492072761,1
32,actual,37,41,61,92537,8,33,92504,20,37,34,-0.0552325454511120676495686873017587239964835451,0.0552325454511120653156019955076772021129727364,3.8879425e-80,-0.169892833553310945715608681894082110375165939,1.796317771769051052643817,0.039480422166330721,0.00033031846624492072761,1
32,actual,37,41,61,92537,9,11,92526,19,26,52,-0.0446915977089147215059245185122388367688318554,0.0446915977089147181677830644730420317500829697,1.1906945e-82,-0.21458443126222567776117955418158089742064476,2.268852778303539263760058,0.039480422166330721,0.00033031846624492072761,1
32,actual,37,41,61,92537,10,16,92521,31,8,59,0.0428229464168128591504591486272366434962299721,0.0428229464168128556855741351228061830624938011,5.4391845e-81,-0.171761484845412815136711515151546336710453033,1.816075471108314021151386,0.039480422166330721,0.00033031846624492072761,1
