X,rep,seed,F3,ordered_primitive_signed_total,ordered_primitive_abs_mass,triple_top1_abs_share,triple_top5_abs_share,triple_top10_abs_share,triple_participation_ratio,max_load,rows_K_ge_3
32,0,731420000,6.0,3.8196360484665504,6.8755453384381475,0.7777696793818409,1.0,1.0,1.5927009145324205,3.0,1.0
32,1,731420001,0.0,-0.8641908330575236,0.8641908330575236,0.445783653454871,1.0,1.0,2.9745656666286266,2.0,0.0
32,2,731420002,0.0,-2.5292721207440065,2.5292721207440065,0.285324726787353,1.0,1.0,3.9318431376094707,2.0,0.0
32,3,731420003,0.0,-2.471259961429995,2.471259961429995,0.3131146841130672,1.0,1.0,3.80972951347934,2.0,0.0
32,4,731420004,6.0,4.1719334254388025,6.299683333263122,0.8311224711415627,1.0,1.0,1.4270215102782187,3.0,1.0
32,5,731420005,6.0,3.297377155413602,7.863853267671401,0.7096540362069854,1.0,1.0,1.8684077076068357,3.0,1.0
32,6,731420006,6.0,3.176442661597752,7.499546402236174,0.7117756522348216,1.0,1.0,1.8653786033148299,3.0,1.0
32,7,731420007,6.0,4.034492478775783,6.5683626686750864,0.8071155387031625,1.0,1.0,1.5033873613037272,3.0,1.0
32,8,731420008,0.0,-0.772814099280123,1.4165965313370759,0.33962024098778304,1.0,1.0,3.490593842981662,2.0,0.0
32,9,731420009,0.0,-2.919518953756106,2.919518953756106,0.2596205386718703,1.0,1.0,3.996399979364465,2.0,0.0
32,10,731420010,0.0,-1.4706480211396888,1.4706480211396888,0.4795443472334727,1.0,1.0,3.0999152594245345,2.0,0.0
32,11,731420011,0.0,-2.3392479013891467,2.3392479013891467,0.33078485684433656,1.0,1.0,3.6711987603017584,2.0,0.0
32,12,731420012,0.0,-2.5921944552458447,2.5921944552458447,0.28222625447268906,1.0,1.0,3.9376980506844452,2.0,0.0
32,13,731420013,0.0,-1.806438945264771,1.806438945264771,0.4119946659009444,1.0,1.0,3.3373554620762245,2.0,0.0
32,14,731420014,0.0,-1.2254821387981683,1.4978100376890013,0.5074501367643779,1.0,1.0,2.698692894090034,2.0,0.0
32,15,731420015,0.0,-1.2525386547167665,1.2525386547167665,0.5862667406013982,1.0,1.0,2.481062174329618,2.0,0.0
32,16,731420016,0.0,-1.4811980842111163,1.4811980842111163,0.47904900683478113,1.0,1.0,3.0948764837257254,2.0,0.0
32,17,731420017,0.0,-2.739359043373031,2.739359043373031,0.3542832751360789,1.0,1.0,3.4457288530143013,2.0,0.0
32,18,731420018,0.0,-2.313061765673941,2.313061765673941,0.3303809833311478,1.0,1.0,3.674795525474581,2.0,0.0
32,19,731420019,0.0,-1.1577902966161222,1.3111662343766113,0.5676192615489837,1.0,1.0,2.28907245986146,2.0,0.0
32,20,731420020,0.0,-2.313061765673941,2.313061765673941,0.3303809833311478,1.0,1.0,3.674795525474581,2.0,0.0
32,21,731420021,0.0,-1.4168778663523138,1.4168778663523138,0.37471961181555036,1.0,1.0,3.492770399494841,2.0,0.0
32,22,731420022,0.0,-1.046720111772057,1.574346349412594,0.39966298378022186,1.0,1.0,2.900536443697947,2.0,0.0
32,23,731420023,0.0,-0.9167477305916846,1.1107458070367822,0.6289219566249802,1.0,1.0,2.235528622986148,2.0,0.0
32,24,731420024,6.0,3.080481046243894,7.495383523182573,0.7054918895554999,1.0,1.0,1.8987685969929855,3.0,1.0
32,25,731420025,0.0,-1.2853933094650367,1.2853933094650367,0.4366334940665504,1.0,1.0,2.636090010696232,2.0,0.0
32,26,731420026,6.0,4.097599439381371,6.820693802185951,0.8003799582725836,1.0,1.0,1.528400913067644,3.0,1.0
32,27,731420027,0.0,-1.2952576184368214,1.2952576184368214,0.425899529617789,1.0,1.0,2.682161653894882,2.0,0.0
32,28,731420028,0.0,-1.380141667565681,1.380141667565681,0.3846937865487763,1.0,1.0,3.4380734485393956,2.0,0.0
32,29,731420029,6.0,3.601526682043628,6.987991427341111,0.7576939825621671,1.0,1.0,1.6809125344770401,3.0,1.0
32,30,731420030,6.0,3.8145412471749736,7.414974459139843,0.7572187718376491,1.0,1.0,1.6731594357823287,3.0,1.0
32,31,731420031,6.0,3.443855989441145,7.112165669691811,0.7421102199655577,1.0,1.0,1.744483441604475,3.0,1.0
32,32,731420032,0.0,-1.167654605587907,1.3018382202776242,0.5762178753406202,1.0,1.0,2.257610090344306,2.0,0.0
32,33,731420033,6.0,4.034492478775783,6.903643673085049,0.7922002256942151,1.0,1.0,1.5519906278795166,3.0,1.0
32,34,731420034,0.0,-1.3868101865987457,1.3868101865987457,0.3977830677600236,1.0,1.0,3.383135847427126,2.0,0.0
32,35,731420035,0.0,-2.408337626928157,2.408337626928157,0.31074169731594464,1.0,1.0,3.8160546873948498,2.0,0.0
32,36,731420036,0.0,-2.349112210360931,2.349112210360931,0.3253108205212653,1.0,1.0,3.6885853260955224,2.0,0.0
32,37,731420037,0.0,-2.365618663208102,2.365618663208102,0.3104142548411494,1.0,1.0,3.8178124165165883,2.0,0.0
32,38,731420038,0.0,-0.7576791546322378,0.9110550923927269,0.5936560628796688,1.0,1.0,2.320194257712825,2.0,0.0
32,39,731420039,6.0,4.651499729929375,6.6000040661701425,0.8523861260761733,1.0,1.0,1.36000626286692,3.0,1.0
32,40,731420040,0.0,-2.276325566887308,2.276325566887308,0.3287626922913521,1.0,1.0,3.661347012667228,2.0,0.0
32,41,731420041,0.0,-0.2682749163275597,0.3066639583287162,0.45965568647687854,1.0,1.0,2.555609963651006,2.0,0.0
32,42,731420042,0.0,-1.7853476108411424,1.7853476108411424,0.4113046390064583,1.0,1.0,3.4194357759646445,2.0,0.0
32,43,731420043,0.0,-1.9655075212242177,1.9655075212242177,0.3554157990906387,1.0,1.0,3.5759888170046294,2.0,0.0
32,44,731420044,6.0,4.6785562458479735,6.198952210229056,0.8773666974015192,1.0,1.0,1.2846244074082382,3.0,1.0
32,45,731420045,6.0,3.634381336791898,7.517525468053731,0.7417272380543614,1.0,1.0,1.7454602894178315,3.0,1.0
