X,rep,p,actual_Z,random_Z,actual_center_hit,random_center_hit,random_reflection_ok,random_endpoint_free,random_zeros
32,0,37,2,2,0,0,1,1,16 20
32,0,41,2,2,0,0,1,1,14 26
32,0,43,0,0,0,0,1,1,
32,0,47,0,0,0,0,1,1,
32,0,53,0,0,0,0,1,1,
32,0,59,2,2,0,0,1,1,3 55
32,0,61,2,2,0,0,1,1,19 41
64,0,67,0,0,0,0,1,1,
64,0,71,0,0,0,0,1,1,
64,0,73,2,2,0,0,1,1,6 66
64,0,79,0,0,0,0,1,1,
64,0,83,0,0,0,0,1,1,
64,0,89,0,0,0,0,1,1,
64,0,97,2,2,0,0,1,1,39 57
64,0,101,0,0,0,0,1,1,
64,0,103,0,0,0,0,1,1,
64,0,107,0,0,0,0,1,1,
64,0,109,0,0,0,0,1,1,
64,0,113,0,0,0,0,1,1,
64,0,127,0,0,0,0,1,1,
128,0,131,0,0,0,0,1,1,
128,0,137,0,0,0,0,1,1,
128,0,139,2,2,0,0,1,1,34 104
128,0,149,0,0,0,0,1,1,
128,0,151,2,2,0,0,1,1,69 81
128,0,157,0,0,0,0,1,1,
128,0,163,2,2,0,0,1,1,7 155
128,0,167,0,0,0,0,1,1,
128,0,173,0,0,0,0,1,1,
128,0,179,2,2,0,0,1,1,69 109
128,0,181,4,4,0,0,1,1,42 80 100 138
128,0,191,2,2,0,0,1,1,18 172
128,0,193,4,4,0,0,1,1,41 45 147 151
128,0,197,2,2,0,0,1,1,75 121
128,0,199,0,0,0,0,1,1,
128,0,211,2,2,0,0,1,1,51 159
128,0,223,0,0,0,0,1,1,
128,0,227,2,2,0,0,1,1,112 114
128,0,229,0,0,0,0,1,1,
128,0,233,2,2,0,0,1,1,32 200
128,0,239,0,0,0,0,1,1,
128,0,241,2,2,0,0,1,1,111 129
128,0,251,2,2,0,0,1,1,64 186
256,0,257,2,2,0,0,1,1,45 211
256,0,263,0,0,0,0,1,1,
256,0,269,0,0,0,0,1,1,
256,0,271,4,4,0,0,1,1,1 82 188 269
256,0,277,0,0,0,0,1,1,
256,0,281,0,0,0,0,1,1,
256,0,283,2,2,0,0,1,1,127 155
256,0,293,4,4,0,0,1,1,33 84 208 259
256,0,307,2,2,0,0,1,1,14 292
256,0,311,0,0,0,0,1,1,
256,0,313,0,0,0,0,1,1,
256,0,317,0,0,0,0,1,1,
256,0,331,2,2,0,0,1,1,71 259
256,0,337,0,0,0,0,1,1,
256,0,347,2,2,0,0,1,1,60 286
256,0,349,0,0,0,0,1,1,
256,0,353,0,0,0,0,1,1,
256,0,359,0,0,0,0,1,1,
256,0,367,2,2,0,0,1,1,160 206
256,0,373,0,0,0,0,1,1,
256,0,379,6,6,0,0,1,1,63 117 128 250 261 315
256,0,383,0,0,0,0,1,1,
256,0,389,0,0,0,0,1,1,
256,0,397,0,0,0,0,1,1,
256,0,401,0,0,0,0,1,1,
256,0,409,0,0,0,0,1,1,
256,0,419,2,2,0,0,1,1,8 410
256,0,421,0,0,0,0,1,1,
256,0,431,2,2,0,0,1,1,93 337
256,0,433,2,2,0,0,1,1,48 384
256,0,439,2,2,0,0,1,1,55 383
256,0,443,2,2,0,0,1,1,66 376
256,0,449,0,0,0,0,1,1,
256,0,457,0,0,0,0,1,1,
256,0,461,0,0,0,0,1,1,
256,0,463,2,2,0,0,1,1,80 382
256,0,467,0,0,0,0,1,1,
256,0,479,0,0,0,0,1,1,
256,0,487,0,0,0,0,1,1,
256,0,491,0,0,0,0,1,1,
256,0,499,6,6,0,0,1,1,2 122 179 319 376 496
256,0,503,2,2,0,0,1,1,44 458
256,0,509,0,0,0,0,1,1,
