q	t	sign	prime	exponent
15061	8555	+	19	1
15083	4710	+	11	1
15101	575	-	11	1
15107	1213	+	11	1
15107	1213	+	19	1
15107	13893	+	19	1
15173	348	-	17	1
15173	14824	+	19	1
15173	14824	-	17	1
15199	7543	+	41	1
15217	7145	+	19	1
15217	7145	-	17	1
15217	7145	-	31	1
15217	8071	-	41	1
15217	8071	-	61	1
15307	3921	+	11	1
15307	3921	-	73	1
15307	11385	-	17	1
15329	6643	-	17	1
15329	8685	-	17	1
15349	1025	+	19	1
15349	14323	+	11	1
15349	14323	-	11	1
15349	14323	-	17	1
15373	488	-	61	1
15377	8998	-	17	1
15383	6590	-	17	1
15383	8792	-	11	1
15383	8792	-	17	1
15413	2081	+	11	1
15413	2081	+	41	1
15413	2081	-	17	1
15413	13331	+	11	1
15413	13331	-	19	1
15439	2185	+	2543	1
15439	2185	-	11	1
15439	13253	-	31	1
15443	13140	+	11	1
15467	3666	-	11	1
15467	11800	+	11	1
15467	11800	-	31	1
15551	1926	+	41	1
15551	3953	+	31	1
15551	3953	-	17	1
15551	11597	-	17	1
15551	13624	+	31	1
15559	1607	+	11	1
15559	1607	-	11	1
15569	2875	-	73	1
15569	8619	-	17	1
15569	12693	+	19	1
15581	5401	-	17	1
15607	7404	+	73	1
15607	8202	+	11	1
15607	8202	-	11	1
15619	1319	-	37	1
15641	7705	-	17	1
15641	7935	-	11	1
15641	7935	-	31	1
15643	669	+	11	1
15643	14973	+	19	1
15647	7687	-	17	1
15647	7959	-	11	1
15647	7959	-	17	1
15649	6311	+	31	1
15649	6311	-	19	1
15649	6311	-	31	1
15649	6311	-	61	1
15671	15607	+	11	1
15671	15607	-	11	1
15683	1282	+	41	1
15683	13280	+	19	1
15683	13280	-	19	1
15683	14400	+	19	2
15683	14400	+	59	1
15683	14400	-	19	1
15727	5804	-	19	1
15727	9922	+	193	1
15727	9922	-	17	1
15727	9922	-	193	1
15737	4123	-	17	1
15737	8138	+	31	1
15737	11613	+	19	1
15737	11613	-	19	1
15797	6949	-	17	1
15797	6949	-	41	1
15797	8410	+	11	1
15797	8410	-	11	1
15803	6980	-	17	1
15803	8822	-	11	1
15823	7047	-	17	1
15823	8775	-	11	1
15859	6436	+	31	1
15877	6407	-	17	1
15889	5869	+	61	1
15889	6993	+	11	1
15889	6993	+	19	1
15889	6993	-	11	1
15889	6993	-	17	1
15889	8895	-	17	1
15907	6430	+	11	1
15907	6430	-	11	1
15907	6430	-	17	1
15907	10668	+	19	1
15913	97	+	11	1
15919	1204	-	19	1
15919	14714	-	11	1
15973	12350	+	41	1
16057	68	-	17	1
16067	7518	+	31	1
16067	7518	-	31	1
16069	4263	+	11	1
16087	639	-	17	2
16087	639	-	251	1
16087	15447	-	17	1
16087	15447	-	59	1
16091	2247	-	11	1
16091	2247	-	17	1
16091	13843	+	11	1
16103	6070	+	19	1
16103	6070	-	19	1
16103	8767	-	11	1
16103	10032	+	19	1
16187	5275	-	17	1
16187	7040	+	19	1
16231	5507	+	19	1
16231	5507	-	17	1
16231	5507	-	19	1
16231	10723	+	19	1
16231	10723	-	11	1
16253	8868	-	11	1
16253	8868	-	59	1
16301	3928	+	19	1
16301	3928	-	17	1
16301	12372	-	11	1
16333	7250	+	19	1
16339	668	-	17	1
16339	668	-	61	1
16339	15670	+	19	1
16349	6807	+	11	1
16349	7882	+	19	2
