q	t	sign	n6	nOther	rawGcdBits	rawGcdSha256	qVal	qFreeGcd	primitiveGcd	factors	omega	rawWindow	m5Capable	rawLeaves	assignedLeaves	sizeCertified	thresholdRatio
15061	6505	+	96871	187237	21	253954cfe5be1051602aa65b9105fbca655b34bd63ff581fce20cdb70828a2e4	1	125	1	1	0	true	false	0	0	true	0.00000000000000
15061	6505	-	96871	8555	21	253954cfe5be1051602aa65b9105fbca655b34bd63ff581fce20cdb70828a2e4	1	125	1	1	0	false	false	0	0	true	NA
15061	8555	+	98921	189287	21	8164c2ab0f9056dc4a6614f0381abdd2d786a6cb970c59eb0115d100daf1323a	1	95	19	19	1	true	false	0	0	true	0.154046597077243
15061	8555	-	98921	6505	17	6918f7c9df3efc208173928ce6903850f3668dc411a1416c4e31b42659148f2b	1	5	1	1	0	false	false	0	0	true	NA
15083	4710	+	95208	185706	32	03f08921224db660b28fcd61f10359c7ac3336cac9a84563240eab520ab97824	1	171875	11	11	1	true	false	0	0	true	0.125956012612383
15083	4710	-	95208	10372	19	ff86101dbb9ee3f6697ce2403904a33698268044f74a45a34c9a189968ad242e	1	25	1	1	0	false	false	0	0	true	NA
15083	10372	+	100870	191368	26	5d0d9bffd011c58816987896b6b32b8a9284f7b0745d0519ac86bdccdc7372b8	1	3125	1	1	0	true	false	0	0	true	0.00000000000000
15083	10372	-	100870	4710	21	e6412235315a8f4140dd90eef6c1557e16c4f431d6abd6c029eb6af56a610d46	1	125	1	1	0	false	false	0	0	true	NA
15101	575	+	91181	181787	24	6cebc792d80feeb28be04bfe8bfefa4c4d528e6f95525f1c45c1fe3cf3c8138e	1	625	1	1	0	true	false	0	0	true	0.00000000000000
15101	575	-	91181	14525	25	063b6637b65bb3eeb555241ae46c58a154fc92d7e090e3a17acf04b51edbcbe9	1	1375	11	11	1	true	true	0	0	true	0.126534805597502
15101	14525	+	105131	195737	19	8e4a00ffcd819f9e086ace625ad52507ad2bf22878d3afd9268a757965af6c3a	1	25	1	1	0	true	false	0	0	true	0.00000000000000
15101	14525	-	105131	575	17	fef9471498b9021a4b56be4404545e6ba85853960aaf3ff10352b8bd5ea12e06	1	5	1	1	0	false	false	0	0	true	NA
15107	1213	+	91855	182497	29	02bd4d089e5bb2bf8d533a959826f86b1dc156eacd6f7cc4d68d87d0a4a0ca72	1	26125	209	11*19	2	true	false	0	0	true	0.281696582425473
15107	1213	-	91855	13893	21	9c47332be2e6e437cd608954e9df392852cd6f023a259e4bb0ac54ce62aa4c05	1	125	1	1	0	true	false	0	0	true	0.00000000000000
15107	13893	+	104535	195177	23	a19f0ff70ad4140caa84688841a53764bbd0a0668e11255fa844d6e8aa42ba16	1	475	19	19	1	true	false	0	0	true	0.153169035087596
15107	13893	-	104535	1213	24	7b938ef81475e57d21fcccc686f8da4c39ddde34e0c3c09b3c53fd27d1396123	1	625	1	1	0	false	false	0	0	true	NA
15173	348	+	91386	182424	30	09e6f97a3861e55d5de34c478326f4a40738fb0c545437a0b19881b715b42811	1	53125	1	1	0	true	false	0	0	true	0.00000000000000
15173	348	-	91386	14824	23	d1ba58a789a407de7e74c770e54518c0e0d248d637a75b5f4732d3e9f8027da4	1	425	17	17	1	true	true	0	0	true	0.149469884455283
15173	14824	+	105862	196900	26	a178de3a35a1578532a2410ead152bc2440d9c588ea834546ae4c9b804775d27	1	2375	19	19	1	true	false	0	0	true	0.152965801044299
15173	14824	-	105862	348	25	55907d43496101a3a2ff6957000ae30a58653ed3fe38ae50bc77dc1b85faa167	1	2125	17	17	1	false	false	0	0	true	NA
15199	7543	+	98737	189931	31	9ce85a1656dcdee35343849d96e0a3fc953666b6eb0a4405ee29959f7909556f	1	87125	41	41	1	true	false	0	0	true	0.194337781698471
15199	7543	-	98737	7655	21	93aa184faa31a196917649d1afc450b3db03ec2ed79745da125586bd02501ffe	1	125	1	1	0	false	false	0	0	true	NA
15199	7655	+	98849	190043	21	93aa184faa31a196917649d1afc450b3db03ec2ed79745da125586bd02501ffe	1	125	1	1	0	true	false	0	0	true	0.00000000000000
15199	7655	-	98849	7543	21	93aa184faa31a196917649d1afc450b3db03ec2ed79745da125586bd02501ffe	1	125	1	1	0	false	false	0	0	true	NA
15217	7145	+	98447	189749	21	f7d1d6fba726a7904f3660dc47c1d930be33c516131ce5bec4fb893e62570334	1	95	19	19	1	true	false	0	0	true	0.154128908938717
15217	7145	-	98447	8071	26	02492ddcfb1fa3c71b1f31a62de7e1afe0d490e5c06ccffdb8391387b566cfb8	1	2635	527	17*31	2	false	false	0	0	true	NA
15217	8071	+	99373	190675	27	16801f5bb5033043f42e99284f27df2b87f5fd22099a3690dd0a621bac9ffaf4	1	7225	1	1	0	true	false	0	0	true	0.00000000000000
15217	8071	-	99373	7145	33	1b9ceedb69a8932ad9cc48dc5597f2c0bc26cf38ff39e442b71168434f81905c	1	312625	2501	41*61	2	false	false	0	0	true	NA
15233	168	+	91566	182964	26	b25b2ffc0699e6bf957456d7f9191147d0486ac33c2e46eeb66e70fe3e0124ea	1	3125	1	1	0	true	false	0	0	true	0.00000000000000
15233	168	-	91566	15064	14	7caab00a5ac4032f0c6fe9c022031e53b5a67d2e7e8ce70da99bed5ac3fcc420	1	1	1	1	0	true	true	0	0	true	0.00000000000000
15233	15064	+	106462	197860	21	7abf513a4865f0416b471164d2475fe984c344dd00b8b6a527b0eb322f3d82a9	1	125	1	1	0	true	false	0	0	true	0.00000000000000
15233	15064	-	106462	168	24	a6741f914685f73ff4f4768137f7ba763b85c8dd6df784c44944efd3c102aca2	1	625	1	1	0	false	false	0	0	true	NA
15307	3921	+	95763	187605	20	78756c9878ecddcc8c455a1ae4c5aae7cc7abcfaa985a70c3ff94067ed9de851	1	55	11	11	1	true	false	0	0	true	0.125890112989255
15307	3921	-	95763	11385	28	7b210e33b609cc3c40cfcd22afbae5ac5e016d2352d7eb085686187be9283c1b	1	9125	73	73	1	false	false	0	0	true	NA
