q	t	sign	prime	exponent
17	3	+	19	1
31	22	-	19	1
41	30	+	19	1
41	30	-	19	1
61	4	-	17	1
61	56	+	11	1
97	25	-	11	1
139	77	-	11	1
139	77	-	17	2
163	142	-	17	1
181	133	-	17	1
181	133	-	293	1
181	161	+	19	1
193	30	-	19	2
193	128	+	97	1
197	44	-	19	1
227	73	-	19	1
241	89	-	73	1
241	151	+	19	1
251	136	+	19	1
257	72	+	19	1
271	17	-	31	1
271	41	-	17	1
293	209	+	19	1
293	245	+	19	1
307	220	+	19	1
307	220	-	19	1
379	85	+	11	1
379	85	-	19	1
419	257	-	73	1
431	374	-	11	1
443	274	-	19	1
499	203	-	19	1
499	295	-	11	1
499	328	-	11	1
503	441	+	11	1
503	441	-	11	1
541	536	+	19	1
571	140	+	11	1
571	140	+	31	1
577	112	+	11	1
577	464	+	19	1
593	162	-	41	1
593	430	-	193	1
599	272	+	11	1
599	272	-	17	1
617	298	+	61	1
617	318	+	11	1
617	318	+	61	1
617	318	-	11	1
617	318	-	61	1
631	112	+	19	1
631	112	-	17	1
631	112	-	19	1
659	76	-	59	1
659	582	+	31	1
709	321	+	197	1
709	387	+	11	1
733	22	-	11	1
733	22	-	37	1
751	33	-	11	1
757	116	-	11	1
761	319	+	19	1
761	418	-	17	1
857	371	+	31	1
857	371	+	73	1
881	813	-	17	1
887	329	+	19	1
887	329	-	19	1
887	557	+	19	1
907	499	+	19	1
907	499	-	19	1
911	249	-	37	1
911	661	+	37	1
947	348	-	17	1
947	598	+	73	1
977	832	+	11	1
991	621	+	73	1
1009	586	+	73	1
1049	504	-	11	1
1049	508	-	11	1
1049	540	+	11	2
1049	544	+	11	1
1069	459	-	11	1
1069	502	-	11	1
1069	566	-	41	1
1069	872	+	11	1
1087	77	-	17	1
1097	200	-	11	1
1117	832	+	19	1
1129	98	-	11	1
1129	98	-	17	1
1129	1030	+	11	1
1129	1030	+	31	1
1153	216	+	11	1
1153	216	+	41	1
1193	746	+	11	1
1201	576	-	11	1
1213	58	-	11	1
1213	1154	-	17	1
1217	22	+	61	1
1217	1194	-	31	1
1229	544	+	11	1
1229	544	-	11	1
1229	544	-	31	1
1297	530	-	31	1
1381	1103	+	61	1
1381	1103	-	61	1
1427	346	-	17	1
1427	1080	+	41	1
1427	1080	+	61	1
1427	1080	-	17	1
1433	416	+	19	1
1433	416	-	17	1
1433	1016	+	11	1
1453	1180	+	19	1
1471	1394	+	11	1
1487	104	-	17	1
1531	143	-	17	1
1531	1387	-	19	1
1619	791	-	19	1
1621	203	+	19	1
1621	1417	-	73	1
1657	1070	+	59	1
