q	t	sign	n6	nOther	rawGcdBits	rawGcdSha256	qVal	qFreeGcd	primitiveGcd	factors	omega	rawWindow	m5Capable	rawLeaves	assignedLeaves	sizeCertified	thresholdRatio
17	3	+	105	207	11	946507a8247cf675690fc1ba8b0a2bd7dbbee66c0b6a6796e637da2b1bb8d036	1	95	19	19	1	false	false	0	0	true	NA
17	3	-	105	13	7	a25513c7e0f6eaa80a3337ee18081b9e2ed09e00af8531c8f7bb2542764027e7	1	5	1	1	0	false	false	0	0	true	NA
17	13	+	115	217	7	a25513c7e0f6eaa80a3337ee18081b9e2ed09e00af8531c8f7bb2542764027e7	1	5	1	1	0	false	false	0	0	true	NA
17	13	-	115	3	7	a25513c7e0f6eaa80a3337ee18081b9e2ed09e00af8531c8f7bb2542764027e7	1	5	1	1	0	false	false	0	0	true	NA
19	8	+	122	236	9	a897a2c44344b4c097bde002670d78bf9dce4e54d630600c893363d4e4637732	1	17	1	1	0	false	false	0	0	true	NA
19	8	-	122	10	5	ab897fbdedfa502b2d839b6a56100887dccdc507555c282e59589e06300a62e2	1	1	1	1	0	false	false	0	0	true	NA
19	10	+	124	238	5	ab897fbdedfa502b2d839b6a56100887dccdc507555c282e59589e06300a62e2	1	1	1	1	0	false	false	0	0	true	NA
19	10	-	124	8	5	ab897fbdedfa502b2d839b6a56100887dccdc507555c282e59589e06300a62e2	1	1	1	1	0	false	false	0	0	true	NA
31	8	+	194	380	10	48986d85f8c0a0601ef7c44afc939dd0a8b0ed7bc309c7e373cb0fe94e30c7aa	1	25	1	1	0	true	false	0	0	true	0.00000000000000
31	8	-	194	22	5	ffe679bb831c95b67dc17819c63c5090d221aac6f4c7bf530f594ab43d21fa1e	1	1	1	1	0	false	false	0	0	true	NA
31	22	+	208	394	10	48986d85f8c0a0601ef7c44afc939dd0a8b0ed7bc309c7e373cb0fe94e30c7aa	1	25	1	1	0	false	false	0	0	true	NA
31	22	-	208	8	14	c0cce6e6642ff8ce9d303c984ca86a3c963707a39c358abbf69fc131d8f9c594	1	475	19	19	1	false	false	0	0	true	NA
37	17	+	239	461	8	57a4b6ef36e20bfd4a3ebbc3fe1aa1e89fdae8d7cfd9b94c833e75fc095978a6	1	5	1	1	0	false	false	0	0	true	NA
37	17	-	239	19	8	57a4b6ef36e20bfd4a3ebbc3fe1aa1e89fdae8d7cfd9b94c833e75fc095978a6	1	5	1	1	0	false	false	0	0	true	NA
37	19	+	241	463	13	6955e033387d66926f9db5df30168daf59bccac3688078c2c46f4ee4240e6645	1	125	1	1	0	false	false	0	0	true	NA
37	19	-	241	17	8	57a4b6ef36e20bfd4a3ebbc3fe1aa1e89fdae8d7cfd9b94c833e75fc095978a6	1	5	1	1	0	false	false	0	0	true	NA
41	10	+	256	502	6	ba5ec51d07a4ac0e951608704431d59a02b21a4e951acc10505a8dc407c501ee	1	1	1	1	0	true	false	0	0	true	0.00000000000000
41	10	-	256	30	11	38b8bc5c86db41a80615b2f4694fc754cccffb95e8933d5b376021feab83cea3	1	25	1	1	0	false	false	0	0	true	NA
41	30	+	276	522	10	ab2491c3b754d3ba49e93fb08892f7c6ac126efab9c7a77638009b7fe275af36	1	19	19	19	1	false	false	0	0	true	NA
41	30	-	276	10	10	ab2491c3b754d3ba49e93fb08892f7c6ac126efab9c7a77638009b7fe275af36	1	19	19	19	1	false	false	0	0	true	NA
59	9	+	363	717	13	cc1e03595b81937b6aa0b73289380130bb93b95ad351905b29b792f532b659eb	1	125	1	1	0	true	false	0	0	true	0.00000000000000
59	9	-	363	49	9	be3eea9a483308cb3134ce068e77b56e7c25af19480742880179827cb3c9b5c0	1	5	1	1	0	false	false	0	0	true	NA
59	49	+	403	757	13	cc1e03595b81937b6aa0b73289380130bb93b95ad351905b29b792f532b659eb	1	125	1	1	0	false	false	0	0	true	NA
59	49	-	403	9	9	be3eea9a483308cb3134ce068e77b56e7c25af19480742880179827cb3c9b5c0	1	5	1	1	0	false	false	0	0	true	NA
61	4	+	370	736	6	380918b946a526640a40df5dced6516794f3d97bbd9e6bb553d037c4439f31c3	1	1	1	1	0	true	false	0	0	true	0.00000000000000
61	4	-	370	56	11	a69673139980b4a6c36653b17691c2282fc52557ce9992951c1905ab92bcce64	1	17	17	17	1	true	false	0	0	true	0.356801641509706
61	56	+	422	788	15	5ea58b1121456827a7cf2683b00ebe2818809127937a3b8adc8a4bd3e7bacfbb	1	275	11	11	1	false	false	0	0	true	NA
61	56	-	422	4	6	380918b946a526640a40df5dced6516794f3d97bbd9e6bb553d037c4439f31c3	1	1	1	1	0	false	false	0	0	true	NA
73	2	+	440	878	11	fbfa1b5803201883b271e9ae1123aa447c2fb7ed3a256a4b567d5acfdfa01fce	1	25	1	1	0	true	false	0	0	true	0.00000000000000
73	2	-	440	70	7	a83dd0ccbffe39d071cc317ddf6e97f5c6b1c87af91919271f9fa140b0508c6c	1	1	1	1	0	true	false	0	0	true	0.00000000000000
73	70	+	508	946	11	fbfa1b5803201883b271e9ae1123aa447c2fb7ed3a256a4b567d5acfdfa01fce	1	25	1	1	0	false	false	0	0	true	NA
73	70	-	508	2	7	a83dd0ccbffe39d071cc317ddf6e97f5c6b1c87af91919271f9fa140b0508c6c	1	1	1	1	0	false	false	0	0	true	NA
97	25	+	607	1189	9	913f841dfc8703ae76a4e1b8b84cd67aab15f17a7ffe691636e7960868129c7e	1	5	1	1	0	true	false	0	0	true	0.00000000000000
97	25	-	607	71	13	69e271e05f0a43985e7538719bbe0de527184718b67086b0af605be95bfa3722	1	55	11	11	1	false	false	0	0	true	NA
97	71	+	653	1235	9	913f841dfc8703ae76a4e1b8b84cd67aab15f17a7ffe691636e7960868129c7e	1	5	1	1	0	false	false	0	0	true	NA
97	71	-	653	25	9	913f841dfc8703ae76a4e1b8b84cd67aab15f17a7ffe691636e7960868129c7e	1	5	1	1	0	false	false	0	0	true	NA
139	61	+	895	1729	10	8d9235e7184f8f21bafc39447b9bc1573e5c26283327438a49347b90d84e8dc8	1	5	1	1	0	true	false	0	0	true	0.00000000000000
139	61	-	895	77	10	8d9235e7184f8f21bafc39447b9bc1573e5c26283327438a49347b90d84e8dc8	1	5	1	1	0	false	false	0	0	true	NA
139	77	+	911	1745	12	a846a6624e81ccdbc0e902aea04988743ffac8ed79ec47998e75fbc31bf653db	1	25	1	1	0	true	false	0	0	true	0.00000000000000
139	77	-	911	61	24	6a1f064bfffe195c3f24b684bc9fd78aeabe469ae71b60e1b7894696ee928886	1	79475	3179	11*17^2	2	false	false	0	0	true	NA
151	14	+	920	1826	12	20cca1e45d484128324df28c815c1f70c433566d06f48df9e5919a4280eb132e	1	25	1	1	0	true	false	0	0	true	0.00000000000000
151	14	-	920	136	15	d2c508cece6600d97dd88e9ff71ce6e6c8de56d291d913b851b52e713d49015e	1	125	1	1	0	false	false	0	0	true	NA
151	136	+	1042	1948	12	20cca1e45d484128324df28c815c1f70c433566d06f48df9e5919a4280eb132e	1	25	1	1	0	true	false	0	0	true	0.00000000000000
151	136	-	1042	14	8	8fc124e5c902ae19c32a0828a3a403612989b39257a3b6ab516e0df0bf770709	1	1	1	1	0	false	false	0	0	true	NA
163	20	+	998	1976	12	803e475eaad889e0580ae7b89d0db492db49263115eeef13b32b29eedcaa8ec8	1	25	1	1	0	true	false	0	0	true	0.00000000000000
163	20	-	998	142	12	803e475eaad889e0580ae7b89d0db492db49263115eeef13b32b29eedcaa8ec8	1	25	1	1	0	false	false	0	0	true	NA
163	142	+	1120	2098	12	803e475eaad889e0580ae7b89d0db492db49263115eeef13b32b29eedcaa8ec8	1	25	1	1	0	false	false	0	0	true	NA
163	142	-	1120	20	12	542744192ed3a80590d37edcd8108764fa2b107faad0f34235c45e731c90e6bf	1	17	17	17	1	false	false	0	0	true	NA
179	36	+	1110	2184	13	df738a69173e219f94b870ab4ad2e679329125486a01ea5a184b02dfc4591cfb	1	25	1	1	0	true	false	0	0	true	0.00000000000000
179	36	-	1110	142	13	df738a69173e219f94b870ab4ad2e679329125486a01ea5a184b02dfc4591cfb	1	25	1	1	0	false	false	0	0	true	NA
179	142	+	1216	2290	17	c86f3b121b0140559cf0b89c4182b20b1d9562ec9eec97765e56111775382b15	1	625	1	1	0	false	false	0	0	true	NA
179	142	-	1216	36	15	793354f8d178a6ce073ef3c3f44f679c699e6927de74c49b5e697a5ce9258ead	1	125	1	1	0	false	false	0	0	true	NA
181	19	+	1105	2191	15	eeb689906ed2c813f8d78a0d06048b56e98945aa433d3a8c55b0adccb18b8c94	1	125	1	1	0	true	false	0	0	true	0.00000000000000
181	19	-	1105	161	15	eeb689906ed2c813f8d78a0d06048b56e98945aa433d3a8c55b0adccb18b8c94	1	125	1	1	0	false	false	0	0	true	NA
181	47	+	1133	2219	15	eeb689906ed2c813f8d78a0d06048b56e98945aa433d3a8c55b0adccb18b8c94	1	125	1	1	0	true	false	0	0	true	0.00000000000000
181	47	-	1133	133	15	eeb689906ed2c813f8d78a0d06048b56e98945aa433d3a8c55b0adccb18b8c94	1	125	1	1	0	false	false	0	0	true	NA
181	133	+	1219	2305	15	eeb689906ed2c813f8d78a0d06048b56e98945aa433d3a8c55b0adccb18b8c94	1	125	1	1	0	false	false	0	0	true	NA
181	133	-	1219	47	23	6b0ceb9fdd5995f0efa52f153c7a95030cee8b3c00c0d7279f3905e2014d47d4	1	24905	4981	17*293	2	false	false	0	0	true	NA
181	161	+	1247	2333	15	a99effbf3936a2ad1185430487511a2fbf1c2b715098d2679d3ff2873d388cca	1	95	19	19	1	true	false	0	0	true	0.283807594940320
181	161	-	1247	19	10	6af2f46c1ea1f7899fe07da7ce23e9f2b55cc77deab605137af896a8cfb60e76	1	5	1	1	0	false	false	0	0	true	NA
191	81	+	1227	2373	14	eeb9d84bc47a76be0cd98eae14ef03da5f146cfc7cac016b29a5357b20f2852f	1	85	1	1	0	true	false	0	0	true	0.00000000000000
191	81	-	1227	109	10	3ea23f48685c39a065596a5622de1e31a2573c142f6f34ad6f660dd41a7bb695	1	5	1	1	0	false	false	0	0	true	NA
191	109	+	1255	2401	10	3ea23f48685c39a065596a5622de1e31a2573c142f6f34ad6f660dd41a7bb695	1	5	1	1	0	true	false	0	0	true	0.00000000000000
